DATE,CPIAUCSL_PC1
2000-01-01,2.79296
2000-02-01,3.21797
2000-03-01,3.76214
2000-04-01,3.01386
2000-05-01,3.13253
2000-06-01,3.73494
2000-07-01,3.59928
2000-08-01,3.35129
2000-09-01,3.45650
2000-10-01,3.45033
2000-11-01,3.44418
2000-12-01,3.43602
2001-01-01,3.72120
2001-02-01,3.52941
2001-03-01,2.98246
2001-04-01,3.21826
2001-05-01,3.56308
2001-06-01,3.19396
2001-07-01,2.72148
2001-08-01,2.72148
2001-09-01,2.59217
2001-10-01,2.12766
2001-11-01,1.89437
2001-12-01,1.60367
2002-01-01,1.19590
2002-02-01,1.13636
2002-03-01,1.36286
2002-04-01,1.64399
2002-05-01,1.24083
2002-06-01,1.06922
2002-07-01,1.46561
2002-08-01,1.74746
2002-09-01,1.51600
2002-10-01,2.02703
2002-11-01,2.25352
2002-12-01,2.48027
2003-01-01,2.75746
2003-02-01,3.14607
2003-03-01,3.02521
2003-04-01,2.17513
2003-05-01,1.89415
2003-06-01,1.94878
2003-07-01,2.05556
2003-08-01,2.21607
2003-09-01,2.37832
2003-10-01,2.04194
2003-11-01,1.92837
2003-12-01,2.03520
2004-01-01,2.02629
2004-02-01,1.68845
2004-03-01,1.74008
2004-04-01,2.29258
2004-05-01,2.89776
2004-06-01,3.16767
2004-07-01,2.93958
2004-08-01,2.54743
2004-09-01,2.53917
2004-10-01,3.19091
2004-11-01,3.62162
2004-12-01,3.34232
2005-01-01,2.84487
2005-02-01,3.05303
2005-03-01,3.20684
2005-04-01,3.36179
2005-05-01,2.86929
2005-06-01,2.54103
2005-07-01,3.06716
2005-08-01,3.64693
2005-09-01,4.74183
2005-10-01,4.35010
2005-11-01,3.33855
2005-12-01,3.33855
2006-01-01,4.01879
2006-02-01,3.63825
2006-03-01,3.41792
2006-04-01,3.61384
2006-05-01,3.97727
2006-06-01,4.18172
2006-07-01,4.10467
2006-08-01,3.92657
2006-09-01,2.01207
2006-10-01,1.40633
2006-11-01,1.96870
2006-12-01,2.52398
2007-01-01,2.07577
2007-02-01,2.42026
2007-03-01,2.79820
2007-04-01,2.59292
2007-05-01,2.70989
2007-06-01,2.69277
2007-07-01,2.31789
2007-08-01,1.89745
2007-09-01,2.83383
2007-10-01,3.61070
2007-11-01,4.37327
2007-12-01,4.10881
2008-01-01,4.29470
2008-02-01,4.14296
2008-03-01,3.97490
2008-04-01,3.90376
2008-05-01,4.08841
2008-06-01,4.93597
2008-07-01,5.49751
2008-08-01,5.30802
2008-09-01,4.95332
2008-10-01,3.73106
2008-11-01,1.09992
