Category: All categories

Month,current inflation rate: (United States)
2004-01,65
2004-02,0
2004-03,48
2004-04,0
2004-05,48
2004-06,27
2004-07,13
2004-08,36
2004-09,54
2004-10,42
2004-11,52
2004-12,29
2005-01,13
2005-02,53
2005-03,55
2005-04,41
2005-05,22
2005-06,33
2005-07,29
2005-08,23
2005-09,62
2005-10,42
2005-11,19
2005-12,50
2006-01,26
2006-02,28
2006-03,35
2006-04,48
2006-05,48
2006-06,37
2006-07,25
2006-08,21
2006-09,36
2006-10,45
2006-11,33
2006-12,32
2007-01,42
2007-02,37
2007-03,23
2007-04,35
2007-05,30
2007-06,33
2007-07,18
2007-08,32
2007-09,31
2007-10,30
2007-11,37
2007-12,38
2008-01,42
2008-02,50
2008-03,37
2008-04,40
2008-05,32
2008-06,31
2008-07,31
2008-08,24
2008-09,38
2008-10,47
2008-11,45
2008-12,26
2009-01,23
2009-02,31
2009-03,27
2009-04,42
2009-05,32
2009-06,11
2009-07,19
2009-08,21
2009-09,26
2009-10,33
2009-11,27
2009-12,23
2010-01,26
2010-02,32
2010-03,35
2010-04,25
2010-05,21
2010-06,18
2010-07,25
2010-08,14
2010-09,26
2010-10,21
2010-11,26
2010-12,25
2011-01,31
2011-02,25
2011-03,28
2011-04,38
2011-05,21
2011-06,18
2011-07,21
2011-08,22
2011-09,30
2011-10,33
2011-11,20
2011-12,21
2012-01,18
2012-02,30
2012-03,25
2012-04,30
2012-05,21
2012-06,21
2012-07,22
2012-08,18
2012-09,25
2012-10,33
2012-11,25
2012-12,23
2013-01,21
2013-02,25
2013-03,28
2013-04,29
2013-05,27
2013-06,26
2013-07,17
2013-08,20
2013-09,21
2013-10,25
2013-11,23
2013-12,23
2014-01,20
2014-02,28
2014-03,22
2014-04,26
2014-05,23
2014-06,19
2014-07,18
2014-08,13
2014-09,21
2014-10,27
2014-11,22
2014-12,24
2015-01,24
2015-02,32
2015-03,29
2015-04,28
2015-05,24
2015-06,19
2015-07,14
2015-08,17
2015-09,23
2015-10,25
2015-11,29
2015-12,22
2016-01,17
2016-02,27
2016-03,21
2016-04,23
2016-05,19
2016-06,14
2016-07,10
2016-08,14
2016-09,18
2016-10,23
2016-11,19
2016-12,17
2017-01,16
2017-02,29
2017-03,27
2017-04,29
2017-05,20
2017-06,14
2017-07,15
2017-08,16
2017-09,19
2017-10,30
2017-11,25
2017-12,19
2018-01,17
2018-02,29
2018-03,25
2018-04,29
2018-05,23
2018-06,19
2018-07,21
2018-08,21
2018-09,30
2018-10,31
2018-11,26
2018-12,22
2019-01,24
2019-02,26
2019-03,31
2019-04,28
2019-05,23
2019-06,17
2019-07,18
2019-08,18
2019-09,25
2019-10,32
2019-11,22
2019-12,24
2020-01,19
2020-02,25
2020-03,24
2020-04,25
2020-05,22
2020-06,17
2020-07,17
2020-08,19
2020-09,26
2020-10,29
2020-11,27
2020-12,18
2021-01,21
2021-02,26
2021-03,29
2021-04,30
2021-05,34
2021-06,29
2021-07,29
2021-08,26
2021-09,35
2021-10,50
2021-11,55
2021-12,52
2022-01,61
2022-02,77
2022-03,88
2022-04,100
2022-05,89
2022-06,92
2022-07,82
2022-08,69
2022-09,79
2022-10,92
2022-11,84
2022-12,67
2023-01,66
2023-02,91
2023-03,97
