Category: All categories

Month,economy: (United States)
2004-01,58
2004-02,78
2004-03,76
2004-04,83
2004-05,82
2004-06,47
2004-07,37
2004-08,40
2004-09,65
2004-10,79
2004-11,72
2004-12,60
2005-01,53
2005-02,62
2005-03,63
2005-04,71
2005-05,69
2005-06,43
2005-07,33
2005-08,46
2005-09,60
2005-10,57
2005-11,60
2005-12,52
2006-01,47
2006-02,55
2006-03,55
2006-04,62
2006-05,57
2006-06,38
2006-07,33
2006-08,36
2006-09,47
2006-10,48
2006-11,49
2006-12,43
2007-01,40
2007-02,46
2007-03,41
2007-04,45
2007-05,53
2007-06,36
2007-07,31
2007-08,33
2007-09,47
2007-10,49
2007-11,54
2007-12,43
2008-01,57
2008-02,63
2008-03,66
2008-04,79
2008-05,78
2008-06,56
2008-07,47
2008-08,39
2008-09,88
2008-10,100
2008-11,81
2008-12,70
2009-01,69
2009-02,84
2009-03,88
2009-04,72
2009-05,65
2009-06,45
2009-07,43
2009-08,40
2009-09,57
2009-10,60
2009-11,62
2009-12,48
2010-01,48
2010-02,54
2010-03,54
2010-04,60
2010-05,56
2010-06,37
2010-07,31
2010-08,36
2010-09,48
2010-10,51
2010-11,52
2010-12,43
2011-01,47
2011-02,55
2011-03,55
2011-04,58
2011-05,57
2011-06,43
2011-07,39
2011-08,46
2011-09,60
2011-10,59
2011-11,58
2011-12,47
2012-01,50
2012-02,53
2012-03,53
2012-04,58
2012-05,54
2012-06,40
2012-07,35
2012-08,39
2012-09,59
2012-10,61
2012-11,57
2012-12,44
2013-01,47
2013-02,54
2013-03,50
2013-04,57
2013-05,53
2013-06,38
2013-07,32
2013-08,37
2013-09,52
2013-10,54
2013-11,46
2013-12,42
2014-01,46
2014-02,55
2014-03,50
2014-04,51
2014-05,54
2014-06,37
2014-07,33
2014-08,34
2014-09,55
2014-10,56
2014-11,53
2014-12,51
2015-01,50
2015-02,54
2015-03,55
2015-04,55
2015-05,50
2015-06,39
2015-07,36
2015-08,43
2015-09,61
2015-10,57
2015-11,54
2015-12,46
2016-01,54
2016-02,62
2016-03,59
2016-04,60
2016-05,56
2016-06,43
2016-07,35
2016-08,39
2016-09,58
2016-10,55
2016-11,60
2016-12,49
2017-01,53
2017-02,56
2017-03,57
2017-04,54
2017-05,59
2017-06,37
2017-07,36
2017-08,40
2017-09,53
2017-10,55
2017-11,52
2017-12,49
2018-01,55
2018-02,61
2018-03,54
2018-04,58
2018-05,57
2018-06,41
2018-07,41
2018-08,46
2018-09,61
2018-10,61
2018-11,56
2018-12,51
2019-01,56
2019-02,62
2019-03,57
2019-04,62
2019-05,59
2019-06,42
2019-07,40
2019-08,47
2019-09,62
2019-10,58
2019-11,53
2019-12,50
2020-01,55
2020-02,61
2020-03,72
2020-04,80
2020-05,55
2020-06,38
2020-07,34
2020-08,40
2020-09,63
2020-10,58
2020-11,48
2020-12,38
2021-01,40
2021-02,43
2021-03,43
2021-04,46
2021-05,42
2021-06,32
2021-07,30
2021-08,31
2021-09,42
2021-10,43
2021-11,41
2021-12,36
2022-01,45
2022-02,59
2022-03,70
2022-04,73
2022-05,64
2022-06,52
2022-07,42
2022-08,48
2022-09,64
2022-10,63
2022-11,60
2022-12,51
2023-01,58
2023-02,65
2023-03,66
