Category: All categories

Month,inflation calculator: (United States)
2004-01,26
2004-02,17
2004-03,23
2004-04,32
2004-05,25
2004-06,22
2004-07,29
2004-08,24
2004-09,19
2004-10,22
2004-11,29
2004-12,19
2005-01,27
2005-02,27
2005-03,23
2005-04,19
2005-05,26
2005-06,31
2005-07,24
2005-08,33
2005-09,29
2005-10,28
2005-11,30
2005-12,25
2006-01,31
2006-02,25
2006-03,26
2006-04,37
2006-05,32
2006-06,23
2006-07,29
2006-08,29
2006-09,33
2006-10,29
2006-11,30
2006-12,33
2007-01,26
2007-02,31
2007-03,28
2007-04,29
2007-05,34
2007-06,28
2007-07,30
2007-08,31
2007-09,31
2007-10,35
2007-11,33
2007-12,30
2008-01,28
2008-02,32
2008-03,34
2008-04,32
2008-05,30
2008-06,23
2008-07,31
2008-08,23
2008-09,30
2008-10,33
2008-11,28
2008-12,30
2009-01,27
2009-02,33
2009-03,27
2009-04,27
2009-05,28
2009-06,27
2009-07,28
2009-08,25
2009-09,33
2009-10,29
2009-11,35
2009-12,29
2010-01,32
2010-02,34
2010-03,36
2010-04,32
2010-05,31
2010-06,27
2010-07,27
2010-08,28
2010-09,31
2010-10,35
2010-11,31
2010-12,33
2011-01,34
2011-02,35
2011-03,33
2011-04,37
2011-05,29
2011-06,30
2011-07,32
2011-08,37
2011-09,39
2011-10,38
2011-11,37
2011-12,36
2012-01,37
2012-02,40
2012-03,40
2012-04,43
2012-05,44
2012-06,39
2012-07,36
2012-08,36
2012-09,41
2012-10,42
2012-11,36
2012-12,41
2013-01,43
2013-02,47
2013-03,42
2013-04,46
2013-05,44
2013-06,42
2013-07,42
2013-08,44
2013-09,43
2013-10,41
2013-11,42
2013-12,45
2014-01,48
2014-02,45
2014-03,47
2014-04,46
2014-05,55
2014-06,44
2014-07,47
2014-08,46
2014-09,48
2014-10,47
2014-11,47
2014-12,47
2015-01,47
2015-02,50
2015-03,50
2015-04,52
2015-05,52
2015-06,42
2015-07,45
2015-08,44
2015-09,46
2015-10,47
2015-11,44
2015-12,51
2016-01,39
2016-02,44
2016-03,43
2016-04,38
2016-05,39
2016-06,38
2016-07,34
2016-08,35
2016-09,36
2016-10,36
2016-11,36
2016-12,41
2017-01,43
2017-02,44
2017-03,44
2017-04,45
2017-05,44
2017-06,39
2017-07,40
2017-08,41
2017-09,44
2017-10,46
2017-11,52
2017-12,56
2018-01,54
2018-02,54
2018-03,59
2018-04,53
2018-05,52
2018-06,47
2018-07,50
2018-08,53
2018-09,53
2018-10,54
2018-11,58
2018-12,63
2019-01,57
2019-02,58
2019-03,58
2019-04,56
2019-05,54
2019-06,51
2019-07,54
2019-08,54
2019-09,55
2019-10,64
2019-11,64
2019-12,63
2020-01,62
2020-02,63
2020-03,53
2020-04,57
2020-05,59
2020-06,56
2020-07,58
2020-08,52
2020-09,56
2020-10,53
2020-11,50
2020-12,62
2021-01,66
2021-02,66
2021-03,59
2021-04,54
2021-05,59
2021-06,57
2021-07,56
2021-08,53
2021-09,49
2021-10,54
2021-11,67
2021-12,74
2022-01,99
2022-02,88
2022-03,88
2022-04,85
2022-05,84
2022-06,94
2022-07,89
2022-08,89
2022-09,74
2022-10,80
2022-11,83
2022-12,91
2023-01,90
2023-02,89
2023-03,100
