Category: All categories

Month,inflation definition: (United States)
2004-01,24
2004-02,29
2004-03,42
2004-04,38
2004-05,11
2004-06,19
2004-07,18
2004-08,10
2004-09,0
2004-10,25
2004-11,32
2004-12,11
2005-01,18
2005-02,13
2005-03,13
2005-04,15
2005-05,0
2005-06,16
2005-07,23
2005-08,10
2005-09,30
2005-10,25
2005-11,17
2005-12,16
2006-01,13
2006-02,19
2006-03,16
2006-04,9
2006-05,10
2006-06,10
2006-07,6
2006-08,7
2006-09,10
2006-10,12
2006-11,21
2006-12,8
2007-01,8
2007-02,12
2007-03,13
2007-04,0
2007-05,12
2007-06,10
2007-07,12
2007-08,10
2007-09,15
2007-10,13
2007-11,10
2007-12,13
2008-01,20
2008-02,16
2008-03,11
2008-04,18
2008-05,15
2008-06,20
2008-07,5
2008-08,2
2008-09,16
2008-10,22
2008-11,25
2008-12,19
2009-01,19
2009-02,25
2009-03,31
2009-04,21
2009-05,18
2009-06,22
2009-07,24
2009-08,16
2009-09,19
2009-10,25
2009-11,24
2009-12,26
2010-01,16
2010-02,27
2010-03,26
2010-04,24
2010-05,19
2010-06,15
2010-07,14
2010-08,11
2010-09,15
2010-10,24
2010-11,23
2010-12,19
2011-01,17
2011-02,29
2011-03,28
2011-04,26
2011-05,26
2011-06,15
2011-07,11
2011-08,15
2011-09,28
2011-10,28
2011-11,24
2011-12,33
2012-01,30
2012-02,33
2012-03,28
2012-04,27
2012-05,31
2012-06,16
2012-07,11
2012-08,16
2012-09,32
2012-10,38
2012-11,31
2012-12,28
2013-01,32
2013-02,34
2013-03,36
2013-04,43
2013-05,42
2013-06,18
2013-07,13
2013-08,15
2013-09,41
2013-10,40
2013-11,39
2013-12,44
2014-01,37
2014-02,44
2014-03,46
2014-04,51
2014-05,50
2014-06,22
2014-07,15
2014-08,18
2014-09,48
2014-10,54
2014-11,47
2014-12,49
2015-01,43
2015-02,57
2015-03,52
2015-04,66
2015-05,62
2015-06,29
2015-07,22
2015-08,28
2015-09,66
2015-10,77
2015-11,68
2015-12,67
2016-01,55
2016-02,63
2016-03,66
2016-04,76
2016-05,71
2016-06,27
2016-07,20
2016-08,28
2016-09,52
2016-10,63
2016-11,63
2016-12,59
2017-01,58
2017-02,73
2017-03,71
2017-04,67
2017-05,71
2017-06,28
2017-07,18
2017-08,28
2017-09,53
2017-10,67
2017-11,66
2017-12,68
2018-01,63
2018-02,74
2018-03,60
2018-04,65
2018-05,62
2018-06,27
2018-07,20
2018-08,25
2018-09,55
2018-10,63
2018-11,56
2018-12,50
2019-01,53
2019-02,61
2019-03,64
2019-04,68
2019-05,63
2019-06,25
2019-07,17
2019-08,25
2019-09,55
2019-10,66
2019-11,51
2019-12,42
2020-01,39
2020-02,52
2020-03,49
2020-04,57
2020-05,43
2020-06,23
2020-07,20
2020-08,27
2020-09,50
2020-10,51
2020-11,36
2020-12,32
2021-01,35
2021-02,46
2021-03,53
2021-04,53
2021-05,61
2021-06,41
2021-07,27
2021-08,25
2021-09,40
2021-10,48
2021-11,60
2021-12,50
2022-01,63
2022-02,74
2022-03,88
2022-04,100
2022-05,100
2022-06,64
2022-07,52
2022-08,54
2022-09,72
2022-10,76
2022-11,73
2022-12,54
2023-01,60
2023-02,71
2023-03,68
