Category: All categories

Month,inflation rate: (United States)
2004-01,58
2004-02,34
2004-03,54
2004-04,55
2004-05,38
2004-06,37
2004-07,29
2004-08,29
2004-09,43
2004-10,45
2004-11,55
2004-12,45
2005-01,40
2005-02,57
2005-03,45
2005-04,43
2005-05,36
2005-06,33
2005-07,28
2005-08,29
2005-09,41
2005-10,44
2005-11,41
2005-12,38
2006-01,42
2006-02,45
2006-03,40
2006-04,45
2006-05,37
2006-06,37
2006-07,30
2006-08,28
2006-09,39
2006-10,41
2006-11,38
2006-12,39
2007-01,39
2007-02,42
2007-03,35
2007-04,42
2007-05,38
2007-06,32
2007-07,31
2007-08,29
2007-09,37
2007-10,40
2007-11,41
2007-12,37
2008-01,47
2008-02,46
2008-03,43
2008-04,47
2008-05,37
2008-06,35
2008-07,33
2008-08,29
2008-09,39
2008-10,45
2008-11,39
2008-12,31
2009-01,31
2009-02,32
2009-03,38
2009-04,36
2009-05,30
2009-06,26
2009-07,22
2009-08,23
2009-09,29
2009-10,37
2009-11,34
2009-12,29
2010-01,28
2010-02,35
2010-03,37
2010-04,34
2010-05,25
2010-06,21
2010-07,21
2010-08,16
2010-09,24
2010-10,31
2010-11,31
2010-12,26
2011-01,28
2011-02,32
2011-03,30
2011-04,36
2011-05,27
2011-06,21
2011-07,23
2011-08,21
2011-09,27
2011-10,32
2011-11,28
2011-12,26
2012-01,23
2012-02,35
2012-03,30
2012-04,34
2012-05,24
2012-06,21
2012-07,19
2012-08,20
2012-09,30
2012-10,34
2012-11,29
2012-12,26
2013-01,26
2013-02,33
2013-03,30
2013-04,35
2013-05,28
2013-06,21
2013-07,18
2013-08,18
2013-09,27
2013-10,33
2013-11,30
2013-12,27
2014-01,25
2014-02,33
2014-03,33
2014-04,36
2014-05,30
2014-06,20
2014-07,21
2014-08,18
2014-09,28
2014-10,34
2014-11,31
2014-12,28
2015-01,26
2015-02,38
2015-03,36
2015-04,37
2015-05,30
2015-06,21
2015-07,19
2015-08,19
2015-09,32
2015-10,35
2015-11,32
2015-12,30
2016-01,23
2016-02,36
2016-03,34
2016-04,36
2016-05,26
2016-06,18
2016-07,16
2016-08,16
2016-09,26
2016-10,33
2016-11,32
2016-12,28
2017-01,23
2017-02,39
2017-03,37
2017-04,40
2017-05,29
2017-06,20
2017-07,20
2017-08,18
2017-09,27
2017-10,37
2017-11,35
2017-12,28
2018-01,28
2018-02,42
2018-03,35
2018-04,41
2018-05,31
2018-06,21
2018-07,23
2018-08,22
2018-09,35
2018-10,43
2018-11,35
2018-12,31
2019-01,29
2019-02,42
2019-03,42
2019-04,43
2019-05,32
2019-06,22
2019-07,23
2019-08,22
2019-09,31
2019-10,39
2019-11,36
2019-12,33
2020-01,29
2020-02,42
2020-03,34
2020-04,40
2020-05,33
2020-06,22
2020-07,23
2020-08,22
2020-09,33
2020-10,38
2020-11,33
2020-12,28
2021-01,26
2021-02,39
2021-03,40
2021-04,41
2021-05,42
2021-06,30
2021-07,29
2021-08,26
2021-09,39
2021-10,52
2021-11,61
2021-12,57
2022-01,66
2022-02,77
2022-03,92
2022-04,100
2022-05,92
2022-06,94
2022-07,73
2022-08,53
2022-09,78
2022-10,89
2022-11,78
2022-12,61
2023-01,62
2023-02,77
2023-03,88
