Category: All categories

Month,inflation rates: (United States)
2004-01,48
2004-02,52
2004-03,42
2004-04,70
2004-05,44
2004-06,36
2004-07,33
2004-08,24
2004-09,37
2004-10,35
2004-11,57
2004-12,45
2005-01,30
2005-02,36
2005-03,36
2005-04,52
2005-05,40
2005-06,30
2005-07,26
2005-08,27
2005-09,48
2005-10,44
2005-11,43
2005-12,37
2006-01,34
2006-02,41
2006-03,31
2006-04,40
2006-05,36
2006-06,30
2006-07,25
2006-08,22
2006-09,30
2006-10,34
2006-11,34
2006-12,30
2007-01,31
2007-02,35
2007-03,32
2007-04,30
2007-05,30
2007-06,28
2007-07,25
2007-08,23
2007-09,26
2007-10,27
2007-11,33
2007-12,20
2008-01,34
2008-02,37
2008-03,37
2008-04,39
2008-05,30
2008-06,30
2008-07,23
2008-08,24
2008-09,28
2008-10,35
2008-11,31
2008-12,21
2009-01,20
2009-02,29
2009-03,32
2009-04,28
2009-05,21
2009-06,19
2009-07,17
2009-08,19
2009-09,25
2009-10,27
2009-11,24
2009-12,22
2010-01,18
2010-02,33
2010-03,29
2010-04,31
2010-05,24
2010-06,18
2010-07,17
2010-08,16
2010-09,17
2010-10,23
2010-11,29
2010-12,21
2011-01,21
2011-02,22
2011-03,23
2011-04,26
2011-05,19
2011-06,12
2011-07,15
2011-08,15
2011-09,16
2011-10,22
2011-11,17
2011-12,16
2012-01,15
2012-02,20
2012-03,18
2012-04,21
2012-05,18
2012-06,14
2012-07,11
2012-08,12
2012-09,17
2012-10,20
2012-11,20
2012-12,17
2013-01,16
2013-02,20
2013-03,17
2013-04,18
2013-05,16
2013-06,16
2013-07,11
2013-08,11
2013-09,17
2013-10,20
2013-11,18
2013-12,17
2014-01,14
2014-02,19
2014-03,16
2014-04,21
2014-05,17
2014-06,14
2014-07,11
2014-08,9
2014-09,16
2014-10,18
2014-11,20
2014-12,18
2015-01,15
2015-02,18
2015-03,19
2015-04,21
2015-05,18
2015-06,12
2015-07,12
2015-08,8
2015-09,19
2015-10,21
2015-11,21
2015-12,18
2016-01,14
2016-02,20
2016-03,19
2016-04,22
2016-05,16
2016-06,11
2016-07,10
2016-08,10
2016-09,14
2016-10,18
2016-11,22
2016-12,19
2017-01,14
2017-02,21
2017-03,20
2017-04,21
2017-05,15
2017-06,11
2017-07,11
2017-08,9
2017-09,16
2017-10,18
2017-11,21
2017-12,16
2018-01,13
2018-02,26
2018-03,19
2018-04,23
2018-05,17
2018-06,12
2018-07,13
2018-08,11
2018-09,17
2018-10,23
2018-11,20
2018-12,16
2019-01,13
2019-02,19
2019-03,17
2019-04,21
2019-05,18
2019-06,11
2019-07,11
2019-08,9
2019-09,14
2019-10,18
2019-11,18
2019-12,16
2020-01,11
2020-02,20
2020-03,20
2020-04,24
2020-05,19
2020-06,13
2020-07,13
2020-08,13
2020-09,18
2020-10,21
2020-11,20
2020-12,16
2021-01,12
2021-02,23
2021-03,27
2021-04,26
2021-05,30
2021-06,22
2021-07,17
2021-08,13
2021-09,20
2021-10,30
2021-11,36
2021-12,30
2022-01,41
2022-02,54
2022-03,63
2022-04,69
2022-05,70
2022-06,100
2022-07,57
2022-08,33
2022-09,62
2022-10,72
2022-11,62
2022-12,46
2023-01,37
2023-02,51
2023-03,60
