Category: All categories

Month,interest rates: (United States)
2004-01,39
2004-02,35
2004-03,46
2004-04,52
2004-05,50
2004-06,49
2004-07,40
2004-08,35
2004-09,33
2004-10,30
2004-11,36
2004-12,29
2005-01,31
2005-02,34
2005-03,40
2005-04,38
2005-05,36
2005-06,41
2005-07,35
2005-08,33
2005-09,35
2005-10,32
2005-11,32
2005-12,28
2006-01,33
2006-02,34
2006-03,38
2006-04,36
2006-05,37
2006-06,39
2006-07,35
2006-08,35
2006-09,32
2006-10,32
2006-11,27
2006-12,27
2007-01,34
2007-02,32
2007-03,35
2007-04,35
2007-05,32
2007-06,37
2007-07,34
2007-08,35
2007-09,39
2007-10,31
2007-11,29
2007-12,32
2008-01,61
2008-02,51
2008-03,55
2008-04,40
2008-05,33
2008-06,35
2008-07,33
2008-08,25
2008-09,35
2008-10,42
2008-11,33
2008-12,55
2009-01,48
2009-02,42
2009-03,47
2009-04,39
2009-05,31
2009-06,40
2009-07,33
2009-08,29
2009-09,26
2009-10,29
2009-11,25
2009-12,25
2010-01,28
2010-02,27
2010-03,29
2010-04,27
2010-05,24
2010-06,23
2010-07,24
2010-08,27
2010-09,21
2010-10,24
2010-11,25
2010-12,23
2011-01,27
2011-02,22
2011-03,22
2011-04,24
2011-05,22
2011-06,21
2011-07,21
2011-08,27
2011-09,23
2011-10,22
2011-11,21
2011-12,18
2012-01,23
2012-02,21
2012-03,21
2012-04,23
2012-05,21
2012-06,22
2012-07,22
2012-08,20
2012-09,21
2012-10,20
2012-11,17
2012-12,18
2013-01,21
2013-02,21
2013-03,22
2013-04,22
2013-05,25
2013-06,36
2013-07,32
2013-08,26
2013-09,26
2013-10,22
2013-11,19
2013-12,17
2014-01,19
2014-02,19
2014-03,20
2014-04,19
2014-05,19
2014-06,18
2014-07,19
2014-08,17
2014-09,18
2014-10,18
2014-11,16
2014-12,17
2015-01,23
2015-02,22
2015-03,26
2015-04,23
2015-05,21
2015-06,22
2015-07,21
2015-08,22
2015-09,28
2015-10,21
2015-11,21
2015-12,29
2016-01,23
2016-02,30
2016-03,24
2016-04,24
2016-05,23
2016-06,23
2016-07,22
2016-08,20
2016-09,23
2016-10,22
2016-11,30
2016-12,30
2017-01,24
2017-02,25
2017-03,33
2017-04,26
2017-05,25
2017-06,25
2017-07,22
2017-08,20
2017-09,22
2017-10,23
2017-11,21
2017-12,21
2018-01,23
2018-02,33
2018-03,29
2018-04,30
2018-05,28
2018-06,28
2018-07,25
2018-08,26
2018-09,26
2018-10,32
2018-11,26
2018-12,30
2019-01,28
2019-02,28
2019-03,29
2019-04,29
2019-05,27
2019-06,31
2019-07,35
2019-08,38
2019-09,37
2019-10,30
2019-11,25
2019-12,23
2020-01,28
2020-02,32
2020-03,100
2020-04,46
2020-05,41
2020-06,36
2020-07,35
2020-08,33
2020-09,32
2020-10,30
2020-11,28
2020-12,26
2021-01,30
2021-02,36
2021-03,37
2021-04,31
2021-05,30
2021-06,28
2021-07,25
2021-08,24
2021-09,25
2021-10,26
2021-11,30
2021-12,26
2022-01,40
2022-02,45
2022-03,54
2022-04,59
2022-05,61
2022-06,72
2022-07,59
2022-08,45
2022-09,59
2022-10,58
2022-11,62
2022-12,51
2023-01,55
2023-02,64
2023-03,75
