Category: All categories

Month,unemployment rate: (United States)
2004-01,24
2004-02,24
2004-03,30
2004-04,35
2004-05,22
2004-06,18
2004-07,18
2004-08,21
2004-09,33
2004-10,30
2004-11,29
2004-12,19
2005-01,19
2005-02,23
2005-03,22
2005-04,26
2005-05,17
2005-06,17
2005-07,10
2005-08,15
2005-09,20
2005-10,17
2005-11,21
2005-12,19
2006-01,15
2006-02,18
2006-03,19
2006-04,24
2006-05,15
2006-06,12
2006-07,11
2006-08,9
2006-09,16
2006-10,16
2006-11,20
2006-12,13
2007-01,17
2007-02,16
2007-03,15
2007-04,16
2007-05,15
2007-06,11
2007-07,11
2007-08,11
2007-09,16
2007-10,18
2007-11,16
2007-12,12
2008-01,19
2008-02,18
2008-03,19
2008-04,21
2008-05,17
2008-06,18
2008-07,14
2008-08,15
2008-09,29
2008-10,34
2008-11,50
2008-12,44
2009-01,57
2009-02,68
2009-03,69
2009-04,60
2009-05,45
2009-06,50
2009-07,54
2009-08,47
2009-09,56
2009-10,60
2009-11,64
2009-12,46
2010-01,48
2010-02,52
2010-03,51
2010-04,47
2010-05,40
2010-06,32
2010-07,37
2010-08,30
2010-09,37
2010-10,40
2010-11,37
2010-12,38
2011-01,37
2011-02,39
2011-03,38
2011-04,40
2011-05,35
2011-06,34
2011-07,35
2011-08,37
2011-09,40
2011-10,41
2011-11,42
2011-12,38
2012-01,41
2012-02,43
2012-03,39
2012-04,34
2012-05,34
2012-06,31
2012-07,32
2012-08,35
2012-09,44
2012-10,65
2012-11,48
2012-12,33
2013-01,34
2013-02,32
2013-03,30
2013-04,33
2013-05,28
2013-06,23
2013-07,23
2013-08,24
2013-09,28
2013-10,29
2013-11,30
2013-12,25
2014-01,28
2014-02,29
2014-03,29
2014-04,27
2014-05,28
2014-06,19
2014-07,21
2014-08,17
2014-09,25
2014-10,29
2014-11,28
2014-12,24
2015-01,25
2015-02,26
2015-03,27
2015-04,28
2015-05,25
2015-06,20
2015-07,21
2015-08,15
2015-09,26
2015-10,26
2015-11,27
2015-12,24
2016-01,23
2016-02,31
2016-03,25
2016-04,27
2016-05,25
2016-06,20
2016-07,19
2016-08,16
2016-09,22
2016-10,24
2016-11,29
2016-12,24
2017-01,31
2017-02,25
2017-03,27
2017-04,25
2017-05,25
2017-06,18
2017-07,16
2017-08,17
2017-09,18
2017-10,24
2017-11,22
2017-12,20
2018-01,28
2018-02,25
2018-03,24
2018-04,25
2018-05,23
2018-06,28
2018-07,19
2018-08,22
2018-09,24
2018-10,30
2018-11,25
2018-12,20
2019-01,25
2019-02,23
2019-03,23
2019-04,27
2019-05,26
2019-06,17
2019-07,18
2019-08,16
2019-09,21
2019-10,25
2019-11,22
2019-12,21
2020-01,24
2020-02,30
2020-03,67
2020-04,100
2020-05,70
2020-06,52
2020-07,47
2020-08,42
2020-09,40
2020-10,37
2020-11,27
2020-12,25
2021-01,27
2021-02,24
2021-03,25
2021-04,24
2021-05,23
2021-06,16
2021-07,15
2021-08,14
2021-09,17
2021-10,21
2021-11,19
2021-12,16
2022-01,20
2022-02,21
2022-03,24
2022-04,28
2022-05,21
2022-06,16
2022-07,15
2022-08,15
2022-09,19
2022-10,21
2022-11,21
2022-12,18
2023-01,19
2023-02,25
2023-03,26
