Category: All categories

Month,us inflation rate: (United States)
2004-01,64
2004-02,62
2004-03,88
2004-04,71
2004-05,27
2004-06,28
2004-07,33
2004-08,28
2004-09,40
2004-10,23
2004-11,29
2004-12,40
2005-01,26
2005-02,41
2005-03,51
2005-04,48
2005-05,30
2005-06,36
2005-07,49
2005-08,46
2005-09,38
2005-10,53
2005-11,29
2005-12,36
2006-01,41
2006-02,32
2006-03,46
2006-04,49
2006-05,29
2006-06,29
2006-07,27
2006-08,39
2006-09,33
2006-10,17
2006-11,35
2006-12,38
2007-01,44
2007-02,35
2007-03,27
2007-04,40
2007-05,33
2007-06,29
2007-07,23
2007-08,30
2007-09,38
2007-10,37
2007-11,41
2007-12,39
2008-01,41
2008-02,46
2008-03,39
2008-04,41
2008-05,37
2008-06,36
2008-07,45
2008-08,31
2008-09,36
2008-10,45
2008-11,33
2008-12,25
2009-01,30
2009-02,27
2009-03,27
2009-04,37
2009-05,22
2009-06,24
2009-07,24
2009-08,27
2009-09,35
2009-10,37
2009-11,27
2009-12,25
2010-01,29
2010-02,33
2010-03,37
2010-04,29
2010-05,27
2010-06,17
2010-07,19
2010-08,16
2010-09,20
2010-10,28
2010-11,31
2010-12,24
2011-01,32
2011-02,33
2011-03,27
2011-04,37
2011-05,29
2011-06,19
2011-07,27
2011-08,27
2011-09,32
2011-10,37
2011-11,25
2011-12,31
2012-01,25
2012-02,37
2012-03,27
2012-04,35
2012-05,26
2012-06,27
2012-07,29
2012-08,26
2012-09,36
2012-10,39
2012-11,32
2012-12,30
2013-01,33
2013-02,39
2013-03,36
2013-04,41
2013-05,32
2013-06,27
2013-07,23
2013-08,29
2013-09,39
2013-10,39
2013-11,36
2013-12,37
2014-01,41
2014-02,39
2014-03,37
2014-04,42
2014-05,36
2014-06,26
2014-07,25
2014-08,21
2014-09,30
2014-10,32
2014-11,30
2014-12,30
2015-01,34
2015-02,37
2015-03,36
2015-04,42
2015-05,30
2015-06,27
2015-07,20
2015-08,23
2015-09,34
2015-10,34
2015-11,34
2015-12,30
2016-01,25
2016-02,31
2016-03,31
2016-04,29
2016-05,23
2016-06,20
2016-07,18
2016-08,20
2016-09,26
2016-10,27
2016-11,30
2016-12,29
2017-01,24
2017-02,32
2017-03,31
2017-04,33
2017-05,31
2017-06,19
2017-07,19
2017-08,20
2017-09,23
2017-10,35
2017-11,31
2017-12,27
2018-01,33
2018-02,37
2018-03,28
2018-04,39
2018-05,29
2018-06,23
2018-07,25
2018-08,26
2018-09,31
2018-10,35
2018-11,31
2018-12,34
2019-01,33
2019-02,42
2019-03,39
2019-04,41
2019-05,32
2019-06,25
2019-07,26
2019-08,27
2019-09,36
2019-10,36
2019-11,34
2019-12,32
2020-01,33
2020-02,41
2020-03,29
2020-04,32
2020-05,25
2020-06,21
2020-07,25
2020-08,26
2020-09,29
2020-10,28
2020-11,27
2020-12,27
2021-01,30
2021-02,38
2021-03,38
2021-04,38
2021-05,46
2021-06,35
2021-07,34
2021-08,33
2021-09,40
2021-10,52
2021-11,66
2021-12,60
2022-01,70
2022-02,86
2022-03,89
2022-04,100
2022-05,81
2022-06,86
2022-07,80
2022-08,65
2022-09,78
2022-10,80
2022-11,72
2022-12,63
2023-01,66
2023-02,75
2023-03,83
