Category: All categories

Month,what is the inflation rate: (United States)
2004-01,20
2004-02,14
2004-03,10
2004-04,26
2004-05,31
2004-06,0
2004-07,0
2004-08,15
2004-09,0
2004-10,11
2004-11,0
2004-12,30
2005-01,5
2005-02,0
2005-03,0
2005-04,0
2005-05,12
2005-06,13
2005-07,8
2005-08,5
2005-09,8
2005-10,0
2005-11,0
2005-12,0
2006-01,3
2006-02,0
2006-03,0
2006-04,0
2006-05,6
2006-06,6
2006-07,3
2006-08,3
2006-09,4
2006-10,7
2006-11,4
2006-12,3
2007-01,8
2007-02,5
2007-03,0
2007-04,11
2007-05,2
2007-06,9
2007-07,2
2007-08,4
2007-09,0
2007-10,6
2007-11,8
2007-12,7
2008-01,10
2008-02,5
2008-03,4
2008-04,9
2008-05,5
2008-06,12
2008-07,5
2008-08,8
2008-09,6
2008-10,11
2008-11,11
2008-12,7
2009-01,7
2009-02,8
2009-03,6
2009-04,11
2009-05,9
2009-06,7
2009-07,4
2009-08,5
2009-09,6
2009-10,12
2009-11,9
2009-12,12
2010-01,4
2010-02,11
2010-03,12
2010-04,12
2010-05,10
2010-06,5
2010-07,8
2010-08,5
2010-09,9
2010-10,9
2010-11,11
2010-12,9
2011-01,12
2011-02,15
2011-03,12
2011-04,20
2011-05,11
2011-06,9
2011-07,9
2011-08,9
2011-09,15
2011-10,15
2011-11,19
2011-12,12
2012-01,9
2012-02,20
2012-03,16
2012-04,18
2012-05,12
2012-06,13
2012-07,12
2012-08,11
2012-09,16
2012-10,23
2012-11,17
2012-12,17
2013-01,14
2013-02,23
2013-03,19
2013-04,25
2013-05,18
2013-06,13
2013-07,10
2013-08,8
2013-09,18
2013-10,22
2013-11,21
2013-12,19
2014-01,13
2014-02,23
2014-03,23
2014-04,26
2014-05,20
2014-06,13
2014-07,12
2014-08,7
2014-09,16
2014-10,28
2014-11,24
2014-12,19
2015-01,16
2015-02,22
2015-03,30
2015-04,27
2015-05,20
2015-06,12
2015-07,13
2015-08,10
2015-09,20
2015-10,28
2015-11,26
2015-12,19
2016-01,16
2016-02,32
2016-03,28
2016-04,29
2016-05,18
2016-06,13
2016-07,12
2016-08,9
2016-09,18
2016-10,28
2016-11,26
2016-12,21
2017-01,15
2017-02,35
2017-03,30
2017-04,33
2017-05,22
2017-06,15
2017-07,14
2017-08,9
2017-09,21
2017-10,33
2017-11,29
2017-12,22
2018-01,13
2018-02,30
2018-03,34
2018-04,38
2018-05,23
2018-06,14
2018-07,15
2018-08,11
2018-09,26
2018-10,37
2018-11,33
2018-12,24
2019-01,20
2019-02,34
2019-03,36
2019-04,37
2019-05,26
2019-06,18
2019-07,15
2019-08,12
2019-09,26
2019-10,35
2019-11,35
2019-12,25
2020-01,18
2020-02,38
2020-03,36
2020-04,46
2020-05,35
2020-06,19
2020-07,21
2020-08,13
2020-09,37
2020-10,51
2020-11,43
2020-12,29
2021-01,20
2021-02,40
2021-03,45
2021-04,52
2021-05,35
2021-06,21
2021-07,21
2021-08,15
2021-09,35
2021-10,51
2021-11,48
2021-12,40
2022-01,39
2022-02,72
2022-03,82
2022-04,100
2022-05,69
2022-06,51
2022-07,48
2022-08,37
2022-09,67
2022-10,87
2022-11,79
2022-12,57
2023-01,41
2023-02,82
2023-03,95
