Date,Dividends
2004-12-22,0.609000
2005-12-22,0.091000
2006-12-18,0.136000
2007-12-14,0.175000
2008-12-22,0.326000
2009-12-22,0.250000
2010-12-22,0.362000
2011-12-21,0.485000
2012-12-20,0.833000
2013-12-20,0.944000
2015-09-23,0.985000
2015-12-23,0.403000
2016-03-21,0.407000
2016-06-21,0.350000
2016-09-20,0.403000
2016-12-14,0.433000
2017-03-24,0.363000
2017-06-28,0.406000
2017-09-27,0.419000
2017-12-14,0.437000
2018-03-16,0.378000
2018-06-28,0.488000
2018-09-24,0.649000
2018-12-13,0.641000
2019-03-21,0.597000
2019-06-21,0.638000
2019-09-26,0.834000
2019-12-16,0.651000
2020-03-10,0.841000
2020-06-22,0.675000
2020-09-11,0.707000
2020-12-17,0.690000
2021-03-26,0.629000
2021-06-24,0.586000
2021-09-29,0.887000
2021-12-16,0.821000
2022-03-24,0.677000
2022-06-23,0.596000
2022-09-28,0.764000
2022-12-15,0.872000
