,INFLATION,DXY,SP500,10Y_BOND,Term Spread,UNEMPLOYMENT,EXPINF10YR
2004-01-01,2.02629,87.19999694824219,1131.1300048828125,4.138000011444092,3.24099999666214,5.7,2.3167501
2004-02-01,1.68845,87.30999755859375,1144.93994140625,3.9839999675750732,3.056999981403351,5.6,2.2754574
2004-03-01,1.74008,87.61000061035156,1126.2099609375,3.8369998931884766,2.913999915122986,5.8,2.1716856
2004-04-01,2.29258,90.4800033569336,1107.300048828125,4.500999927520752,3.5489999055862427,5.6,2.1480768
2004-05-01,2.89776,88.94999694824219,1120.6800537109375,4.65500020980835,3.6030001640319824,5.6,2.4546894
2004-06-01,3.16767,88.80000305175781,1140.8399658203125,4.617000102996826,3.314000129699707,5.6,2.5673682
2004-07-01,2.93958,89.95999908447266,1101.719970703125,4.474999904632568,3.062999963760376,5.5,2.501857
2004-08-01,2.54743,88.94000244140625,1104.239990234375,4.131999969482422,2.5640000104904175,5.4,2.4716518
2004-09-01,2.53917,87.36000061035156,1114.5799560546875,4.11899995803833,2.444999933242798,5.4,2.3558656
2004-10-01,3.19091,84.91000366210938,1130.199951171875,4.0289998054504395,2.161999821662903,5.5,2.3505515
2004-11-01,3.62162,81.81999969482422,1173.8199462890625,4.357999801635742,2.175999879837036,5.4,2.3070912
2004-12-01,3.34232,80.8499984741211,1211.9200439453125,4.216000080108643,2.0340001583099365,5.4,2.3469422
2005-01-01,2.84487,83.5999984741211,1181.27001953125,4.132999897003174,1.7109999656677246,5.3,2.3687512
2005-02-01,3.05303,82.51000213623047,1203.5999755859375,4.359000205993652,1.6690001487731934,5.4,2.3706533
2005-03-01,3.20684,84.05999755859375,1180.5899658203125,4.495999813079834,1.7739999294281006,5.2,2.474904
2005-04-01,3.36179,84.43000030517578,1156.8499755859375,4.201000213623047,1.3640003204345703,5.2,2.5215946
2005-05-01,2.86929,87.76000213623047,1191.5,4.00600004196167,1.124000072479248,5.1,2.4035554
2005-06-01,2.54103,89.11000061035156,1191.3299560546875,3.944999933242798,0.8849999904632568,5.0,2.2949612
2005-07-01,3.06716,89.3499984741211,1234.1800537109375,4.285999774932861,0.9539997577667236,5.0,2.359812
2005-08-01,3.64693,87.58000183105469,1220.3299560546875,4.019999980926514,0.5899999141693115,4.9,2.4709578
