Category: All categories

Month,current interest rate: (United States)
2004-01,56
2004-02,35
2004-03,37
2004-04,22
2004-05,26
2004-06,46
2004-07,54
2004-08,21
2004-09,31
2004-10,30
2004-11,42
2004-12,34
2005-01,32
2005-02,35
2005-03,46
2005-04,37
2005-05,47
2005-06,68
2005-07,36
2005-08,57
2005-09,47
2005-10,38
2005-11,47
2005-12,35
2006-01,37
2006-02,39
2006-03,45
2006-04,45
2006-05,41
2006-06,47
2006-07,48
2006-08,51
2006-09,47
2006-10,42
2006-11,38
2006-12,37
2007-01,45
2007-02,34
2007-03,40
2007-04,42
2007-05,45
2007-06,43
2007-07,34
2007-08,41
2007-09,46
2007-10,43
2007-11,43
2007-12,40
2008-01,90
2008-02,67
2008-03,72
2008-04,61
2008-05,43
2008-06,41
2008-07,39
2008-08,35
2008-09,46
2008-10,58
2008-11,47
2008-12,63
2009-01,61
2009-02,56
2009-03,55
2009-04,47
2009-05,42
2009-06,45
2009-07,36
2009-08,34
2009-09,31
2009-10,34
2009-11,31
2009-12,35
2010-01,36
2010-02,33
2010-03,29
2010-04,36
2010-05,35
2010-06,25
2010-07,29
2010-08,25
2010-09,26
2010-10,23
2010-11,27
2010-12,25
2011-01,26
2011-02,27
2011-03,27
2011-04,28
2011-05,24
2011-06,20
2011-07,20
2011-08,27
2011-09,23
2011-10,27
2011-11,23
2011-12,19
2012-01,22
2012-02,25
2012-03,25
2012-04,28
2012-05,22
2012-06,28
2012-07,26
2012-08,23
2012-09,24
2012-10,28
2012-11,26
2012-12,22
2013-01,23
2013-02,29
2013-03,24
2013-04,26
2013-05,25
2013-06,32
2013-07,31
2013-08,25
2013-09,25
2013-10,26
2013-11,27
2013-12,22
2014-01,24
2014-02,26
2014-03,27
2014-04,29
2014-05,25
2014-06,24
2014-07,27
2014-08,23
2014-09,25
2014-10,27
2014-11,28
2014-12,23
2015-01,28
2015-02,28
2015-03,30
2015-04,34
2015-05,26
2015-06,25
2015-07,26
2015-08,24
2015-09,32
2015-10,29
2015-11,29
2015-12,30
2016-01,26
2016-02,38
2016-03,32
2016-04,36
2016-05,30
2016-06,32
2016-07,29
2016-08,26
2016-09,31
2016-10,33
2016-11,34
2016-12,31
2017-01,29
2017-02,43
2017-03,42
2017-04,40
2017-05,34
2017-06,29
2017-07,25
2017-08,24
2017-09,33
2017-10,37
2017-11,38
2017-12,32
2018-01,26
2018-02,43
2018-03,40
2018-04,42
2018-05,37
2018-06,36
2018-07,37
2018-08,29
2018-09,40
2018-10,48
2018-11,40
2018-12,39
2019-01,32
2019-02,41
2019-03,41
2019-04,42
2019-05,37
2019-06,37
2019-07,38
2019-08,37
2019-09,51
2019-10,44
2019-11,40
2019-12,30
2020-01,34
2020-02,46
2020-03,100
2020-04,58
2020-05,46
2020-06,40
2020-07,45
2020-08,37
2020-09,48
2020-10,52
2020-11,44
2020-12,38
2021-01,34
2021-02,47
2021-03,52
2021-04,52
2021-05,40
2021-06,31
2021-07,30
2021-08,28
2021-09,39
2021-10,45
2021-11,44
2021-12,33
2022-01,41
2022-02,66
2022-03,74
2022-04,92
2022-05,83
2022-06,81
2022-07,80
2022-08,59
2022-09,92
2022-10,90
2022-11,90
2022-12,77
2023-01,76
2023-02,97
2023-03,94
