Category: All categories

Month,costco gas prices: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,3
2004-06,9
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,1
2004-12,0
2005-01,0
2005-02,1
2005-03,0
2005-04,3
2005-05,5
2005-06,0
2005-07,2
2005-08,2
2005-09,5
2005-10,3
2005-11,0
2005-12,0
2006-01,1
2006-02,0
2006-03,0
2006-04,3
2006-05,3
2006-06,2
2006-07,2
2006-08,0
2006-09,0
2006-10,3
2006-11,1
2006-12,0
2007-01,1
2007-02,<1
2007-03,3
2007-04,3
2007-05,2
2007-06,2
2007-07,1
2007-08,2
2007-09,1
2007-10,1
2007-11,2
2007-12,2
2008-01,1
2008-02,1
2008-03,4
2008-04,4
2008-05,6
2008-06,7
2008-07,4
2008-08,3
2008-09,3
2008-10,6
2008-11,5
2008-12,4
2009-01,1
2009-02,2
2009-03,1
2009-04,2
2009-05,1
2009-06,2
2009-07,3
2009-08,2
2009-09,2
2009-10,2
2009-11,1
2009-12,1
2010-01,1
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,3
2010-08,2
2010-09,3
2010-10,2
2010-11,2
2010-12,3
2011-01,3
2011-02,5
2011-03,9
2011-04,8
2011-05,8
2011-06,6
2011-07,6
2011-08,5
2011-09,6
2011-10,5
2011-11,4
2011-12,3
2012-01,5
2012-02,8
2012-03,9
2012-04,6
2012-05,6
2012-06,9
2012-07,8
2012-08,7
2012-09,7
2012-10,16
2012-11,8
2012-12,6
2013-01,6
2013-02,9
2013-03,7
2013-04,6
2013-05,7
2013-06,9
2013-07,8
2013-08,7
2013-09,6
2013-10,5
2013-11,7
2013-12,5
2014-01,5
2014-02,6
2014-03,7
2014-04,7
2014-05,7
2014-06,6
2014-07,7
2014-08,7
2014-09,6
2014-10,9
2014-11,10
2014-12,14
2015-01,15
2015-02,10
2015-03,9
2015-04,6
2015-05,8
2015-06,9
2015-07,12
2015-08,11
2015-09,10
2015-10,8
2015-11,8
2015-12,7
2016-01,8
2016-02,10
2016-03,7
2016-04,5
2016-05,6
2016-06,6
2016-07,6
2016-08,6
2016-09,6
2016-10,6
2016-11,6
2016-12,6
2017-01,6
2017-02,6
2017-03,6
2017-04,7
2017-05,7
2017-06,8
2017-07,9
2017-08,8
2017-09,12
2017-10,8
2017-11,9
2017-12,8
2018-01,10
2018-02,10
2018-03,11
2018-04,13
2018-05,14
2018-06,13
2018-07,12
2018-08,11
2018-09,11
2018-10,11
2018-11,13
2018-12,15
2019-01,12
2019-02,11
2019-03,14
2019-04,19
2019-05,16
2019-06,18
2019-07,19
2019-08,16
2019-09,16
2019-10,18
2019-11,13
2019-12,13
2020-01,13
2020-02,13
2020-03,30
2020-04,30
2020-05,14
2020-06,10
2020-07,8
2020-08,8
2020-09,7
2020-10,8
2020-11,7
2020-12,8
2021-01,10
2021-02,13
2021-03,14
2021-04,14
2021-05,20
2021-06,15
2021-07,16
2021-08,14
2021-09,13
2021-10,19
2021-11,21
2021-12,16
2022-01,14
2022-02,26
2022-03,100
2022-04,33
2022-05,46
2022-06,68
2022-07,54
2022-08,40
2022-09,31
2022-10,38
2022-11,25
2022-12,29
2023-01,23
2023-02,20
2023-03,22
