Category: All categories

Month,house for sale: (United States)
2004-01,16
2004-02,16
2004-03,19
2004-04,19
2004-05,19
2004-06,19
2004-07,21
2004-08,19
2004-09,18
2004-10,14
2004-11,14
2004-12,12
2005-01,17
2005-02,16
2005-03,18
2005-04,19
2005-05,18
2005-06,18
2005-07,19
2005-08,18
2005-09,16
2005-10,16
2005-11,16
2005-12,12
2006-01,18
2006-02,18
2006-03,18
2006-04,19
2006-05,19
2006-06,19
2006-07,21
2006-08,19
2006-09,16
2006-10,16
2006-11,14
2006-12,13
2007-01,18
2007-02,18
2007-03,20
2007-04,20
2007-05,21
2007-06,22
2007-07,23
2007-08,21
2007-09,19
2007-10,18
2007-11,16
2007-12,15
2008-01,22
2008-02,22
2008-03,25
2008-04,25
2008-05,24
2008-06,24
2008-07,25
2008-08,22
2008-09,23
2008-10,17
2008-11,19
2008-12,18
2009-01,26
2009-02,24
2009-03,27
2009-04,26
2009-05,28
2009-06,26
2009-07,29
2009-08,26
2009-09,25
2009-10,23
2009-11,22
2009-12,20
2010-01,25
2010-02,26
2010-03,28
2010-04,27
2010-05,25
2010-06,27
2010-07,29
2010-08,28
2010-09,25
2010-10,24
2010-11,20
2010-12,19
2011-01,32
2011-02,32
2011-03,35
2011-04,35
2011-05,38
2011-06,38
2011-07,40
2011-08,37
2011-09,33
2011-10,31
2011-11,29
2011-12,29
2012-01,39
2012-02,38
2012-03,42
2012-04,41
2012-05,39
2012-06,40
2012-07,43
2012-08,40
2012-09,37
2012-10,34
2012-11,29
2012-12,29
2013-01,40
2013-02,38
2013-03,42
2013-04,44
2013-05,43
2013-06,42
2013-07,41
2013-08,39
2013-09,35
2013-10,33
2013-11,33
2013-12,30
2014-01,38
2014-02,35
2014-03,40
2014-04,41
2014-05,41
2014-06,44
2014-07,46
2014-08,40
2014-09,39
2014-10,36
2014-11,35
2014-12,33
2015-01,43
2015-02,44
2015-03,49
2015-04,53
2015-05,56
2015-06,56
2015-07,60
2015-08,60
2015-09,50
2015-10,49
2015-11,45
2015-12,40
2016-01,57
2016-02,59
2016-03,65
2016-04,69
2016-05,69
2016-06,72
2016-07,69
2016-08,65
2016-09,59
2016-10,56
2016-11,49
2016-12,46
2017-01,56
2017-02,59
2017-03,66
2017-04,68
2017-05,69
2017-06,67
2017-07,77
2017-08,68
2017-09,59
2017-10,57
2017-11,53
2017-12,47
2018-01,59
2018-02,63
2018-03,67
2018-04,70
2018-05,70
2018-06,75
2018-07,75
2018-08,70
2018-09,64
2018-10,61
2018-11,54
2018-12,52
2019-01,63
2019-02,67
2019-03,71
2019-04,72
2019-05,79
2019-06,78
2019-07,81
2019-08,71
2019-09,70
2019-10,62
2019-11,58
2019-12,53
2020-01,67
2020-02,68
2020-03,57
2020-04,66
2020-05,85
2020-06,93
2020-07,100
2020-08,91
2020-09,79
2020-10,77
2020-11,66
2020-12,70
2021-01,83
2021-02,86
2021-03,88
2021-04,94
2021-05,94
2021-06,90
2021-07,91
2021-08,90
2021-09,81
2021-10,82
2021-11,73
2021-12,68
2022-01,72
2022-02,81
2022-03,81
2022-04,78
2022-05,77
2022-06,78
2022-07,85
2022-08,79
2022-09,69
2022-10,61
2022-11,57
2022-12,50
2023-01,64
2023-02,65
2023-03,69
