Category: All categories

Month,house sale prices: (United States)
2004-01,0
2004-02,56
2004-03,67
2004-04,35
2004-05,35
2004-06,100
2004-07,42
2004-08,26
2004-09,28
2004-10,17
2004-11,0
2004-12,23
2005-01,41
2005-02,25
2005-03,47
2005-04,24
2005-05,30
2005-06,40
2005-07,50
2005-08,24
2005-09,0
2005-10,19
2005-11,22
2005-12,34
2006-01,35
2006-02,23
2006-03,34
2006-04,39
2006-05,44
2006-06,45
2006-07,25
2006-08,21
2006-09,20
2006-10,18
2006-11,23
2006-12,23
2007-01,19
2007-02,32
2007-03,22
2007-04,29
2007-05,31
2007-06,22
2007-07,36
2007-08,29
2007-09,21
2007-10,12
2007-11,19
2007-12,27
2008-01,25
2008-02,23
2008-03,29
2008-04,37
2008-05,31
2008-06,12
2008-07,18
2008-08,16
2008-09,26
2008-10,24
2008-11,21
2008-12,14
2009-01,30
2009-02,33
2009-03,21
2009-04,21
2009-05,31
2009-06,32
2009-07,14
2009-08,17
2009-09,21
2009-10,25
2009-11,33
2009-12,19
2010-01,32
2010-02,24
2010-03,19
2010-04,30
2010-05,24
2010-06,26
2010-07,19
2010-08,16
2010-09,15
2010-10,9
2010-11,23
2010-12,14
2011-01,23
2011-02,21
2011-03,22
2011-04,18
2011-05,19
2011-06,23
2011-07,15
2011-08,21
2011-09,20
2011-10,13
2011-11,16
2011-12,15
2012-01,18
2012-02,22
2012-03,27
2012-04,21
2012-05,22
2012-06,24
2012-07,26
2012-08,25
2012-09,20
2012-10,22
2012-11,16
2012-12,15
2013-01,14
2013-02,21
2013-03,19
2013-04,21
2013-05,26
2013-06,23
2013-07,29
2013-08,20
2013-09,24
2013-10,19
2013-11,23
2013-12,17
2014-01,21
2014-02,20
2014-03,20
2014-04,26
2014-05,28
2014-06,19
2014-07,21
2014-08,21
2014-09,19
2014-10,18
2014-11,14
2014-12,16
2015-01,24
2015-02,21
2015-03,23
2015-04,22
2015-05,22
2015-06,23
2015-07,25
2015-08,24
2015-09,24
2015-10,24
2015-11,21
2015-12,16
2016-01,27
2016-02,24
2016-03,20
2016-04,26
2016-05,25
2016-06,25
2016-07,26
2016-08,19
2016-09,21
2016-10,25
2016-11,28
2016-12,22
2017-01,22
2017-02,27
2017-03,24
2017-04,27
2017-05,27
2017-06,26
2017-07,31
2017-08,26
2017-09,26
2017-10,26
2017-11,23
2017-12,18
2018-01,23
2018-02,27
2018-03,24
2018-04,24
2018-05,28
2018-06,30
2018-07,32
2018-08,28
2018-09,23
2018-10,26
2018-11,23
2018-12,22
2019-01,25
2019-02,23
2019-03,21
2019-04,24
2019-05,23
2019-06,23
2019-07,25
2019-08,23
2019-09,23
2019-10,21
2019-11,17
2019-12,18
2020-01,26
2020-02,29
2020-03,24
2020-04,29
2020-05,33
2020-06,24
2020-07,29
2020-08,24
2020-09,28
2020-10,25
2020-11,21
2020-12,26
2021-01,28
2021-02,27
2021-03,31
2021-04,33
2021-05,33
2021-06,35
2021-07,27
2021-08,29
2021-09,27
2021-10,31
2021-11,18
2021-12,27
2022-01,38
2022-02,36
2022-03,41
2022-04,35
2022-05,40
2022-06,44
2022-07,36
2022-08,35
2022-09,29
2022-10,34
2022-11,31
2022-12,25
2023-01,30
2023-02,34
2023-03,34
