Category: All categories

Month,houses for sale: (United States)
2004-01,19
2004-02,18
2004-03,20
2004-04,19
2004-05,18
2004-06,18
2004-07,18
2004-08,18
2004-09,16
2004-10,14
2004-11,14
2004-12,13
2005-01,19
2005-02,19
2005-03,19
2005-04,21
2005-05,20
2005-06,19
2005-07,21
2005-08,18
2005-09,15
2005-10,16
2005-11,15
2005-12,13
2006-01,19
2006-02,18
2006-03,21
2006-04,20
2006-05,19
2006-06,19
2006-07,20
2006-08,18
2006-09,15
2006-10,15
2006-11,13
2006-12,13
2007-01,18
2007-02,16
2007-03,17
2007-04,18
2007-05,18
2007-06,19
2007-07,20
2007-08,18
2007-09,17
2007-10,17
2007-11,15
2007-12,14
2008-01,21
2008-02,20
2008-03,23
2008-04,21
2008-05,21
2008-06,21
2008-07,22
2008-08,21
2008-09,19
2008-10,17
2008-11,16
2008-12,17
2009-01,25
2009-02,25
2009-03,28
2009-04,25
2009-05,28
2009-06,27
2009-07,28
2009-08,27
2009-09,23
2009-10,23
2009-11,21
2009-12,18
2010-01,27
2010-02,26
2010-03,28
2010-04,27
2010-05,26
2010-06,25
2010-07,25
2010-08,26
2010-09,21
2010-10,19
2010-11,18
2010-12,17
2011-01,28
2011-02,27
2011-03,29
2011-04,29
2011-05,29
2011-06,29
2011-07,32
2011-08,30
2011-09,27
2011-10,25
2011-11,23
2011-12,23
2012-01,32
2012-02,32
2012-03,33
2012-04,36
2012-05,34
2012-06,35
2012-07,38
2012-08,35
2012-09,32
2012-10,29
2012-11,26
2012-12,26
2013-01,37
2013-02,36
2013-03,38
2013-04,39
2013-05,37
2013-06,32
2013-07,29
2013-08,31
2013-09,27
2013-10,27
2013-11,28
2013-12,26
2014-01,34
2014-02,29
2014-03,30
2014-04,28
2014-05,29
2014-06,29
2014-07,30
2014-08,27
2014-09,25
2014-10,27
2014-11,28
2014-12,27
2015-01,38
2015-02,40
2015-03,42
2015-04,46
2015-05,49
2015-06,49
2015-07,54
2015-08,52
2015-09,44
2015-10,41
2015-11,38
2015-12,37
2016-01,54
2016-02,55
2016-03,60
2016-04,60
2016-05,61
2016-06,60
2016-07,64
2016-08,60
2016-09,53
2016-10,50
2016-11,43
2016-12,44
2017-01,56
2017-02,55
2017-03,60
2017-04,65
2017-05,66
2017-06,65
2017-07,72
2017-08,64
2017-09,54
2017-10,55
2017-11,49
2017-12,47
2018-01,62
2018-02,59
2018-03,66
2018-04,69
2018-05,66
2018-06,69
2018-07,76
2018-08,70
2018-09,60
2018-10,56
2018-11,52
2018-12,49
2019-01,63
2019-02,65
2019-03,69
2019-04,70
2019-05,75
2019-06,76
2019-07,78
2019-08,72
2019-09,64
2019-10,58
2019-11,52
2019-12,54
2020-01,67
2020-02,72
2020-03,60
2020-04,74
2020-05,90
2020-06,91
2020-07,99
2020-08,95
2020-09,85
2020-10,84
2020-11,73
2020-12,72
2021-01,87
2021-02,94
2021-03,96
2021-04,100
2021-05,98
2021-06,94
2021-07,94
2021-08,94
2021-09,84
2021-10,81
2021-11,75
2021-12,68
2022-01,81
2022-02,82
2022-03,85
2022-04,80
2022-05,71
2022-06,77
2022-07,80
2022-08,78
2022-09,65
2022-10,62
2022-11,51
2022-12,50
2023-01,61
2023-02,64
2023-03,64
