Category: All categories

Month,gas prices: (United States)
2004-01,5
2004-02,5
2004-03,11
2004-04,11
2004-05,30
2004-06,12
2004-07,6
2004-08,6
2004-09,5
2004-10,9
2004-11,7
2004-12,6
2005-01,5
2005-02,4
2005-03,15
2005-04,20
2005-05,10
2005-06,8
2005-07,12
2005-08,58
2005-09,94
2005-10,21
2005-11,15
2005-12,9
2006-01,9
2006-02,7
2006-03,10
2006-04,34
2006-05,23
2006-06,12
2006-07,17
2006-08,18
2006-09,24
2006-10,13
2006-11,8
2006-12,6
2007-01,9
2007-02,7
2007-03,11
2007-04,14
2007-05,33
2007-06,13
2007-07,11
2007-08,8
2007-09,8
2007-10,8
2007-11,19
2007-12,7
2008-01,9
2008-02,10
2008-03,21
2008-04,31
2008-05,48
2008-06,40
2008-07,28
2008-08,21
2008-09,44
2008-10,42
2008-11,36
2008-12,20
2009-01,13
2009-02,9
2009-03,8
2009-04,6
2009-05,12
2009-06,10
2009-07,9
2009-08,7
2009-09,7
2009-10,8
2009-11,7
2009-12,6
2010-01,7
2010-02,6
2010-03,7
2010-04,7
2010-05,8
2010-06,7
2010-07,6
2010-08,5
2010-09,6
2010-10,6
2010-11,7
2010-12,9
2011-01,11
2011-02,19
2011-03,28
2011-04,30
2011-05,28
2011-06,17
2011-07,14
2011-08,14
2011-09,12
2011-10,11
2011-11,9
2011-12,9
2012-01,12
2012-02,23
2012-03,25
2012-04,16
2012-05,14
2012-06,15
2012-07,12
2012-08,15
2012-09,14
2012-10,25
2012-11,14
2012-12,9
2013-01,9
2013-02,15
2013-03,10
2013-04,9
2013-05,12
2013-06,11
2013-07,11
2013-08,9
2013-09,8
2013-10,8
2013-11,9
2013-12,7
2014-01,7
2014-02,9
2014-03,8
2014-04,9
2014-05,8
2014-06,9
2014-07,8
2014-08,6
2014-09,7
2014-10,12
2014-11,11
2014-12,21
2015-01,19
2015-02,12
2015-03,9
2015-04,7
2015-05,9
2015-06,8
2015-07,11
2015-08,13
2015-09,11
2015-10,8
2015-11,9
2015-12,9
2016-01,12
2016-02,10
2016-03,8
2016-04,7
2016-05,7
2016-06,7
2016-07,7
2016-08,6
2016-09,8
2016-10,6
2016-11,6
2016-12,6
2017-01,7
2017-02,5
2017-03,6
2017-04,7
2017-05,7
2017-06,7
2017-07,7
2017-08,10
2017-09,13
2017-10,6
2017-11,7
2017-12,6
2018-01,7
2018-02,6
2018-03,7
2018-04,10
2018-05,14
2018-06,10
2018-07,9
2018-08,8
2018-09,8
2018-10,8
2018-11,10
2018-12,11
2019-01,10
2019-02,8
2019-03,10
2019-04,13
2019-05,10
2019-06,11
2019-07,11
2019-08,9
2019-09,11
2019-10,10
2019-11,9
2019-12,8
2020-01,9
2020-02,9
2020-03,23
2020-04,20
2020-05,9
2020-06,6
2020-07,6
2020-08,6
2020-09,5
2020-10,6
2020-11,8
2020-12,6
2021-01,12
2021-02,17
2021-03,19
2021-04,9
2021-05,25
2021-06,12
2021-07,13
2021-08,11
2021-09,10
2021-10,20
2021-11,19
2021-12,11
2022-01,10
2022-02,26
2022-03,100
2022-04,23
2022-05,43
2022-06,66
2022-07,36
2022-08,24
2022-09,20
2022-10,22
2022-11,16
2022-12,16
2023-01,15
2023-02,12
2023-03,11
