Category: All categories

Month,natural gas prices: (United States)
2004-01,31
2004-02,23
2004-03,15
2004-04,21
2004-05,22
2004-06,16
2004-07,18
2004-08,36
2004-09,29
2004-10,34
2004-11,41
2004-12,26
2005-01,24
2005-02,17
2005-03,20
2005-04,25
2005-05,12
2005-06,12
2005-07,24
2005-08,61
2005-09,99
2005-10,100
2005-11,60
2005-12,56
2006-01,52
2006-02,36
2006-03,32
2006-04,28
2006-05,24
2006-06,26
2006-07,34
2006-08,38
2006-09,63
2006-10,53
2006-11,36
2006-12,23
2007-01,28
2007-02,20
2007-03,17
2007-04,16
2007-05,22
2007-06,15
2007-07,18
2007-08,22
2007-09,20
2007-10,29
2007-11,25
2007-12,15
2008-01,20
2008-02,18
2008-03,24
2008-04,22
2008-05,30
2008-06,37
2008-07,43
2008-08,40
2008-09,53
2008-10,63
2008-11,48
2008-12,42
2009-01,36
2009-02,27
2009-03,29
2009-04,30
2009-05,35
2009-06,36
2009-07,31
2009-08,34
2009-09,56
2009-10,52
2009-11,38
2009-12,33
2010-01,35
2010-02,21
2010-03,28
2010-04,25
2010-05,21
2010-06,27
2010-07,17
2010-08,17
2010-09,21
2010-10,24
2010-11,21
2010-12,22
2011-01,26
2011-02,29
2011-03,29
2011-04,26
2011-05,22
2011-06,18
2011-07,18
2011-08,21
2011-09,22
2011-10,24
2011-11,25
2011-12,21
2012-01,34
2012-02,34
2012-03,36
2012-04,35
2012-05,33
2012-06,25
2012-07,27
2012-08,27
2012-09,25
2012-10,29
2012-11,27
2012-12,20
2013-01,23
2013-02,19
2013-03,24
2013-04,25
2013-05,21
2013-06,17
2013-07,18
2013-08,17
2013-09,17
2013-10,20
2013-11,17
2013-12,20
2014-01,31
2014-02,32
2014-03,25
2014-04,19
2014-05,17
2014-06,16
2014-07,16
2014-08,16
2014-09,17
2014-10,22
2014-11,24
2014-12,34
2015-01,33
2015-02,28
2015-03,20
2015-04,19
2015-05,18
2015-06,18
2015-07,18
2015-08,19
2015-09,19
2015-10,23
2015-11,19
2015-12,25
2016-01,24
2016-02,22
2016-03,19
2016-04,17
2016-05,17
2016-06,19
2016-07,17
2016-08,17
2016-09,16
2016-10,21
2016-11,18
2016-12,24
2017-01,19
2017-02,19
2017-03,17
2017-04,13
2017-05,13
2017-06,14
2017-07,16
2017-08,14
2017-09,13
2017-10,14
2017-11,15
2017-12,21
2018-01,25
2018-02,16
2018-03,12
2018-04,11
2018-05,11
2018-06,10
2018-07,11
2018-08,9
2018-09,11
2018-10,16
2018-11,28
2018-12,20
2019-01,21
2019-02,15
2019-03,11
2019-04,11
2019-05,11
2019-06,11
2019-07,12
2019-08,14
2019-09,15
2019-10,16
2019-11,19
2019-12,17
2020-01,19
2020-02,17
2020-03,21
2020-04,21
2020-05,15
2020-06,13
2020-07,10
2020-08,14
2020-09,13
2020-10,15
2020-11,10
2020-12,13
2021-01,10
2021-02,40
2021-03,13
2021-04,9
2021-05,11
2021-06,11
2021-07,12
2021-08,13
2021-09,30
2021-10,42
2021-11,26
2021-12,21
2022-01,25
2022-02,34
2022-03,34
2022-04,25
2022-05,26
2022-06,31
2022-07,26
2022-08,29
2022-09,32
2022-10,28
2022-11,23
2022-12,29
2023-01,49
2023-02,42
2023-03,29
