Category: All categories

Month,savings account interest: (United States)
2004-01,10
2004-02,7
2004-03,12
2004-04,11
2004-05,9
2004-06,11
2004-07,7
2004-08,7
2004-09,3
2004-10,7
2004-11,7
2004-12,5
2005-01,11
2005-02,11
2005-03,10
2005-04,9
2005-05,12
2005-06,9
2005-07,6
2005-08,9
2005-09,10
2005-10,13
2005-11,8
2005-12,9
2006-01,16
2006-02,17
2006-03,12
2006-04,12
2006-05,8
2006-06,13
2006-07,12
2006-08,13
2006-09,10
2006-10,15
2006-11,10
2006-12,11
2007-01,17
2007-02,13
2007-03,16
2007-04,16
2007-05,12
2007-06,14
2007-07,15
2007-08,15
2007-09,13
2007-10,15
2007-11,12
2007-12,13
2008-01,22
2008-02,22
2008-03,21
2008-04,19
2008-05,14
2008-06,18
2008-07,16
2008-08,14
2008-09,16
2008-10,17
2008-11,13
2008-12,14
2009-01,21
2009-02,23
2009-03,23
2009-04,16
2009-05,16
2009-06,14
2009-07,16
2009-08,17
2009-09,16
2009-10,19
2009-11,13
2009-12,15
2010-01,20
2010-02,22
2010-03,20
2010-04,18
2010-05,16
2010-06,14
2010-07,15
2010-08,15
2010-09,15
2010-10,15
2010-11,15
2010-12,13
2011-01,19
2011-02,19
2011-03,16
2011-04,19
2011-05,15
2011-06,15
2011-07,15
2011-08,14
2011-09,14
2011-10,16
2011-11,14
2011-12,13
2012-01,19
2012-02,17
2012-03,20
2012-04,18
2012-05,16
2012-06,14
2012-07,14
2012-08,13
2012-09,14
2012-10,14
2012-11,15
2012-12,12
2013-01,16
2013-02,18
2013-03,16
2013-04,16
2013-05,15
2013-06,12
2013-07,14
2013-08,13
2013-09,13
2013-10,14
2013-11,13
2013-12,14
2014-01,17
2014-02,18
2014-03,18
2014-04,17
2014-05,17
2014-06,14
2014-07,15
2014-08,14
2014-09,16
2014-10,17
2014-11,17
2014-12,16
2015-01,20
2015-02,21
2015-03,20
2015-04,22
2015-05,19
2015-06,17
2015-07,17
2015-08,18
2015-09,20
2015-10,20
2015-11,19
2015-12,19
2016-01,28
2016-02,28
2016-03,24
2016-04,25
2016-05,24
2016-06,17
2016-07,18
2016-08,17
2016-09,21
2016-10,26
2016-11,25
2016-12,24
2017-01,29
2017-02,38
2017-03,35
2017-04,32
2017-05,30
2017-06,25
2017-07,26
2017-08,24
2017-09,34
2017-10,35
2017-11,31
2017-12,27
2018-01,34
2018-02,38
2018-03,35
2018-04,37
2018-05,34
2018-06,28
2018-07,30
2018-08,28
2018-09,35
2018-10,41
2018-11,33
2018-12,36
2019-01,44
2019-02,49
2019-03,47
2019-04,44
2019-05,38
2019-06,36
2019-07,36
2019-08,36
2019-09,41
2019-10,45
2019-11,41
2019-12,39
2020-01,52
2020-02,58
2020-03,43
2020-04,49
2020-05,54
2020-06,47
2020-07,48
2020-08,44
2020-09,49
2020-10,49
2020-11,37
2020-12,43
2021-01,50
2021-02,50
2021-03,52
2021-04,47
2021-05,44
2021-06,33
2021-07,33
2021-08,30
2021-09,36
2021-10,38
2021-11,37
2021-12,34
2022-01,44
2022-02,54
2022-03,54
2022-04,60
2022-05,55
2022-06,52
2022-07,52
2022-08,52
2022-09,64
2022-10,63
2022-11,66
2022-12,69
2023-01,76
2023-02,89
2023-03,100
