Category: All categories

Month,interest rate mortgage: (United States)
2004-01,38
2004-02,32
2004-03,25
2004-04,49
2004-05,39
2004-06,44
2004-07,33
2004-08,32
2004-09,23
2004-10,27
2004-11,27
2004-12,23
2005-01,30
2005-02,31
2005-03,33
2005-04,33
2005-05,32
2005-06,38
2005-07,27
2005-08,30
2005-09,30
2005-10,27
2005-11,26
2005-12,18
2006-01,31
2006-02,27
2006-03,28
2006-04,27
2006-05,29
2006-06,33
2006-07,27
2006-08,34
2006-09,30
2006-10,24
2006-11,21
2006-12,20
2007-01,30
2007-02,29
2007-03,30
2007-04,29
2007-05,31
2007-06,33
2007-07,32
2007-08,32
2007-09,34
2007-10,26
2007-11,28
2007-12,29
2008-01,73
2008-02,56
2008-03,58
2008-04,40
2008-05,35
2008-06,32
2008-07,33
2008-08,25
2008-09,29
2008-10,41
2008-11,21
2008-12,60
2009-01,50
2009-02,43
2009-03,48
2009-04,38
2009-05,28
2009-06,38
2009-07,29
2009-08,21
2009-09,22
2009-10,21
2009-11,19
2009-12,18
2010-01,22
2010-02,21
2010-03,21
2010-04,23
2010-05,22
2010-06,18
2010-07,21
2010-08,23
2010-09,18
2010-10,20
2010-11,19
2010-12,17
2011-01,19
2011-02,19
2011-03,19
2011-04,16
2011-05,18
2011-06,17
2011-07,17
2011-08,24
2011-09,20
2011-10,19
2011-11,15
2011-12,15
2012-01,21
2012-02,18
2012-03,19
2012-04,21
2012-05,20
2012-06,19
2012-07,19
2012-08,18
2012-09,19
2012-10,19
2012-11,15
2012-12,15
2013-01,20
2013-02,20
2013-03,18
2013-04,19
2013-05,20
2013-06,27
2013-07,26
2013-08,21
2013-09,18
2013-10,17
2013-11,16
2013-12,14
2014-01,17
2014-02,17
2014-03,18
2014-04,18
2014-05,16
2014-06,16
2014-07,16
2014-08,15
2014-09,15
2014-10,17
2014-11,15
2014-12,14
2015-01,22
2015-02,21
2015-03,22
2015-04,20
2015-05,19
2015-06,23
2015-07,19
2015-08,19
2015-09,19
2015-10,19
2015-11,17
2015-12,19
2016-01,16
2016-02,22
2016-03,21
2016-04,21
2016-05,19
2016-06,20
2016-07,21
2016-08,18
2016-09,19
2016-10,18
2016-11,24
2016-12,21
2017-01,22
2017-02,21
2017-03,27
2017-04,24
2017-05,21
2017-06,20
2017-07,21
2017-08,19
2017-09,19
2017-10,22
2017-11,21
2017-12,20
2018-01,24
2018-02,31
2018-03,28
2018-04,28
2018-05,28
2018-06,29
2018-07,27
2018-08,25
2018-09,27
2018-10,28
2018-11,23
2018-12,25
2019-01,27
2019-02,27
2019-03,28
2019-04,29
2019-05,27
2019-06,32
2019-07,31
2019-08,37
2019-09,35
2019-10,28
2019-11,24
2019-12,20
2020-01,28
2020-02,33
2020-03,100
2020-04,43
2020-05,42
2020-06,40
2020-07,40
2020-08,36
2020-09,33
2020-10,31
2020-11,26
2020-12,25
2021-01,33
2021-02,36
2021-03,35
2021-04,33
2021-05,27
2021-06,24
2021-07,23
2021-08,23
2021-09,22
2021-10,24
2021-11,23
2021-12,19
2022-01,35
2022-02,44
2022-03,51
2022-04,54
2022-05,49
2022-06,53
2022-07,50
2022-08,38
2022-09,49
2022-10,49
2022-11,46
2022-12,37
2023-01,41
2023-02,48
2023-03,52
