Category: All categories

Month,natural gas: (United States)
2004-01,63
2004-02,55
2004-03,59
2004-04,55
2004-05,56
2004-06,54
2004-07,49
2004-08,58
2004-09,60
2004-10,63
2004-11,64
2004-12,56
2005-01,56
2005-02,55
2005-03,49
2005-04,55
2005-05,51
2005-06,53
2005-07,48
2005-08,65
2005-09,99
2005-10,100
2005-11,74
2005-12,70
2006-01,74
2006-02,64
2006-03,59
2006-04,62
2006-05,63
2006-06,53
2006-07,56
2006-08,56
2006-09,66
2006-10,67
2006-11,54
2006-12,52
2007-01,58
2007-02,52
2007-03,50
2007-04,53
2007-05,54
2007-06,53
2007-07,50
2007-08,48
2007-09,50
2007-10,56
2007-11,64
2007-12,52
2008-01,57
2008-02,55
2008-03,60
2008-04,64
2008-05,77
2008-06,77
2008-07,80
2008-08,71
2008-09,98
2008-10,77
2008-11,66
2008-12,60
2009-01,56
2009-02,58
2009-03,70
2009-04,56
2009-05,57
2009-06,60
2009-07,62
2009-08,57
2009-09,68
2009-10,66
2009-11,60
2009-12,59
2010-01,61
2010-02,53
2010-03,58
2010-04,57
2010-05,54
2010-06,57
2010-07,46
2010-08,43
2010-09,48
2010-10,48
2010-11,51
2010-12,50
2011-01,56
2011-02,64
2011-03,67
2011-04,63
2011-05,59
2011-06,53
2011-07,48
2011-08,52
2011-09,54
2011-10,61
2011-11,60
2011-12,54
2012-01,64
2012-02,65
2012-03,69
2012-04,71
2012-05,64
2012-06,54
2012-07,52
2012-08,51
2012-09,49
2012-10,65
2012-11,76
2012-12,54
2013-01,60
2013-02,56
2013-03,58
2013-04,60
2013-05,57
2013-06,48
2013-07,49
2013-08,50
2013-09,46
2013-10,55
2013-11,58
2013-12,57
2014-01,66
2014-02,63
2014-03,61
2014-04,57
2014-05,55
2014-06,53
2014-07,47
2014-08,44
2014-09,52
2014-10,53
2014-11,59
2014-12,55
2015-01,58
2015-02,59
2015-03,53
2015-04,53
2015-05,51
2015-06,47
2015-07,46
2015-08,46
2015-09,47
2015-10,57
2015-11,52
2015-12,52
2016-01,50
2016-02,49
2016-03,47
2016-04,47
2016-05,44
2016-06,41
2016-07,39
2016-08,36
2016-09,42
2016-10,45
2016-11,48
2016-12,50
2017-01,47
2017-02,49
2017-03,49
2017-04,46
2017-05,46
2017-06,45
2017-07,40
2017-08,42
2017-09,44
2017-10,48
2017-11,50
2017-12,51
2018-01,57
2018-02,49
2018-03,49
2018-04,47
2018-05,47
2018-06,42
2018-07,41
2018-08,39
2018-09,43
2018-10,51
2018-11,55
2018-12,48
2019-01,53
2019-02,50
2019-03,47
2019-04,47
2019-05,47
2019-06,43
2019-07,43
2019-08,40
2019-09,45
2019-10,51
2019-11,54
2019-12,47
2020-01,53
2020-02,50
2020-03,44
2020-04,48
2020-05,50
2020-06,44
2020-07,40
2020-08,46
2020-09,45
2020-10,51
2020-11,46
2020-12,48
2021-01,46
2021-02,73
2021-03,49
2021-04,47
2021-05,46
2021-06,42
2021-07,40
2021-08,41
2021-09,53
2021-10,56
2021-11,57
2021-12,50
2022-01,61
2022-02,67
2022-03,69
2022-04,61
2022-05,58
2022-06,56
2022-07,49
2022-08,51
2022-09,57
2022-10,61
2022-11,57
2022-12,59
2023-01,70
2023-02,66
2023-03,60
