Category: All categories

Month,home prices: (United States)
2004-01,83
2004-02,92
2004-03,87
2004-04,84
2004-05,100
2004-06,99
2004-07,86
2004-08,94
2004-09,85
2004-10,76
2004-11,77
2004-12,67
2005-01,85
2005-02,75
2005-03,89
2005-04,86
2005-05,94
2005-06,95
2005-07,86
2005-08,94
2005-09,81
2005-10,79
2005-11,72
2005-12,58
2006-01,80
2006-02,89
2006-03,83
2006-04,75
2006-05,84
2006-06,78
2006-07,83
2006-08,81
2006-09,81
2006-10,75
2006-11,65
2006-12,60
2007-01,70
2007-02,65
2007-03,75
2007-04,70
2007-05,68
2007-06,69
2007-07,71
2007-08,70
2007-09,66
2007-10,65
2007-11,66
2007-12,64
2008-01,72
2008-02,72
2008-03,81
2008-04,77
2008-05,77
2008-06,80
2008-07,77
2008-08,69
2008-09,76
2008-10,93
2008-11,78
2008-12,74
2009-01,74
2009-02,78
2009-03,73
2009-04,68
2009-05,70
2009-06,76
2009-07,72
2009-08,71
2009-09,64
2009-10,64
2009-11,63
2009-12,56
2010-01,72
2010-02,62
2010-03,72
2010-04,69
2010-05,65
2010-06,56
2010-07,52
2010-08,52
2010-09,49
2010-10,45
2010-11,44
2010-12,48
2011-01,57
2011-02,56
2011-03,60
2011-04,55
2011-05,62
2011-06,58
2011-07,59
2011-08,57
2011-09,53
2011-10,49
2011-11,48
2011-12,47
2012-01,53
2012-02,51
2012-03,53
2012-04,51
2012-05,50
2012-06,50
2012-07,52
2012-08,47
2012-09,48
2012-10,48
2012-11,48
2012-12,44
2013-01,51
2013-02,47
2013-03,50
2013-04,53
2013-05,54
2013-06,54
2013-07,53
2013-08,51
2013-09,45
2013-10,43
2013-11,43
2013-12,44
2014-01,51
2014-02,46
2014-03,49
2014-04,48
2014-05,52
2014-06,49
2014-07,48
2014-08,47
2014-09,43
2014-10,43
2014-11,45
2014-12,43
2015-01,50
2015-02,45
2015-03,49
2015-04,47
2015-05,47
2015-06,49
2015-07,53
2015-08,52
2015-09,44
2015-10,43
2015-11,44
2015-12,41
2016-01,54
2016-02,47
2016-03,48
2016-04,49
2016-05,43
2016-06,51
2016-07,48
2016-08,46
2016-09,44
2016-10,45
2016-11,43
2016-12,42
2017-01,45
2017-02,43
2017-03,39
2017-04,58
2017-05,47
2017-06,59
2017-07,52
2017-08,46
2017-09,43
2017-10,44
2017-11,46
2017-12,48
2018-01,47
2018-02,48
2018-03,48
2018-04,52
2018-05,45
2018-06,52
2018-07,53
2018-08,50
2018-09,46
2018-10,53
2018-11,48
2018-12,40
2019-01,40
2019-02,40
2019-03,43
2019-04,43
2019-05,44
2019-06,50
2019-07,44
2019-08,41
2019-09,37
2019-10,35
2019-11,37
2019-12,35
2020-01,39
2020-02,43
2020-03,48
2020-04,49
2020-05,49
2020-06,41
2020-07,43
2020-08,43
2020-09,41
2020-10,36
2020-11,37
2020-12,37
2021-01,40
2021-02,45
2021-03,46
2021-04,50
2021-05,58
2021-06,53
2021-07,49
2021-08,44
2021-09,44
2021-10,46
2021-11,48
2021-12,40
2022-01,51
2022-02,57
2022-03,70
2022-04,62
2022-05,62
2022-06,65
2022-07,58
2022-08,54
2022-09,53
2022-10,55
2022-11,47
2022-12,45
2023-01,50
2023-02,50
2023-03,57
