Category: All categories

Month,texas house prices: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,53
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,100
2005-05,0
2005-06,0
2005-07,76
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,31
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,28
2006-08,77
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,47
2007-03,0
2007-04,0
2007-05,61
2007-06,43
2007-07,0
2007-08,27
2007-09,42
2007-10,0
2007-11,0
2007-12,16
2008-01,0
2008-02,0
2008-03,47
2008-04,0
2008-05,30
2008-06,25
2008-07,18
2008-08,34
2008-09,0
2008-10,0
2008-11,20
2008-12,0
2009-01,12
2009-02,20
2009-03,25
2009-04,41
2009-05,29
2009-06,49
2009-07,58
2009-08,22
2009-09,36
2009-10,36
2009-11,37
2009-12,12
2010-01,0
2010-02,37
2010-03,38
2010-04,25
2010-05,18
2010-06,23
2010-07,25
2010-08,24
2010-09,32
2010-10,29
2010-11,0
2010-12,0
2011-01,21
2011-02,10
2011-03,15
2011-04,25
2011-05,17
2011-06,24
2011-07,30
2011-08,24
2011-09,0
2011-10,17
2011-11,20
2011-12,18
2012-01,31
2012-02,28
2012-03,14
2012-04,26
2012-05,27
2012-06,15
2012-07,20
2012-08,29
2012-09,24
2012-10,24
2012-11,24
2012-12,19
2013-01,20
2013-02,15
2013-03,25
2013-04,18
2013-05,24
2013-06,25
2013-07,28
2013-08,29
2013-09,12
2013-10,35
2013-11,18
2013-12,45
2014-01,42
2014-02,0
2014-03,25
2014-04,17
2014-05,28
2014-06,20
2014-07,27
2014-08,36
2014-09,23
2014-10,25
2014-11,28
2014-12,19
2015-01,37
2015-02,24
2015-03,40
2015-04,33
2015-05,30
2015-06,20
2015-07,42
2015-08,30
2015-09,50
2015-10,31
2015-11,37
2015-12,28
2016-01,37
2016-02,52
2016-03,30
2016-04,37
2016-05,29
2016-06,28
2016-07,37
2016-08,33
2016-09,35
2016-10,32
2016-11,27
2016-12,39
2017-01,38
2017-02,42
2017-03,24
2017-04,44
2017-05,40
2017-06,51
2017-07,58
2017-08,46
2017-09,47
2017-10,33
2017-11,34
2017-12,35
2018-01,30
2018-02,40
2018-03,52
2018-04,51
2018-05,28
2018-06,51
2018-07,48
2018-08,49
2018-09,32
2018-10,46
2018-11,54
2018-12,43
2019-01,50
2019-02,63
2019-03,44
2019-04,46
2019-05,53
2019-06,37
2019-07,50
2019-08,47
2019-09,48
2019-10,43
2019-11,25
2019-12,47
2020-01,38
2020-02,51
2020-03,41
2020-04,36
2020-05,41
2020-06,27
2020-07,47
2020-08,31
2020-09,39
2020-10,39
2020-11,37
2020-12,44
2021-01,41
2021-02,55
2021-03,49
2021-04,52
2021-05,55
2021-06,58
2021-07,58
2021-08,55
2021-09,52
2021-10,44
2021-11,39
2021-12,55
2022-01,80
2022-02,61
2022-03,67
2022-04,65
2022-05,71
2022-06,57
2022-07,53
2022-08,42
2022-09,51
2022-10,57
2022-11,52
2022-12,42
2023-01,57
2023-02,48
2023-03,42
