Category: All categories

Month,cheap gas prices: (United States)
2004-01,0
2004-02,4
2004-03,18
2004-04,4
2004-05,44
2004-06,11
2004-07,7
2004-08,4
2004-09,9
2004-10,10
2004-11,0
2004-12,4
2005-01,4
2005-02,6
2005-03,28
2005-04,26
2005-05,12
2005-06,13
2005-07,15
2005-08,94
2005-09,100
2005-10,13
2005-11,8
2005-12,9
2006-01,10
2006-02,6
2006-03,11
2006-04,42
2006-05,31
2006-06,15
2006-07,20
2006-08,21
2006-09,36
2006-10,17
2006-11,6
2006-12,6
2007-01,10
2007-02,9
2007-03,17
2007-04,19
2007-05,35
2007-06,17
2007-07,18
2007-08,13
2007-09,10
2007-10,9
2007-11,23
2007-12,10
2008-01,12
2008-02,14
2008-03,26
2008-04,38
2008-05,55
2008-06,37
2008-07,32
2008-08,31
2008-09,25
2008-10,41
2008-11,32
2008-12,22
2009-01,16
2009-02,8
2009-03,10
2009-04,6
2009-05,16
2009-06,11
2009-07,11
2009-08,12
2009-09,6
2009-10,5
2009-11,5
2009-12,5
2010-01,6
2010-02,2
2010-03,7
2010-04,7
2010-05,8
2010-06,6
2010-07,6
2010-08,5
2010-09,6
2010-10,6
2010-11,6
2010-12,11
2011-01,11
2011-02,18
2011-03,25
2011-04,24
2011-05,24
2011-06,17
2011-07,14
2011-08,13
2011-09,13
2011-10,12
2011-11,10
2011-12,9
2012-01,13
2012-02,19
2012-03,20
2012-04,13
2012-05,13
2012-06,16
2012-07,13
2012-08,16
2012-09,13
2012-10,17
2012-11,12
2012-12,10
2013-01,10
2013-02,16
2013-03,11
2013-04,8
2013-05,11
2013-06,12
2013-07,11
2013-08,9
2013-09,7
2013-10,9
2013-11,9
2013-12,7
2014-01,6
2014-02,7
2014-03,7
2014-04,8
2014-05,9
2014-06,8
2014-07,5
2014-08,6
2014-09,5
2014-10,10
2014-11,8
2014-12,16
2015-01,13
2015-02,8
2015-03,6
2015-04,6
2015-05,8
2015-06,6
2015-07,8
2015-08,7
2015-09,8
2015-10,6
2015-11,6
2015-12,5
2016-01,7
2016-02,7
2016-03,6
2016-04,5
2016-05,6
2016-06,5
2016-07,5
2016-08,4
2016-09,7
2016-10,6
2016-11,4
2016-12,4
2017-01,5
2017-02,4
2017-03,4
2017-04,5
2017-05,5
2017-06,5
2017-07,5
2017-08,6
2017-09,7
2017-10,5
2017-11,5
2017-12,5
2018-01,4
2018-02,5
2018-03,6
2018-04,9
2018-05,11
2018-06,7
2018-07,8
2018-08,7
2018-09,6
2018-10,6
2018-11,6
2018-12,6
2019-01,5
2019-02,4
2019-03,6
2019-04,7
2019-05,6
2019-06,6
2019-07,6
2019-08,5
2019-09,5
2019-10,6
2019-11,6
2019-12,7
2020-01,6
2020-02,5
2020-03,13
2020-04,10
2020-05,5
2020-06,4
2020-07,4
2020-08,4
2020-09,4
2020-10,4
2020-11,4
2020-12,4
2021-01,5
2021-02,5
2021-03,5
2021-04,5
2021-05,7
2021-06,6
2021-07,6
2021-08,5
2021-09,4
2021-10,7
2021-11,6
2021-12,3
2022-01,5
2022-02,8
2022-03,22
2022-04,9
2022-05,14
2022-06,16
2022-07,11
2022-08,7
2022-09,6
2022-10,7
2022-11,5
2022-12,5
2023-01,5
2023-02,4
2023-03,5
