Category: All categories

Month,inflation index: (United States)
2004-01,100
2004-02,82
2004-03,54
2004-04,89
2004-05,85
2004-06,82
2004-07,27
2004-08,53
2004-09,50
2004-10,71
2004-11,69
2004-12,67
2005-01,67
2005-02,66
2005-03,33
2005-04,55
2005-05,38
2005-06,52
2005-07,34
2005-08,32
2005-09,48
2005-10,35
2005-11,59
2005-12,46
2006-01,59
2006-02,48
2006-03,56
2006-04,62
2006-05,45
2006-06,54
2006-07,38
2006-08,40
2006-09,53
2006-10,45
2006-11,40
2006-12,35
2007-01,39
2007-02,55
2007-03,42
2007-04,43
2007-05,41
2007-06,22
2007-07,43
2007-08,36
2007-09,36
2007-10,48
2007-11,51
2007-12,42
2008-01,48
2008-02,53
2008-03,60
2008-04,50
2008-05,45
2008-06,50
2008-07,50
2008-08,39
2008-09,40
2008-10,61
2008-11,40
2008-12,37
2009-01,40
2009-02,42
2009-03,31
2009-04,43
2009-05,32
2009-06,35
2009-07,31
2009-08,21
2009-09,37
2009-10,42
2009-11,38
2009-12,38
2010-01,24
2010-02,44
2010-03,43
2010-04,30
2010-05,28
2010-06,18
2010-07,16
2010-08,20
2010-09,22
2010-10,32
2010-11,35
2010-12,22
2011-01,27
2011-02,38
2011-03,36
2011-04,44
2011-05,28
2011-06,25
2011-07,22
2011-08,25
2011-09,33
2011-10,30
2011-11,29
2011-12,23
2012-01,20
2012-02,34
2012-03,27
2012-04,33
2012-05,27
2012-06,21
2012-07,23
2012-08,19
2012-09,31
2012-10,37
2012-11,26
2012-12,18
2013-01,27
2013-02,32
2013-03,33
2013-04,33
2013-05,27
2013-06,20
2013-07,15
2013-08,14
2013-09,25
2013-10,31
2013-11,27
2013-12,24
2014-01,25
2014-02,35
2014-03,32
2014-04,34
2014-05,25
2014-06,23
2014-07,23
2014-08,17
2014-09,26
2014-10,33
2014-11,28
2014-12,28
2015-01,21
2015-02,31
2015-03,33
2015-04,33
2015-05,26
2015-06,23
2015-07,20
2015-08,17
2015-09,32
2015-10,35
2015-11,33
2015-12,27
2016-01,21
2016-02,33
2016-03,28
2016-04,32
2016-05,23
2016-06,15
2016-07,16
2016-08,17
2016-09,26
2016-10,30
2016-11,24
2016-12,24
2017-01,22
2017-02,33
2017-03,36
2017-04,30
2017-05,21
2017-06,18
2017-07,15
2017-08,14
2017-09,26
2017-10,37
2017-11,24
2017-12,22
2018-01,26
2018-02,40
2018-03,29
2018-04,30
2018-05,23
2018-06,18
2018-07,18
2018-08,15
2018-09,28
2018-10,35
2018-11,29
2018-12,21
2019-01,21
2019-02,31
2019-03,31
2019-04,27
2019-05,23
2019-06,16
2019-07,17
2019-08,15
2019-09,25
2019-10,33
2019-11,27
2019-12,21
2020-01,18
2020-02,29
2020-03,25
2020-04,28
2020-05,25
2020-06,19
2020-07,19
2020-08,17
2020-09,28
2020-10,40
2020-11,24
2020-12,19
2021-01,18
2021-02,37
2021-03,41
2021-04,31
2021-05,39
2021-06,27
2021-07,24
2021-08,19
2021-09,31
2021-10,40
2021-11,45
2021-12,34
2022-01,38
2022-02,67
2022-03,57
2022-04,63
2022-05,56
2022-06,53
2022-07,46
2022-08,36
2022-09,52
2022-10,67
2022-11,51
2022-12,40
2023-01,40
2023-02,64
2023-03,66
