Category: All categories

Month,cheap gas: (United States)
2004-01,7
2004-02,8
2004-03,10
2004-04,12
2004-05,48
2004-06,23
2004-07,14
2004-08,9
2004-09,10
2004-10,13
2004-11,10
2004-12,8
2005-01,7
2005-02,8
2005-03,22
2005-04,30
2005-05,17
2005-06,21
2005-07,22
2005-08,84
2005-09,100
2005-10,24
2005-11,21
2005-12,12
2006-01,13
2006-02,10
2006-03,18
2006-04,52
2006-05,37
2006-06,23
2006-07,31
2006-08,26
2006-09,35
2006-10,18
2006-11,12
2006-12,10
2007-01,12
2007-02,11
2007-03,18
2007-04,21
2007-05,40
2007-06,22
2007-07,19
2007-08,15
2007-09,14
2007-10,13
2007-11,24
2007-12,13
2008-01,15
2008-02,18
2008-03,28
2008-04,43
2008-05,66
2008-06,58
2008-07,49
2008-08,38
2008-09,37
2008-10,60
2008-11,49
2008-12,29
2009-01,18
2009-02,12
2009-03,14
2009-04,11
2009-05,17
2009-06,16
2009-07,15
2009-08,15
2009-09,11
2009-10,12
2009-11,12
2009-12,10
2010-01,12
2010-02,10
2010-03,12
2010-04,11
2010-05,14
2010-06,13
2010-07,13
2010-08,12
2010-09,11
2010-10,12
2010-11,12
2010-12,15
2011-01,17
2011-02,27
2011-03,37
2011-04,40
2011-05,37
2011-06,31
2011-07,28
2011-08,25
2011-09,22
2011-10,20
2011-11,18
2011-12,19
2012-01,22
2012-02,29
2012-03,31
2012-04,27
2012-05,26
2012-06,29
2012-07,25
2012-08,29
2012-09,24
2012-10,28
2012-11,23
2012-12,19
2013-01,19
2013-02,26
2013-03,20
2013-04,17
2013-05,21
2013-06,21
2013-07,23
2013-08,17
2013-09,16
2013-10,17
2013-11,18
2013-12,14
2014-01,14
2014-02,15
2014-03,18
2014-04,19
2014-05,18
2014-06,18
2014-07,16
2014-08,16
2014-09,14
2014-10,19
2014-11,18
2014-12,26
2015-01,26
2015-02,16
2015-03,16
2015-04,15
2015-05,17
2015-06,16
2015-07,18
2015-08,19
2015-09,19
2015-10,15
2015-11,15
2015-12,13
2016-01,17
2016-02,16
2016-03,15
2016-04,15
2016-05,16
2016-06,16
2016-07,16
2016-08,14
2016-09,15
2016-10,14
2016-11,13
2016-12,15
2017-01,14
2017-02,14
2017-03,14
2017-04,16
2017-05,16
2017-06,16
2017-07,18
2017-08,18
2017-09,21
2017-10,15
2017-11,17
2017-12,15
2018-01,16
2018-02,15
2018-03,17
2018-04,20
2018-05,23
2018-06,20
2018-07,20
2018-08,18
2018-09,18
2018-10,19
2018-11,18
2018-12,19
2019-01,16
2019-02,17
2019-03,20
2019-04,25
2019-05,22
2019-06,22
2019-07,23
2019-08,20
2019-09,21
2019-10,21
2019-11,24
2019-12,17
2020-01,17
2020-02,17
2020-03,21
2020-04,18
2020-05,14
2020-06,13
2020-07,12
2020-08,12
2020-09,11
2020-10,11
2020-11,10
2020-12,11
2021-01,13
2021-02,14
2021-03,15
2021-04,13
2021-05,17
2021-06,15
2021-07,16
2021-08,14
2021-09,14
2021-10,18
2021-11,18
2021-12,14
2022-01,14
2022-02,22
2022-03,38
2022-04,20
2022-05,31
2022-06,40
2022-07,28
2022-08,23
2022-09,18
2022-10,21
2022-11,15
2022-12,15
2023-01,16
2023-02,13
2023-03,15
