Category: All categories

Month,best gas prices: (United States)
2004-01,15
2004-02,8
2004-03,18
2004-04,19
2004-05,52
2004-06,40
2004-07,9
2004-08,15
2004-09,0
2004-10,18
2004-11,0
2004-12,0
2005-01,10
2005-02,14
2005-03,15
2005-04,21
2005-05,13
2005-06,11
2005-07,26
2005-08,53
2005-09,100
2005-10,21
2005-11,16
2005-12,10
2006-01,12
2006-02,8
2006-03,9
2006-04,46
2006-05,22
2006-06,13
2006-07,18
2006-08,15
2006-09,18
2006-10,13
2006-11,7
2006-12,3
2007-01,13
2007-02,8
2007-03,13
2007-04,16
2007-05,29
2007-06,14
2007-07,12
2007-08,10
2007-09,6
2007-10,12
2007-11,18
2007-12,11
2008-01,11
2008-02,12
2008-03,26
2008-04,38
2008-05,53
2008-06,52
2008-07,39
2008-08,27
2008-09,26
2008-10,29
2008-11,31
2008-12,23
2009-01,7
2009-02,12
2009-03,8
2009-04,4
2009-05,14
2009-06,14
2009-07,10
2009-08,12
2009-09,9
2009-10,11
2009-11,8
2009-12,9
2010-01,8
2010-02,10
2010-03,9
2010-04,12
2010-05,15
2010-06,11
2010-07,8
2010-08,9
2010-09,8
2010-10,11
2010-11,11
2010-12,16
2011-01,17
2011-02,23
2011-03,39
2011-04,39
2011-05,35
2011-06,23
2011-07,19
2011-08,18
2011-09,16
2011-10,15
2011-11,13
2011-12,11
2012-01,16
2012-02,27
2012-03,30
2012-04,23
2012-05,17
2012-06,21
2012-07,19
2012-08,19
2012-09,17
2012-10,23
2012-11,19
2012-12,14
2013-01,12
2013-02,16
2013-03,15
2013-04,14
2013-05,15
2013-06,15
2013-07,16
2013-08,14
2013-09,12
2013-10,10
2013-11,13
2013-12,11
2014-01,11
2014-02,10
2014-03,12
2014-04,16
2014-05,13
2014-06,14
2014-07,14
2014-08,10
2014-09,12
2014-10,14
2014-11,14
2014-12,22
2015-01,19
2015-02,11
2015-03,12
2015-04,12
2015-05,11
2015-06,11
2015-07,18
2015-08,15
2015-09,12
2015-10,12
2015-11,13
2015-12,9
2016-01,12
2016-02,12
2016-03,11
2016-04,9
2016-05,10
2016-06,11
2016-07,10
2016-08,7
2016-09,9
2016-10,8
2016-11,8
2016-12,8
2017-01,10
2017-02,8
2017-03,9
2017-04,10
2017-05,10
2017-06,10
2017-07,9
2017-08,11
2017-09,15
2017-10,10
2017-11,10
2017-12,9
2018-01,9
2018-02,9
2018-03,10
2018-04,12
2018-05,17
2018-06,14
2018-07,15
2018-08,13
2018-09,11
2018-10,11
2018-11,14
2018-12,12
2019-01,13
2019-02,12
2019-03,13
2019-04,18
2019-05,16
2019-06,16
2019-07,16
2019-08,13
2019-09,14
2019-10,15
2019-11,14
2019-12,13
2020-01,14
2020-02,13
2020-03,21
2020-04,21
2020-05,13
2020-06,11
2020-07,9
2020-08,10
2020-09,8
2020-10,9
2020-11,10
2020-12,8
2021-01,14
2021-02,16
2021-03,19
2021-04,14
2021-05,22
2021-06,14
2021-07,17
2021-08,14
2021-09,14
2021-10,23
2021-11,23
2021-12,14
2022-01,16
2022-02,30
2022-03,95
2022-04,31
2022-05,51
2022-06,69
2022-07,41
2022-08,30
2022-09,25
2022-10,28
2022-11,19
2022-12,20
2023-01,21
2023-02,18
2023-03,17
