Category: All categories

Month,Ohio gas prices: (United States)
2004-01,0
2004-02,22
2004-03,0
2004-04,0
2004-05,15
2004-06,18
2004-07,0
2004-08,10
2004-09,12
2004-10,6
2004-11,27
2004-12,0
2005-01,0
2005-02,4
2005-03,21
2005-04,13
2005-05,15
2005-06,11
2005-07,12
2005-08,53
2005-09,79
2005-10,18
2005-11,10
2005-12,8
2006-01,6
2006-02,13
2006-03,17
2006-04,23
2006-05,17
2006-06,14
2006-07,26
2006-08,35
2006-09,32
2006-10,14
2006-11,13
2006-12,8
2007-01,9
2007-02,9
2007-03,9
2007-04,12
2007-05,44
2007-06,19
2007-07,13
2007-08,16
2007-09,14
2007-10,12
2007-11,17
2007-12,8
2008-01,9
2008-02,10
2008-03,28
2008-04,25
2008-05,55
2008-06,34
2008-07,23
2008-08,27
2008-09,28
2008-10,46
2008-11,26
2008-12,15
2009-01,14
2009-02,6
2009-03,8
2009-04,6
2009-05,14
2009-06,8
2009-07,11
2009-08,5
2009-09,7
2009-10,10
2009-11,8
2009-12,9
2010-01,7
2010-02,6
2010-03,6
2010-04,9
2010-05,6
2010-06,14
2010-07,12
2010-08,8
2010-09,13
2010-10,12
2010-11,10
2010-12,18
2011-01,17
2011-02,27
2011-03,35
2011-04,55
2011-05,51
2011-06,32
2011-07,30
2011-08,36
2011-09,27
2011-10,26
2011-11,23
2011-12,20
2012-01,25
2012-02,34
2012-03,40
2012-04,29
2012-05,24
2012-06,34
2012-07,27
2012-08,35
2012-09,29
2012-10,33
2012-11,30
2012-12,22
2013-01,24
2013-02,29
2013-03,25
2013-04,21
2013-05,23
2013-06,40
2013-07,31
2013-08,23
2013-09,18
2013-10,23
2013-11,26
2013-12,21
2014-01,19
2014-02,17
2014-03,21
2014-04,22
2014-05,23
2014-06,26
2014-07,22
2014-08,22
2014-09,23
2014-10,25
2014-11,22
2014-12,36
2015-01,29
2015-02,19
2015-03,18
2015-04,18
2015-05,21
2015-06,17
2015-07,23
2015-08,34
2015-09,26
2015-10,24
2015-11,24
2015-12,22
2016-01,23
2016-02,18
2016-03,13
2016-04,17
2016-05,18
2016-06,20
2016-07,19
2016-08,16
2016-09,17
2016-10,16
2016-11,12
2016-12,15
2017-01,17
2017-02,15
2017-03,14
2017-04,16
2017-05,15
2017-06,14
2017-07,16
2017-08,18
2017-09,21
2017-10,18
2017-11,21
2017-12,16
2018-01,14
2018-02,15
2018-03,17
2018-04,24
2018-05,28
2018-06,19
2018-07,24
2018-08,20
2018-09,21
2018-10,23
2018-11,24
2018-12,28
2019-01,23
2019-02,24
2019-03,30
2019-04,29
2019-05,27
2019-06,34
2019-07,36
2019-08,29
2019-09,30
2019-10,25
2019-11,25
2019-12,26
2020-01,25
2020-02,30
2020-03,49
2020-04,39
2020-05,21
2020-06,15
2020-07,14
2020-08,17
2020-09,16
2020-10,17
2020-11,17
2020-12,17
2021-01,23
2021-02,28
2021-03,25
2021-04,22
2021-05,36
2021-06,27
2021-07,23
2021-08,21
2021-09,19
2021-10,31
2021-11,30
2021-12,20
2022-01,22
2022-02,36
2022-03,98
2022-04,37
2022-05,66
2022-06,100
2022-07,62
2022-08,44
2022-09,35
2022-10,40
2022-11,34
2022-12,33
2023-01,31
2023-02,24
2023-03,34
