Category: All categories

Month,what is interest rate: (United States)
2004-01,0
2004-02,4
2004-03,3
2004-04,5
2004-05,6
2004-06,8
2004-07,4
2004-08,2
2004-09,9
2004-10,3
2004-11,3
2004-12,4
2005-01,5
2005-02,6
2005-03,9
2005-04,9
2005-05,5
2005-06,7
2005-07,5
2005-08,7
2005-09,4
2005-10,6
2005-11,5
2005-12,6
2006-01,7
2006-02,7
2006-03,9
2006-04,8
2006-05,4
2006-06,9
2006-07,7
2006-08,5
2006-09,5
2006-10,5
2006-11,8
2006-12,4
2007-01,6
2007-02,4
2007-03,7
2007-04,6
2007-05,7
2007-06,8
2007-07,6
2007-08,8
2007-09,9
2007-10,8
2007-11,8
2007-12,8
2008-01,14
2008-02,10
2008-03,11
2008-04,11
2008-05,10
2008-06,9
2008-07,8
2008-08,6
2008-09,10
2008-10,12
2008-11,9
2008-12,11
2009-01,12
2009-02,13
2009-03,15
2009-04,14
2009-05,14
2009-06,12
2009-07,13
2009-08,11
2009-09,12
2009-10,13
2009-11,13
2009-12,10
2010-01,12
2010-02,15
2010-03,15
2010-04,15
2010-05,15
2010-06,12
2010-07,13
2010-08,13
2010-09,13
2010-10,13
2010-11,13
2010-12,12
2011-01,14
2011-02,17
2011-03,18
2011-04,18
2011-05,18
2011-06,15
2011-07,14
2011-08,16
2011-09,17
2011-10,17
2011-11,17
2011-12,15
2012-01,16
2012-02,21
2012-03,19
2012-04,22
2012-05,20
2012-06,19
2012-07,18
2012-08,17
2012-09,20
2012-10,25
2012-11,21
2012-12,18
2013-01,19
2013-02,24
2013-03,23
2013-04,27
2013-05,23
2013-06,20
2013-07,22
2013-08,18
2013-09,22
2013-10,25
2013-11,24
2013-12,20
2014-01,21
2014-02,27
2014-03,25
2014-04,30
2014-05,25
2014-06,21
2014-07,19
2014-08,17
2014-09,25
2014-10,27
2014-11,26
2014-12,23
2015-01,24
2015-02,31
2015-03,29
2015-04,31
2015-05,26
2015-06,23
2015-07,23
2015-08,20
2015-09,29
2015-10,30
2015-11,29
2015-12,26
2016-01,27
2016-02,37
2016-03,34
2016-04,37
2016-05,31
2016-06,25
2016-07,23
2016-08,21
2016-09,29
2016-10,35
2016-11,31
2016-12,28
2017-01,29
2017-02,41
2017-03,42
2017-04,40
2017-05,33
2017-06,26
2017-07,23
2017-08,22
2017-09,32
2017-10,42
2017-11,38
2017-12,30
2018-01,24
2018-02,41
2018-03,41
2018-04,40
2018-05,36
2018-06,29
2018-07,27
2018-08,25
2018-09,40
2018-10,49
2018-11,40
2018-12,35
2019-01,34
2019-02,46
2019-03,42
2019-04,47
2019-05,37
2019-06,33
2019-07,30
2019-08,30
2019-09,44
2019-10,41
2019-11,38
2019-12,31
2020-01,35
2020-02,50
2020-03,67
2020-04,58
2020-05,46
2020-06,40
2020-07,40
2020-08,33
2020-09,51
2020-10,64
2020-11,46
2020-12,43
2021-01,37
2021-02,52
2021-03,57
2021-04,54
2021-05,50
2021-06,32
2021-07,31
2021-08,28
2021-09,44
2021-10,50
2021-11,47
2021-12,39
2022-01,46
2022-02,70
2022-03,77
2022-04,92
2022-05,70
2022-06,62
2022-07,56
2022-08,48
2022-09,74
2022-10,79
2022-11,79
2022-12,64
2023-01,60
2023-02,87
2023-03,100
