Category: All categories

Month,lowest gas prices: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,8
2004-05,62
2004-06,11
2004-07,8
2004-08,4
2004-09,0
2004-10,16
2004-11,19
2004-12,6
2005-01,0
2005-02,3
2005-03,18
2005-04,26
2005-05,11
2005-06,11
2005-07,18
2005-08,98
2005-09,100
2005-10,26
2005-11,29
2005-12,0
2006-01,11
2006-02,3
2006-03,8
2006-04,51
2006-05,32
2006-06,14
2006-07,25
2006-08,25
2006-09,48
2006-10,15
2006-11,11
2006-12,5
2007-01,12
2007-02,5
2007-03,13
2007-04,22
2007-05,42
2007-06,20
2007-07,13
2007-08,13
2007-09,5
2007-10,8
2007-11,24
2007-12,5
2008-01,7
2008-02,11
2008-03,24
2008-04,43
2008-05,72
2008-06,60
2008-07,42
2008-08,37
2008-09,37
2008-10,95
2008-11,84
2008-12,37
2009-01,19
2009-02,10
2009-03,9
2009-04,4
2009-05,11
2009-06,12
2009-07,14
2009-08,5
2009-09,8
2009-10,10
2009-11,9
2009-12,6
2010-01,8
2010-02,8
2010-03,7
2010-04,8
2010-05,4
2010-06,5
2010-07,7
2010-08,6
2010-09,9
2010-10,5
2010-11,9
2010-12,10
2011-01,11
2011-02,17
2011-03,30
2011-04,37
2011-05,39
2011-06,24
2011-07,27
2011-08,20
2011-09,15
2011-10,14
2011-11,14
2011-12,11
2012-01,14
2012-02,23
2012-03,27
2012-04,21
2012-05,15
2012-06,25
2012-07,16
2012-08,20
2012-09,16
2012-10,21
2012-11,15
2012-12,14
2013-01,12
2013-02,17
2013-03,10
2013-04,9
2013-05,12
2013-06,14
2013-07,14
2013-08,9
2013-09,9
2013-10,9
2013-11,13
2013-12,8
2014-01,6
2014-02,8
2014-03,6
2014-04,10
2014-05,9
2014-06,8
2014-07,9
2014-08,9
2014-09,8
2014-10,22
2014-11,18
2014-12,52
2015-01,42
2015-02,12
2015-03,7
2015-04,8
2015-05,9
2015-06,9
2015-07,9
2015-08,15
2015-09,18
2015-10,11
2015-11,15
2015-12,14
2016-01,38
2016-02,19
2016-03,9
2016-04,8
2016-05,8
2016-06,7
2016-07,8
2016-08,5
2016-09,8
2016-10,6
2016-11,7
2016-12,8
2017-01,5
2017-02,6
2017-03,5
2017-04,5
2017-05,7
2017-06,6
2017-07,11
2017-08,8
2017-09,11
2017-10,7
2017-11,6
2017-12,7
2018-01,8
2018-02,6
2018-03,7
2018-04,12
2018-05,18
2018-06,13
2018-07,9
2018-08,10
2018-09,10
2018-10,12
2018-11,15
2018-12,16
2019-01,13
2019-02,7
2019-03,8
2019-04,12
2019-05,8
2019-06,9
2019-07,9
2019-08,8
2019-09,7
2019-10,6
2019-11,6
2019-12,6
2020-01,6
2020-02,6
2020-03,28
2020-04,38
2020-05,9
2020-06,7
2020-07,4
2020-08,5
2020-09,6
2020-10,6
2020-11,6
2020-12,6
2021-01,8
2021-02,11
2021-03,11
2021-04,9
2021-05,14
2021-06,10
2021-07,11
2021-08,11
2021-09,9
2021-10,13
2021-11,13
2021-12,8
2022-01,8
2022-02,16
2022-03,57
2022-04,17
2022-05,30
2022-06,40
2022-07,30
2022-08,20
2022-09,14
2022-10,16
2022-11,11
2022-12,11
2023-01,9
2023-02,9
2023-03,8
