Category: All categories

Month,cheapest gas prices: (United States)
2004-01,0
2004-02,10
2004-03,24
2004-04,16
2004-05,66
2004-06,26
2004-07,21
2004-08,7
2004-09,0
2004-10,0
2004-11,18
2004-12,0
2005-01,0
2005-02,0
2005-03,19
2005-04,33
2005-05,5
2005-06,12
2005-07,19
2005-08,72
2005-09,96
2005-10,20
2005-11,8
2005-12,0
2006-01,9
2006-02,11
2006-03,8
2006-04,59
2006-05,29
2006-06,13
2006-07,22
2006-08,28
2006-09,33
2006-10,18
2006-11,9
2006-12,10
2007-01,9
2007-02,9
2007-03,16
2007-04,30
2007-05,42
2007-06,15
2007-07,17
2007-08,13
2007-09,8
2007-10,10
2007-11,28
2007-12,8
2008-01,13
2008-02,18
2008-03,37
2008-04,55
2008-05,74
2008-06,68
2008-07,49
2008-08,34
2008-09,26
2008-10,63
2008-11,50
2008-12,29
2009-01,12
2009-02,5
2009-03,8
2009-04,5
2009-05,14
2009-06,12
2009-07,10
2009-08,11
2009-09,12
2009-10,4
2009-11,6
2009-12,6
2010-01,6
2010-02,4
2010-03,9
2010-04,8
2010-05,8
2010-06,6
2010-07,6
2010-08,7
2010-09,6
2010-10,10
2010-11,7
2010-12,10
2011-01,17
2011-02,26
2011-03,39
2011-04,42
2011-05,37
2011-06,25
2011-07,24
2011-08,16
2011-09,19
2011-10,17
2011-11,14
2011-12,13
2012-01,14
2012-02,28
2012-03,32
2012-04,23
2012-05,21
2012-06,25
2012-07,21
2012-08,26
2012-09,22
2012-10,31
2012-11,17
2012-12,13
2013-01,15
2013-02,24
2013-03,13
2013-04,12
2013-05,16
2013-06,18
2013-07,17
2013-08,15
2013-09,14
2013-10,10
2013-11,16
2013-12,12
2014-01,10
2014-02,11
2014-03,11
2014-04,16
2014-05,13
2014-06,17
2014-07,12
2014-08,13
2014-09,12
2014-10,21
2014-11,20
2014-12,40
2015-01,38
2015-02,18
2015-03,13
2015-04,11
2015-05,15
2015-06,12
2015-07,16
2015-08,20
2015-09,21
2015-10,13
2015-11,15
2015-12,16
2016-01,23
2016-02,17
2016-03,14
2016-04,9
2016-05,11
2016-06,12
2016-07,8
2016-08,12
2016-09,11
2016-10,9
2016-11,8
2016-12,8
2017-01,8
2017-02,8
2017-03,7
2017-04,9
2017-05,10
2017-06,11
2017-07,12
2017-08,10
2017-09,15
2017-10,8
2017-11,11
2017-12,9
2018-01,10
2018-02,8
2018-03,11
2018-04,14
2018-05,19
2018-06,17
2018-07,19
2018-08,16
2018-09,12
2018-10,14
2018-11,15
2018-12,19
2019-01,15
2019-02,14
2019-03,17
2019-04,20
2019-05,15
2019-06,15
2019-07,15
2019-08,13
2019-09,13
2019-10,16
2019-11,14
2019-12,14
2020-01,16
2020-02,15
2020-03,36
2020-04,40
2020-05,15
2020-06,9
2020-07,9
2020-08,9
2020-09,8
2020-10,8
2020-11,7
2020-12,9
2021-01,11
2021-02,16
2021-03,18
2021-04,13
2021-05,20
2021-06,17
2021-07,17
2021-08,14
2021-09,13
2021-10,22
2021-11,18
2021-12,11
2022-01,15
2022-02,30
2022-03,100
2022-04,32
2022-05,52
2022-06,83
2022-07,49
2022-08,32
2022-09,24
2022-10,28
2022-11,20
2022-12,17
2023-01,18
2023-02,12
2023-03,19
