Category: All categories

Month,gas station prices: (United States)
2004-01,0
2004-02,0
2004-03,6
2004-04,0
2004-05,9
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,3
2004-11,0
2004-12,6
2005-01,0
2005-02,0
2005-03,8
2005-04,0
2005-05,6
2005-06,4
2005-07,4
2005-08,23
2005-09,28
2005-10,7
2005-11,4
2005-12,6
2006-01,0
2006-02,3
2006-03,4
2006-04,19
2006-05,15
2006-06,5
2006-07,5
2006-08,10
2006-09,6
2006-10,5
2006-11,8
2006-12,1
2007-01,5
2007-02,4
2007-03,7
2007-04,4
2007-05,13
2007-06,7
2007-07,6
2007-08,4
2007-09,2
2007-10,5
2007-11,3
2007-12,6
2008-01,7
2008-02,4
2008-03,13
2008-04,13
2008-05,20
2008-06,20
2008-07,10
2008-08,8
2008-09,17
2008-10,11
2008-11,11
2008-12,4
2009-01,5
2009-02,5
2009-03,8
2009-04,5
2009-05,6
2009-06,8
2009-07,8
2009-08,6
2009-09,4
2009-10,6
2009-11,6
2009-12,5
2010-01,6
2010-02,5
2010-03,4
2010-04,5
2010-05,7
2010-06,4
2010-07,4
2010-08,6
2010-09,5
2010-10,7
2010-11,8
2010-12,8
2011-01,11
2011-02,11
2011-03,13
2011-04,17
2011-05,15
2011-06,12
2011-07,12
2011-08,10
2011-09,10
2011-10,8
2011-11,8
2011-12,8
2012-01,11
2012-02,13
2012-03,16
2012-04,12
2012-05,11
2012-06,14
2012-07,10
2012-08,10
2012-09,12
2012-10,15
2012-11,18
2012-12,9
2013-01,7
2013-02,11
2013-03,10
2013-04,7
2013-05,10
2013-06,12
2013-07,12
2013-08,10
2013-09,9
2013-10,8
2013-11,11
2013-12,10
2014-01,9
2014-02,7
2014-03,10
2014-04,10
2014-05,10
2014-06,12
2014-07,9
2014-08,11
2014-09,10
2014-10,12
2014-11,11
2014-12,17
2015-01,16
2015-02,11
2015-03,10
2015-04,12
2015-05,12
2015-06,11
2015-07,13
2015-08,18
2015-09,16
2015-10,14
2015-11,12
2015-12,10
2016-01,15
2016-02,13
2016-03,12
2016-04,14
2016-05,13
2016-06,14
2016-07,13
2016-08,12
2016-09,17
2016-10,17
2016-11,16
2016-12,15
2017-01,15
2017-02,12
2017-03,14
2017-04,15
2017-05,16
2017-06,15
2017-07,17
2017-08,21
2017-09,24
2017-10,17
2017-11,18
2017-12,19
2018-01,17
2018-02,16
2018-03,18
2018-04,21
2018-05,23
2018-06,23
2018-07,24
2018-08,22
2018-09,18
2018-10,20
2018-11,21
2018-12,22
2019-01,20
2019-02,20
2019-03,23
2019-04,26
2019-05,24
2019-06,24
2019-07,27
2019-08,22
2019-09,24
2019-10,22
2019-11,22
2019-12,19
2020-01,22
2020-02,22
2020-03,32
2020-04,28
2020-05,18
2020-06,16
2020-07,16
2020-08,15
2020-09,15
2020-10,20
2020-11,17
2020-12,21
2021-01,22
2021-02,24
2021-03,25
2021-04,25
2021-05,37
2021-06,27
2021-07,31
2021-08,28
2021-09,28
2021-10,35
2021-11,32
2021-12,28
2022-01,25
2022-02,39
2022-03,100
2022-04,38
2022-05,59
2022-06,86
2022-07,62
2022-08,41
2022-09,35
2022-10,39
2022-11,30
2022-12,31
2023-01,30
2023-02,24
2023-03,25
