Category: All categories

Month,interest rate: (United States)
2004-01,42
2004-02,43
2004-03,45
2004-04,54
2004-05,49
2004-06,52
2004-07,46
2004-08,43
2004-09,42
2004-10,39
2004-11,48
2004-12,40
2005-01,39
2005-02,46
2005-03,45
2005-04,48
2005-05,46
2005-06,54
2005-07,42
2005-08,45
2005-09,41
2005-10,43
2005-11,43
2005-12,37
2006-01,45
2006-02,45
2006-03,46
2006-04,47
2006-05,48
2006-06,53
2006-07,47
2006-08,47
2006-09,41
2006-10,39
2006-11,38
2006-12,34
2007-01,43
2007-02,39
2007-03,46
2007-04,43
2007-05,43
2007-06,44
2007-07,42
2007-08,45
2007-09,53
2007-10,46
2007-11,44
2007-12,44
2008-01,73
2008-02,60
2008-03,64
2008-04,57
2008-05,46
2008-06,44
2008-07,44
2008-08,35
2008-09,43
2008-10,49
2008-11,38
2008-12,54
2009-01,48
2009-02,50
2009-03,48
2009-04,48
2009-05,40
2009-06,41
2009-07,38
2009-08,35
2009-09,35
2009-10,42
2009-11,35
2009-12,33
2010-01,34
2010-02,39
2010-03,39
2010-04,38
2010-05,34
2010-06,31
2010-07,30
2010-08,31
2010-09,32
2010-10,32
2010-11,30
2010-12,26
2011-01,29
2011-02,33
2011-03,31
2011-04,34
2011-05,30
2011-06,30
2011-07,29
2011-08,28
2011-09,29
2011-10,30
2011-11,29
2011-12,26
2012-01,28
2012-02,32
2012-03,35
2012-04,37
2012-05,31
2012-06,30
2012-07,30
2012-08,28
2012-09,31
2012-10,33
2012-11,29
2012-12,27
2013-01,30
2013-02,36
2013-03,34
2013-04,38
2013-05,34
2013-06,35
2013-07,36
2013-08,29
2013-09,31
2013-10,35
2013-11,32
2013-12,29
2014-01,31
2014-02,33
2014-03,36
2014-04,41
2014-05,35
2014-06,30
2014-07,30
2014-08,26
2014-09,32
2014-10,37
2014-11,34
2014-12,30
2015-01,34
2015-02,40
2015-03,43
2015-04,45
2015-05,39
2015-06,37
2015-07,36
2015-08,35
2015-09,44
2015-10,40
2015-11,41
2015-12,46
2016-01,37
2016-02,48
2016-03,45
2016-04,47
2016-05,41
2016-06,38
2016-07,34
2016-08,33
2016-09,41
2016-10,42
2016-11,44
2016-12,44
2017-01,40
2017-02,49
2017-03,55
2017-04,51
2017-05,43
2017-06,41
2017-07,36
2017-08,34
2017-09,41
2017-10,48
2017-11,45
2017-12,41
2018-01,41
2018-02,54
2018-03,50
2018-04,53
2018-05,47
2018-06,44
2018-07,42
2018-08,39
2018-09,49
2018-10,55
2018-11,47
2018-12,47
2019-01,44
2019-02,54
2019-03,53
2019-04,55
2019-05,48
2019-06,46
2019-07,48
2019-08,48
2019-09,58
2019-10,54
2019-11,49
2019-12,40
2020-01,45
2020-02,59
2020-03,100
2020-04,62
2020-05,58
2020-06,53
2020-07,51
2020-08,49
2020-09,56
2020-10,56
2020-11,48
2020-12,44
2021-01,45
2021-02,58
2021-03,61
2021-04,57
2021-05,50
2021-06,41
2021-07,40
2021-08,37
2021-09,46
2021-10,48
2021-11,48
2021-12,44
2022-01,53
2022-02,73
2022-03,80
2022-04,92
2022-05,78
2022-06,79
2022-07,77
2022-08,63
2022-09,87
2022-10,82
2022-11,89
2022-12,74
2023-01,77
2023-02,92
2023-03,99
