Category: All categories

Month,interest calculator: (United States)
2004-01,55
2004-02,62
2004-03,62
2004-04,58
2004-05,59
2004-06,71
2004-07,66
2004-08,62
2004-09,56
2004-10,50
2004-11,54
2004-12,47
2005-01,61
2005-02,69
2005-03,70
2005-04,62
2005-05,67
2005-06,71
2005-07,76
2005-08,67
2005-09,56
2005-10,59
2005-11,54
2005-12,54
2006-01,66
2006-02,64
2006-03,71
2006-04,68
2006-05,62
2006-06,69
2006-07,68
2006-08,65
2006-09,62
2006-10,57
2006-11,57
2006-12,58
2007-01,72
2007-02,71
2007-03,65
2007-04,72
2007-05,64
2007-06,65
2007-07,72
2007-08,64
2007-09,62
2007-10,60
2007-11,52
2007-12,52
2008-01,68
2008-02,58
2008-03,58
2008-04,54
2008-05,51
2008-06,49
2008-07,48
2008-08,43
2008-09,50
2008-10,53
2008-11,41
2008-12,53
2009-01,57
2009-02,53
2009-03,54
2009-04,50
2009-05,48
2009-06,48
2009-07,46
2009-08,49
2009-09,50
2009-10,49
2009-11,45
2009-12,43
2010-01,53
2010-02,52
2010-03,55
2010-04,53
2010-05,48
2010-06,42
2010-07,44
2010-08,44
2010-09,42
2010-10,45
2010-11,41
2010-12,38
2011-01,49
2011-02,48
2011-03,49
2011-04,49
2011-05,43
2011-06,43
2011-07,45
2011-08,46
2011-09,45
2011-10,43
2011-11,42
2011-12,37
2012-01,50
2012-02,51
2012-03,50
2012-04,48
2012-05,46
2012-06,44
2012-07,47
2012-08,45
2012-09,44
2012-10,38
2012-11,38
2012-12,38
2013-01,48
2013-02,48
2013-03,43
2013-04,49
2013-05,49
2013-06,43
2013-07,43
2013-08,49
2013-09,42
2013-10,41
2013-11,38
2013-12,39
2014-01,44
2014-02,47
2014-03,51
2014-04,46
2014-05,44
2014-06,44
2014-07,42
2014-08,41
2014-09,46
2014-10,46
2014-11,44
2014-12,46
2015-01,49
2015-02,57
2015-03,53
2015-04,53
2015-05,49
2015-06,44
2015-07,46
2015-08,44
2015-09,41
2015-10,45
2015-11,43
2015-12,43
2016-01,40
2016-02,42
2016-03,42
2016-04,42
2016-05,39
2016-06,34
2016-07,37
2016-08,40
2016-09,38
2016-10,38
2016-11,40
2016-12,37
2017-01,41
2017-02,47
2017-03,50
2017-04,45
2017-05,47
2017-06,41
2017-07,42
2017-08,43
2017-09,48
2017-10,54
2017-11,53
2017-12,50
2018-01,60
2018-02,61
2018-03,59
2018-04,60
2018-05,55
2018-06,52
2018-07,55
2018-08,52
2018-09,56
2018-10,54
2018-11,48
2018-12,49
2019-01,61
2019-02,66
2019-03,63
2019-04,67
2019-05,55
2019-06,58
2019-07,64
2019-08,59
2019-09,60
2019-10,54
2019-11,56
2019-12,56
2020-01,67
2020-02,70
2020-03,71
2020-04,67
2020-05,67
2020-06,63
2020-07,67
2020-08,62
2020-09,65
2020-10,66
2020-11,59
2020-12,66
2021-01,70
2021-02,79
2021-03,73
2021-04,76
2021-05,64
2021-06,57
2021-07,55
2021-08,48
2021-09,52
2021-10,54
2021-11,56
2021-12,51
2022-01,70
2022-02,77
2022-03,76
2022-04,82
2022-05,74
2022-06,65
2022-07,66
2022-08,71
2022-09,66
2022-10,77
2022-11,72
2022-12,70
2023-01,87
2023-02,92
2023-03,100
