Category: All categories

Month,money inflation: (United States)
2004-01,20
2004-02,11
2004-03,21
2004-04,21
2004-05,15
2004-06,11
2004-07,0
2004-08,16
2004-09,12
2004-10,15
2004-11,24
2004-12,13
2005-01,9
2005-02,13
2005-03,11
2005-04,17
2005-05,24
2005-06,8
2005-07,17
2005-08,18
2005-09,12
2005-10,22
2005-11,24
2005-12,18
2006-01,9
2006-02,13
2006-03,14
2006-04,18
2006-05,16
2006-06,15
2006-07,7
2006-08,13
2006-09,12
2006-10,10
2006-11,19
2006-12,22
2007-01,16
2007-02,18
2007-03,15
2007-04,16
2007-05,14
2007-06,12
2007-07,13
2007-08,13
2007-09,15
2007-10,15
2007-11,16
2007-12,17
2008-01,20
2008-02,24
2008-03,23
2008-04,29
2008-05,21
2008-06,16
2008-07,22
2008-08,13
2008-09,23
2008-10,25
2008-11,24
2008-12,24
2009-01,15
2009-02,24
2009-03,29
2009-04,26
2009-05,23
2009-06,13
2009-07,16
2009-08,11
2009-09,18
2009-10,19
2009-11,21
2009-12,20
2010-01,11
2010-02,22
2010-03,22
2010-04,26
2010-05,25
2010-06,9
2010-07,12
2010-08,15
2010-09,13
2010-10,19
2010-11,28
2010-12,20
2011-01,18
2011-02,23
2011-03,17
2011-04,29
2011-05,23
2011-06,14
2011-07,17
2011-08,17
2011-09,16
2011-10,16
2011-11,25
2011-12,25
2012-01,18
2012-02,20
2012-03,20
2012-04,30
2012-05,22
2012-06,14
2012-07,16
2012-08,13
2012-09,22
2012-10,21
2012-11,27
2012-12,24
2013-01,18
2013-02,23
2013-03,25
2013-04,32
2013-05,26
2013-06,15
2013-07,14
2013-08,12
2013-09,15
2013-10,20
2013-11,30
2013-12,23
2014-01,18
2014-02,22
2014-03,22
2014-04,33
2014-05,29
2014-06,16
2014-07,15
2014-08,14
2014-09,23
2014-10,23
2014-11,27
2014-12,29
2015-01,18
2015-02,23
2015-03,25
2015-04,34
2015-05,26
2015-06,16
2015-07,15
2015-08,11
2015-09,20
2015-10,26
2015-11,32
2015-12,28
2016-01,18
2016-02,25
2016-03,29
2016-04,39
2016-05,27
2016-06,15
2016-07,14
2016-08,11
2016-09,19
2016-10,22
2016-11,32
2016-12,32
2017-01,21
2017-02,29
2017-03,31
2017-04,45
2017-05,34
2017-06,15
2017-07,15
2017-08,13
2017-09,22
2017-10,30
2017-11,39
2017-12,35
2018-01,23
2018-02,27
2018-03,31
2018-04,44
2018-05,32
2018-06,18
2018-07,17
2018-08,15
2018-09,24
2018-10,30
2018-11,36
2018-12,32
2019-01,24
2019-02,29
2019-03,33
2019-04,47
2019-05,34
2019-06,19
2019-07,18
2019-08,16
2019-09,25
2019-10,29
2019-11,34
2019-12,30
2020-01,23
2020-02,31
2020-03,40
2020-04,57
2020-05,44
2020-06,23
2020-07,27
2020-08,25
2020-09,31
2020-10,37
2020-11,42
2020-12,43
2021-01,29
2021-02,40
2021-03,44
2021-04,55
2021-05,51
2021-06,29
2021-07,24
2021-08,20
2021-09,30
2021-10,40
2021-11,48
2021-12,43
2022-01,41
2022-02,55
2022-03,74
2022-04,100
2022-05,81
2022-06,56
2022-07,42
2022-08,47
2022-09,55
2022-10,69
2022-11,77
2022-12,63
2023-01,44
2023-02,60
2023-03,71
