Category: All categories

Month,inflation in us: (United States)
2004-01,23
2004-02,0
2004-03,26
2004-04,18
2004-05,29
2004-06,0
2004-07,0
2004-08,13
2004-09,14
2004-10,25
2004-11,33
2004-12,15
2005-01,11
2005-02,26
2005-03,20
2005-04,29
2005-05,29
2005-06,16
2005-07,23
2005-08,0
2005-09,0
2005-10,0
2005-11,21
2005-12,13
2006-01,8
2006-02,0
2006-03,14
2006-04,16
2006-05,12
2006-06,5
2006-07,5
2006-08,15
2006-09,10
2006-10,21
2006-11,16
2006-12,18
2007-01,13
2007-02,13
2007-03,12
2007-04,15
2007-05,13
2007-06,8
2007-07,10
2007-08,11
2007-09,25
2007-10,14
2007-11,12
2007-12,22
2008-01,20
2008-02,25
2008-03,26
2008-04,24
2008-05,23
2008-06,13
2008-07,15
2008-08,15
2008-09,18
2008-10,26
2008-11,15
2008-12,29
2009-01,16
2009-02,29
2009-03,18
2009-04,25
2009-05,10
2009-06,14
2009-07,4
2009-08,12
2009-09,19
2009-10,20
2009-11,23
2009-12,19
2010-01,14
2010-02,19
2010-03,22
2010-04,21
2010-05,22
2010-06,13
2010-07,12
2010-08,11
2010-09,14
2010-10,18
2010-11,24
2010-12,17
2011-01,23
2011-02,22
2011-03,21
2011-04,29
2011-05,29
2011-06,13
2011-07,14
2011-08,16
2011-09,18
2011-10,22
2011-11,20
2011-12,20
2012-01,19
2012-02,24
2012-03,19
2012-04,25
2012-05,19
2012-06,17
2012-07,15
2012-08,16
2012-09,23
2012-10,30
2012-11,24
2012-12,18
2013-01,22
2013-02,27
2013-03,25
2013-04,29
2013-05,24
2013-06,16
2013-07,11
2013-08,11
2013-09,24
2013-10,28
2013-11,28
2013-12,25
2014-01,23
2014-02,30
2014-03,25
2014-04,31
2014-05,27
2014-06,19
2014-07,16
2014-08,15
2014-09,23
2014-10,29
2014-11,26
2014-12,23
2015-01,21
2015-02,24
2015-03,27
2015-04,28
2015-05,23
2015-06,16
2015-07,11
2015-08,13
2015-09,29
2015-10,28
2015-11,30
2015-12,26
2016-01,25
2016-02,25
2016-03,23
2016-04,29
2016-05,24
2016-06,13
2016-07,12
2016-08,11
2016-09,18
2016-10,23
2016-11,26
2016-12,24
2017-01,21
2017-02,21
2017-03,25
2017-04,30
2017-05,26
2017-06,15
2017-07,13
2017-08,12
2017-09,21
2017-10,29
2017-11,30
2017-12,27
2018-01,26
2018-02,32
2018-03,27
2018-04,34
2018-05,25
2018-06,17
2018-07,17
2018-08,17
2018-09,24
2018-10,30
2018-11,30
2018-12,25
2019-01,22
2019-02,31
2019-03,28
2019-04,33
2019-05,29
2019-06,17
2019-07,15
2019-08,18
2019-09,25
2019-10,29
2019-11,27
2019-12,25
2020-01,24
2020-02,31
2020-03,28
2020-04,38
2020-05,26
2020-06,20
2020-07,23
2020-08,20
2020-09,27
2020-10,32
2020-11,28
2020-12,27
2021-01,28
2021-02,39
2021-03,38
2021-04,41
2021-05,53
2021-06,35
2021-07,31
2021-08,28
2021-09,38
2021-10,53
2021-11,62
2021-12,55
2022-01,64
2022-02,78
2022-03,91
2022-04,100
2022-05,100
2022-06,91
2022-07,75
2022-08,68
2022-09,81
2022-10,86
2022-11,82
2022-12,68
2023-01,66
2023-02,75
2023-03,90
