Category: All categories

Month,bank rate: (United States)
2004-01,42
2004-02,47
2004-03,61
2004-04,50
2004-05,45
2004-06,47
2004-07,51
2004-08,43
2004-09,41
2004-10,37
2004-11,42
2004-12,47
2005-01,44
2005-02,42
2005-03,54
2005-04,49
2005-05,46
2005-06,53
2005-07,56
2005-08,54
2005-09,50
2005-10,51
2005-11,48
2005-12,44
2006-01,48
2006-02,53
2006-03,58
2006-04,55
2006-05,53
2006-06,58
2006-07,52
2006-08,50
2006-09,50
2006-10,50
2006-11,39
2006-12,45
2007-01,51
2007-02,49
2007-03,63
2007-04,54
2007-05,54
2007-06,54
2007-07,53
2007-08,61
2007-09,63
2007-10,51
2007-11,56
2007-12,51
2008-01,95
2008-02,85
2008-03,100
2008-04,76
2008-05,69
2008-06,66
2008-07,79
2008-08,62
2008-09,80
2008-10,87
2008-11,66
2008-12,93
2009-01,90
2009-02,81
2009-03,90
2009-04,82
2009-05,66
2009-06,67
2009-07,59
2009-08,55
2009-09,53
2009-10,53
2009-11,49
2009-12,52
2010-01,52
2010-02,55
2010-03,55
2010-04,55
2010-05,52
2010-06,49
2010-07,51
2010-08,51
2010-09,45
2010-10,49
2010-11,51
2010-12,45
2011-01,48
2011-02,49
2011-03,46
2011-04,51
2011-05,50
2011-06,47
2011-07,46
2011-08,62
2011-09,58
2011-10,52
2011-11,46
2011-12,41
2012-01,50
2012-02,47
2012-03,50
2012-04,49
2012-05,47
2012-06,46
2012-07,49
2012-08,43
2012-09,44
2012-10,45
2012-11,41
2012-12,39
2013-01,47
2013-02,45
2013-03,46
2013-04,48
2013-05,47
2013-06,50
2013-07,48
2013-08,47
2013-09,44
2013-10,41
2013-11,40
2013-12,39
2014-01,41
2014-02,42
2014-03,45
2014-04,47
2014-05,44
2014-06,41
2014-07,42
2014-08,41
2014-09,42
2014-10,41
2014-11,39
2014-12,41
2015-01,49
2015-02,51
2015-03,52
2015-04,51
2015-05,47
2015-06,49
2015-07,48
2015-08,47
2015-09,46
2015-10,45
2015-11,45
2015-12,47
2016-01,43
2016-02,44
2016-03,47
2016-04,48
2016-05,43
2016-06,43
2016-07,39
2016-08,38
2016-09,40
2016-10,41
2016-11,44
2016-12,40
2017-01,43
2017-02,53
2017-03,48
2017-04,47
2017-05,44
2017-06,41
2017-07,39
2017-08,41
2017-09,41
2017-10,42
2017-11,38
2017-12,41
2018-01,41
2018-02,48
2018-03,47
2018-04,48
2018-05,46
2018-06,42
2018-07,43
2018-08,39
2018-09,44
2018-10,47
2018-11,41
2018-12,42
2019-01,44
2019-02,44
2019-03,48
2019-04,49
2019-05,43
2019-06,40
2019-07,43
2019-08,45
2019-09,48
2019-10,45
2019-11,40
2019-12,36
2020-01,41
2020-02,46
2020-03,65
2020-04,55
2020-05,45
2020-06,43
2020-07,44
2020-08,45
2020-09,43
2020-10,46
2020-11,44
2020-12,40
2021-01,37
2021-02,40
2021-03,43
2021-04,46
2021-05,38
2021-06,33
2021-07,31
2021-08,30
2021-09,35
2021-10,43
2021-11,39
2021-12,34
2022-01,38
2022-02,49
2022-03,51
2022-04,63
2022-05,52
2022-06,50
2022-07,51
2022-08,47
2022-09,59
2022-10,60
2022-11,60
2022-12,56
2023-01,65
2023-02,70
2023-03,83
