Category: All categories

Month,house prices: (United States)
2004-01,59
2004-02,64
2004-03,75
2004-04,73
2004-05,75
2004-06,85
2004-07,76
2004-08,55
2004-09,66
2004-10,62
2004-11,60
2004-12,58
2005-01,67
2005-02,63
2005-03,67
2005-04,67
2005-05,64
2005-06,74
2005-07,60
2005-08,64
2005-09,56
2005-10,58
2005-11,43
2005-12,45
2006-01,64
2006-02,76
2006-03,71
2006-04,67
2006-05,77
2006-06,59
2006-07,71
2006-08,64
2006-09,62
2006-10,60
2006-11,58
2006-12,49
2007-01,59
2007-02,61
2007-03,58
2007-04,69
2007-05,65
2007-06,61
2007-07,60
2007-08,65
2007-09,65
2007-10,62
2007-11,59
2007-12,53
2008-01,66
2008-02,65
2008-03,70
2008-04,73
2008-05,75
2008-06,69
2008-07,65
2008-08,58
2008-09,62
2008-10,69
2008-11,64
2008-12,58
2009-01,62
2009-02,65
2009-03,64
2009-04,59
2009-05,61
2009-06,62
2009-07,55
2009-08,54
2009-09,50
2009-10,56
2009-11,51
2009-12,49
2010-01,55
2010-02,54
2010-03,53
2010-04,54
2010-05,54
2010-06,54
2010-07,49
2010-08,51
2010-09,46
2010-10,51
2010-11,46
2010-12,42
2011-01,51
2011-02,50
2011-03,50
2011-04,49
2011-05,59
2011-06,51
2011-07,53
2011-08,48
2011-09,49
2011-10,53
2011-11,46
2011-12,46
2012-01,53
2012-02,53
2012-03,54
2012-04,49
2012-05,51
2012-06,51
2012-07,51
2012-08,52
2012-09,49
2012-10,53
2012-11,44
2012-12,38
2013-01,46
2013-02,49
2013-03,50
2013-04,47
2013-05,51
2013-06,54
2013-07,56
2013-08,52
2013-09,46
2013-10,54
2013-11,44
2013-12,43
2014-01,48
2014-02,47
2014-03,51
2014-04,55
2014-05,56
2014-06,52
2014-07,56
2014-08,52
2014-09,50
2014-10,53
2014-11,46
2014-12,50
2015-01,51
2015-02,52
2015-03,53
2015-04,53
2015-05,55
2015-06,57
2015-07,64
2015-08,63
2015-09,59
2015-10,62
2015-11,50
2015-12,50
2016-01,63
2016-02,63
2016-03,62
2016-04,66
2016-05,66
2016-06,70
2016-07,70
2016-08,61
2016-09,60
2016-10,70
2016-11,62
2016-12,58
2017-01,64
2017-02,66
2017-03,67
2017-04,68
2017-05,68
2017-06,77
2017-07,81
2017-08,69
2017-09,61
2017-10,71
2017-11,56
2017-12,61
2018-01,63
2018-02,64
2018-03,65
2018-04,66
2018-05,69
2018-06,72
2018-07,75
2018-08,69
2018-09,64
2018-10,71
2018-11,61
2018-12,61
2019-01,66
2019-02,63
2019-03,63
2019-04,60
2019-05,67
2019-06,65
2019-07,68
2019-08,62
2019-09,63
2019-10,64
2019-11,54
2019-12,55
2020-01,58
2020-02,65
2020-03,67
2020-04,61
2020-05,60
2020-06,63
2020-07,63
2020-08,59
2020-09,58
2020-10,64
2020-11,53
2020-12,54
2021-01,59
2021-02,64
2021-03,64
2021-04,69
2021-05,75
2021-06,73
2021-07,73
2021-08,65
2021-09,62
2021-10,72
2021-11,64
2021-12,58
2022-01,73
2022-02,76
2022-03,83
2022-04,82
2022-05,85
2022-06,100
2022-07,80
2022-08,81
2022-09,74
2022-10,73
2022-11,65
2022-12,61
2023-01,68
2023-02,68
2023-03,64
