Category: All categories

Month,interest rate increase: (United States)
2004-01,14
2004-02,7
2004-03,0
2004-04,18
2004-05,12
2004-06,16
2004-07,0
2004-08,0
2004-09,9
2004-10,7
2004-11,0
2004-12,6
2005-01,0
2005-02,14
2005-03,13
2005-04,6
2005-05,12
2005-06,30
2005-07,13
2005-08,13
2005-09,12
2005-10,9
2005-11,14
2005-12,8
2006-01,11
2006-02,14
2006-03,9
2006-04,10
2006-05,10
2006-06,13
2006-07,7
2006-08,0
2006-09,4
2006-10,4
2006-11,7
2006-12,0
2007-01,4
2007-02,4
2007-03,10
2007-04,3
2007-05,7
2007-06,0
2007-07,4
2007-08,10
2007-09,5
2007-10,5
2007-11,7
2007-12,0
2008-01,3
2008-02,6
2008-03,6
2008-04,10
2008-05,4
2008-06,8
2008-07,6
2008-08,5
2008-09,5
2008-10,6
2008-11,5
2008-12,13
2009-01,4
2009-02,13
2009-03,9
2009-04,21
2009-05,10
2009-06,12
2009-07,11
2009-08,12
2009-09,11
2009-10,12
2009-11,19
2009-12,16
2010-01,9
2010-02,12
2010-03,18
2010-04,13
2010-05,12
2010-06,5
2010-07,8
2010-08,4
2010-09,7
2010-10,7
2010-11,12
2010-12,11
2011-01,6
2011-02,12
2011-03,14
2011-04,16
2011-05,16
2011-06,9
2011-07,9
2011-08,4
2011-09,9
2011-10,12
2011-11,16
2011-12,13
2012-01,8
2012-02,11
2012-03,16
2012-04,25
2012-05,16
2012-06,18
2012-07,10
2012-08,8
2012-09,12
2012-10,20
2012-11,15
2012-12,18
2013-01,8
2013-02,18
2013-03,16
2013-04,24
2013-05,18
2013-06,19
2013-07,20
2013-08,8
2013-09,13
2013-10,17
2013-11,20
2013-12,17
2014-01,9
2014-02,15
2014-03,18
2014-04,23
2014-05,17
2014-06,10
2014-07,12
2014-08,9
2014-09,12
2014-10,21
2014-11,22
2014-12,22
2015-01,11
2015-02,19
2015-03,28
2015-04,29
2015-05,21
2015-06,15
2015-07,12
2015-08,14
2015-09,28
2015-10,24
2015-11,32
2015-12,48
2016-01,17
2016-02,30
2016-03,32
2016-04,42
2016-05,25
2016-06,16
2016-07,13
2016-08,11
2016-09,23
2016-10,28
2016-11,37
2016-12,40
2017-01,17
2017-02,34
2017-03,45
2017-04,46
2017-05,29
2017-06,21
2017-07,17
2017-08,10
2017-09,21
2017-10,31
2017-11,37
2017-12,34
2018-01,16
2018-02,36
2018-03,35
2018-04,49
2018-05,29
2018-06,22
2018-07,16
2018-08,12
2018-09,30
2018-10,38
2018-11,40
2018-12,35
2019-01,20
2019-02,34
2019-03,31
2019-04,44
2019-05,24
2019-06,17
2019-07,16
2019-08,10
2019-09,25
2019-10,32
2019-11,32
2019-12,25
2020-01,15
2020-02,33
2020-03,36
2020-04,58
2020-05,39
2020-06,22
2020-07,21
2020-08,13
2020-09,33
2020-10,48
2020-11,50
2020-12,37
2021-01,19
2021-02,36
2021-03,50
2021-04,57
2021-05,42
2021-06,18
2021-07,17
2021-08,11
2021-09,29
2021-10,42
2021-11,46
2021-12,42
2022-01,35
2022-02,71
2022-03,91
2022-04,100
2022-05,69
2022-06,56
2022-07,50
2022-08,25
2022-09,65
2022-10,69
2022-11,79
2022-12,63
2023-01,35
2023-02,74
2023-03,83
