Category: All categories

Month,cpi inflation: (United States)
2004-01,32
2004-02,23
2004-03,0
2004-04,26
2004-05,37
2004-06,0
2004-07,0
2004-08,42
2004-09,29
2004-10,45
2004-11,28
2004-12,12
2005-01,15
2005-02,26
2005-03,7
2005-04,21
2005-05,22
2005-06,22
2005-07,20
2005-08,24
2005-09,32
2005-10,34
2005-11,33
2005-12,22
2006-01,28
2006-02,20
2006-03,35
2006-04,44
2006-05,24
2006-06,21
2006-07,31
2006-08,20
2006-09,21
2006-10,24
2006-11,25
2006-12,14
2007-01,22
2007-02,32
2007-03,26
2007-04,27
2007-05,22
2007-06,20
2007-07,21
2007-08,9
2007-09,13
2007-10,39
2007-11,29
2007-12,21
2008-01,41
2008-02,25
2008-03,33
2008-04,32
2008-05,33
2008-06,27
2008-07,29
2008-08,19
2008-09,25
2008-10,33
2008-11,26
2008-12,14
2009-01,32
2009-02,26
2009-03,25
2009-04,22
2009-05,16
2009-06,15
2009-07,18
2009-08,16
2009-09,26
2009-10,26
2009-11,28
2009-12,15
2010-01,25
2010-02,28
2010-03,32
2010-04,26
2010-05,13
2010-06,14
2010-07,16
2010-08,9
2010-09,19
2010-10,22
2010-11,23
2010-12,13
2011-01,19
2011-02,31
2011-03,25
2011-04,26
2011-05,21
2011-06,11
2011-07,15
2011-08,15
2011-09,23
2011-10,28
2011-11,25
2011-12,18
2012-01,18
2012-02,28
2012-03,19
2012-04,22
2012-05,18
2012-06,16
2012-07,16
2012-08,9
2012-09,25
2012-10,27
2012-11,20
2012-12,17
2013-01,20
2013-02,30
2013-03,23
2013-04,26
2013-05,18
2013-06,13
2013-07,12
2013-08,9
2013-09,21
2013-10,32
2013-11,17
2013-12,15
2014-01,21
2014-02,30
2014-03,24
2014-04,25
2014-05,18
2014-06,14
2014-07,17
2014-08,12
2014-09,27
2014-10,35
2014-11,21
2014-12,19
2015-01,18
2015-02,31
2015-03,32
2015-04,25
2015-05,20
2015-06,16
2015-07,15
2015-08,13
2015-09,28
2015-10,36
2015-11,27
2015-12,24
2016-01,21
2016-02,35
2016-03,27
2016-04,25
2016-05,16
2016-06,14
2016-07,13
2016-08,12
2016-09,22
2016-10,33
2016-11,24
2016-12,21
2017-01,18
2017-02,36
2017-03,33
2017-04,26
2017-05,21
2017-06,15
2017-07,15
2017-08,10
2017-09,24
2017-10,37
2017-11,24
2017-12,22
2018-01,21
2018-02,40
2018-03,30
2018-04,25
2018-05,22
2018-06,16
2018-07,14
2018-08,14
2018-09,30
2018-10,35
2018-11,25
2018-12,21
2019-01,19
2019-02,34
2019-03,30
2019-04,24
2019-05,21
2019-06,14
2019-07,13
2019-08,10
2019-09,26
2019-10,34
2019-11,26
2019-12,19
2020-01,17
2020-02,33
2020-03,24
2020-04,26
2020-05,24
2020-06,17
2020-07,17
2020-08,13
2020-09,30
2020-10,39
2020-11,19
2020-12,15
2021-01,17
2021-02,32
2021-03,36
2021-04,25
2021-05,31
2021-06,27
2021-07,23
2021-08,17
2021-09,31
2021-10,45
2021-11,38
2021-12,35
2022-01,54
2022-02,76
2022-03,64
2022-04,89
2022-05,82
2022-06,100
2022-07,66
2022-08,55
2022-09,80
2022-10,91
2022-11,63
2022-12,53
2023-01,58
2023-02,85
2023-03,66
