Category: All categories

Month,real interest rate: (United States)
2004-01,13
2004-02,40
2004-03,26
2004-04,0
2004-05,18
2004-06,7
2004-07,18
2004-08,29
2004-09,29
2004-10,39
2004-11,29
2004-12,28
2005-01,22
2005-02,42
2005-03,17
2005-04,25
2005-05,20
2005-06,25
2005-07,21
2005-08,10
2005-09,20
2005-10,14
2005-11,34
2005-12,13
2006-01,13
2006-02,16
2006-03,19
2006-04,19
2006-05,19
2006-06,24
2006-07,18
2006-08,15
2006-09,29
2006-10,25
2006-11,22
2006-12,21
2007-01,23
2007-02,28
2007-03,19
2007-04,10
2007-05,20
2007-06,8
2007-07,16
2007-08,17
2007-09,25
2007-10,23
2007-11,18
2007-12,17
2008-01,17
2008-02,22
2008-03,34
2008-04,30
2008-05,15
2008-06,12
2008-07,14
2008-08,9
2008-09,15
2008-10,24
2008-11,20
2008-12,25
2009-01,12
2009-02,28
2009-03,25
2009-04,28
2009-05,23
2009-06,14
2009-07,12
2009-08,11
2009-09,18
2009-10,24
2009-11,26
2009-12,16
2010-01,11
2010-02,23
2010-03,32
2010-04,22
2010-05,27
2010-06,21
2010-07,15
2010-08,12
2010-09,21
2010-10,27
2010-11,28
2010-12,16
2011-01,14
2011-02,25
2011-03,29
2011-04,30
2011-05,25
2011-06,19
2011-07,17
2011-08,12
2011-09,20
2011-10,31
2011-11,29
2011-12,22
2012-01,16
2012-02,34
2012-03,28
2012-04,37
2012-05,27
2012-06,18
2012-07,20
2012-08,12
2012-09,23
2012-10,35
2012-11,28
2012-12,26
2013-01,18
2013-02,37
2013-03,36
2013-04,40
2013-05,28
2013-06,20
2013-07,20
2013-08,13
2013-09,23
2013-10,36
2013-11,34
2013-12,30
2014-01,16
2014-02,36
2014-03,39
2014-04,41
2014-05,29
2014-06,17
2014-07,16
2014-08,13
2014-09,26
2014-10,41
2014-11,35
2014-12,26
2015-01,18
2015-02,40
2015-03,41
2015-04,46
2015-05,26
2015-06,20
2015-07,19
2015-08,11
2015-09,28
2015-10,44
2015-11,41
2015-12,30
2016-01,18
2016-02,45
2016-03,46
2016-04,47
2016-05,31
2016-06,20
2016-07,17
2016-08,13
2016-09,26
2016-10,45
2016-11,41
2016-12,33
2017-01,23
2017-02,49
2017-03,52
2017-04,54
2017-05,33
2017-06,20
2017-07,21
2017-08,13
2017-09,26
2017-10,46
2017-11,48
2017-12,32
2018-01,20
2018-02,46
2018-03,45
2018-04,57
2018-05,35
2018-06,25
2018-07,20
2018-08,16
2018-09,32
2018-10,50
2018-11,43
2018-12,30
2019-01,19
2019-02,42
2019-03,42
2019-04,48
2019-05,36
2019-06,22
2019-07,21
2019-08,14
2019-09,33
2019-10,42
2019-11,41
2019-12,27
2020-01,20
2020-02,43
2020-03,49
2020-04,64
2020-05,46
2020-06,28
2020-07,27
2020-08,18
2020-09,41
2020-10,60
2020-11,55
2020-12,33
2021-01,19
2021-02,44
2021-03,56
2021-04,57
2021-05,40
2021-06,22
2021-07,19
2021-08,12
2021-09,34
2021-10,48
2021-11,50
2021-12,37
2022-01,32
2022-02,72
2022-03,86
2022-04,100
2022-05,58
2022-06,35
2022-07,35
2022-08,23
2022-09,50
2022-10,74
2022-11,75
2022-12,53
2023-01,35
2023-02,72
2023-03,93
