Category: All categories

Month,cpi: (United States)
2004-01,69
2004-02,55
2004-03,59
2004-04,67
2004-05,62
2004-06,58
2004-07,52
2004-08,62
2004-09,62
2004-10,52
2004-11,50
2004-12,55
2005-01,57
2005-02,62
2005-03,57
2005-04,56
2005-05,53
2005-06,53
2005-07,51
2005-08,52
2005-09,56
2005-10,55
2005-11,52
2005-12,48
2006-01,58
2006-02,54
2006-03,52
2006-04,49
2006-05,52
2006-06,53
2006-07,45
2006-08,50
2006-09,50
2006-10,52
2006-11,47
2006-12,44
2007-01,46
2007-02,51
2007-03,48
2007-04,45
2007-05,45
2007-06,47
2007-07,44
2007-08,39
2007-09,43
2007-10,53
2007-11,42
2007-12,43
2008-01,53
2008-02,45
2008-03,51
2008-04,53
2008-05,49
2008-06,47
2008-07,51
2008-08,44
2008-09,46
2008-10,52
2008-11,46
2008-12,40
2009-01,55
2009-02,50
2009-03,50
2009-04,49
2009-05,45
2009-06,45
2009-07,45
2009-08,41
2009-09,44
2009-10,47
2009-11,45
2009-12,41
2010-01,43
2010-02,47
2010-03,50
2010-04,47
2010-05,44
2010-06,41
2010-07,39
2010-08,38
2010-09,41
2010-10,45
2010-11,41
2010-12,36
2011-01,38
2011-02,43
2011-03,43
2011-04,43
2011-05,37
2011-06,37
2011-07,38
2011-08,37
2011-09,40
2011-10,43
2011-11,38
2011-12,34
2012-01,37
2012-02,41
2012-03,37
2012-04,38
2012-05,36
2012-06,34
2012-07,32
2012-08,33
2012-09,38
2012-10,41
2012-11,34
2012-12,38
2013-01,40
2013-02,43
2013-03,38
2013-04,58
2013-05,37
2013-06,33
2013-07,33
2013-08,32
2013-09,38
2013-10,40
2013-11,36
2013-12,32
2014-01,36
2014-02,41
2014-03,36
2014-04,37
2014-05,33
2014-06,34
2014-07,33
2014-08,32
2014-09,38
2014-10,40
2014-11,35
2014-12,34
2015-01,34
2015-02,42
2015-03,39
2015-04,38
2015-05,35
2015-06,35
2015-07,33
2015-08,34
2015-09,39
2015-10,42
2015-11,34
2015-12,33
2016-01,32
2016-02,41
2016-03,33
2016-04,34
2016-05,32
2016-06,31
2016-07,28
2016-08,30
2016-09,35
2016-10,35
2016-11,29
2016-12,30
2017-01,33
2017-02,40
2017-03,36
2017-04,31
2017-05,31
2017-06,31
2017-07,29
2017-08,32
2017-09,33
2017-10,38
2017-11,33
2017-12,30
2018-01,36
2018-02,44
2018-03,32
2018-04,35
2018-05,33
2018-06,30
2018-07,29
2018-08,31
2018-09,35
2018-10,37
2018-11,34
2018-12,30
2019-01,33
2019-02,37
2019-03,37
2019-04,29
2019-05,32
2019-06,32
2019-07,31
2019-08,34
2019-09,43
2019-10,38
2019-11,31
2019-12,24
2020-01,31
2020-02,35
2020-03,29
2020-04,26
2020-05,25
2020-06,37
2020-07,28
2020-08,28
2020-09,30
2020-10,32
2020-11,25
2020-12,24
2021-01,24
2021-02,32
2021-03,35
2021-04,30
2021-05,37
2021-06,39
2021-07,35
2021-08,32
2021-09,40
2021-10,37
2021-11,35
2021-12,36
2022-01,47
2022-02,63
2022-03,54
2022-04,61
2022-05,71
2022-06,84
2022-07,84
2022-08,77
2022-09,90
2022-10,100
2022-11,86
2022-12,71
2023-01,80
2023-02,99
2023-03,61
