Category: All categories

Month,rate of inflation: (United States)
2004-01,36
2004-02,40
2004-03,44
2004-04,57
2004-05,37
2004-06,36
2004-07,25
2004-08,12
2004-09,38
2004-10,30
2004-11,43
2004-12,40
2005-01,31
2005-02,61
2005-03,41
2005-04,34
2005-05,28
2005-06,16
2005-07,20
2005-08,27
2005-09,22
2005-10,33
2005-11,37
2005-12,25
2006-01,36
2006-02,33
2006-03,26
2006-04,39
2006-05,27
2006-06,28
2006-07,20
2006-08,24
2006-09,31
2006-10,32
2006-11,27
2006-12,34
2007-01,27
2007-02,29
2007-03,28
2007-04,35
2007-05,33
2007-06,19
2007-07,25
2007-08,23
2007-09,29
2007-10,34
2007-11,34
2007-12,34
2008-01,42
2008-02,36
2008-03,35
2008-04,38
2008-05,28
2008-06,26
2008-07,24
2008-08,23
2008-09,28
2008-10,35
2008-11,34
2008-12,25
2009-01,26
2009-02,27
2009-03,29
2009-04,32
2009-05,28
2009-06,21
2009-07,17
2009-08,17
2009-09,27
2009-10,33
2009-11,29
2009-12,22
2010-01,22
2010-02,27
2010-03,35
2010-04,34
2010-05,19
2010-06,17
2010-07,18
2010-08,15
2010-09,23
2010-10,31
2010-11,30
2010-12,25
2011-01,29
2011-02,33
2011-03,30
2011-04,35
2011-05,27
2011-06,18
2011-07,22
2011-08,16
2011-09,26
2011-10,32
2011-11,28
2011-12,26
2012-01,21
2012-02,35
2012-03,32
2012-04,39
2012-05,28
2012-06,21
2012-07,21
2012-08,20
2012-09,32
2012-10,41
2012-11,35
2012-12,28
2013-01,25
2013-02,37
2013-03,35
2013-04,39
2013-05,33
2013-06,25
2013-07,18
2013-08,17
2013-09,29
2013-10,40
2013-11,34
2013-12,31
2014-01,24
2014-02,40
2014-03,36
2014-04,42
2014-05,32
2014-06,23
2014-07,22
2014-08,17
2014-09,32
2014-10,43
2014-11,36
2014-12,34
2015-01,26
2015-02,45
2015-03,45
2015-04,45
2015-05,33
2015-06,24
2015-07,21
2015-08,20
2015-09,35
2015-10,43
2015-11,40
2015-12,35
2016-01,25
2016-02,47
2016-03,41
2016-04,45
2016-05,32
2016-06,20
2016-07,18
2016-08,18
2016-09,29
2016-10,43
2016-11,41
2016-12,32
2017-01,27
2017-02,48
2017-03,47
2017-04,54
2017-05,35
2017-06,23
2017-07,22
2017-08,16
2017-09,33
2017-10,50
2017-11,46
2017-12,34
2018-01,29
2018-02,49
2018-03,46
2018-04,52
2018-05,35
2018-06,24
2018-07,24
2018-08,19
2018-09,39
2018-10,52
2018-11,42
2018-12,35
2019-01,28
2019-02,50
2019-03,51
2019-04,53
2019-05,36
2019-06,24
2019-07,23
2019-08,19
2019-09,36
2019-10,49
2019-11,45
2019-12,32
2020-01,26
2020-02,48
2020-03,43
2020-04,59
2020-05,42
2020-06,27
2020-07,26
2020-08,20
2020-09,44
2020-10,61
2020-11,48
2020-12,37
2021-01,25
2021-02,47
2021-03,53
2021-04,57
2021-05,40
2021-06,26
2021-07,25
2021-08,20
2021-09,42
2021-10,56
2021-11,58
2021-12,48
2022-01,45
2022-02,83
2022-03,92
2022-04,100
2022-05,78
2022-06,52
2022-07,44
2022-08,39
2022-09,66
2022-10,86
2022-11,82
2022-12,64
2023-01,49
2023-02,88
2023-03,94
