Category: All categories

Month,current inflation: (United States)
2004-01,60
2004-02,37
2004-03,47
2004-04,28
2004-05,52
2004-06,44
2004-07,47
2004-08,20
2004-09,48
2004-10,46
2004-11,55
2004-12,47
2005-01,39
2005-02,50
2005-03,56
2005-04,24
2005-05,22
2005-06,15
2005-07,16
2005-08,6
2005-09,42
2005-10,42
2005-11,30
2005-12,43
2006-01,40
2006-02,29
2006-03,40
2006-04,46
2006-05,41
2006-06,41
2006-07,29
2006-08,23
2006-09,33
2006-10,41
2006-11,40
2006-12,31
2007-01,38
2007-02,45
2007-03,32
2007-04,37
2007-05,31
2007-06,35
2007-07,23
2007-08,27
2007-09,34
2007-10,37
2007-11,35
2007-12,40
2008-01,40
2008-02,46
2008-03,37
2008-04,42
2008-05,39
2008-06,31
2008-07,36
2008-08,32
2008-09,40
2008-10,49
2008-11,42
2008-12,30
2009-01,22
2009-02,32
2009-03,30
2009-04,43
2009-05,35
2009-06,15
2009-07,22
2009-08,25
2009-09,29
2009-10,30
2009-11,29
2009-12,27
2010-01,22
2010-02,27
2010-03,32
2010-04,28
2010-05,27
2010-06,17
2010-07,22
2010-08,17
2010-09,25
2010-10,24
2010-11,22
2010-12,22
2011-01,28
2011-02,24
2011-03,26
2011-04,37
2011-05,24
2011-06,18
2011-07,17
2011-08,21
2011-09,30
2011-10,29
2011-11,19
2011-12,22
2012-01,17
2012-02,29
2012-03,25
2012-04,26
2012-05,21
2012-06,17
2012-07,16
2012-08,20
2012-09,23
2012-10,30
2012-11,24
2012-12,21
2013-01,16
2013-02,24
2013-03,25
2013-04,25
2013-05,23
2013-06,21
2013-07,15
2013-08,18
2013-09,19
2013-10,24
2013-11,22
2013-12,23
2014-01,19
2014-02,24
2014-03,20
2014-04,25
2014-05,24
2014-06,19
2014-07,17
2014-08,14
2014-09,22
2014-10,26
2014-11,20
2014-12,23
2015-01,22
2015-02,27
2015-03,26
2015-04,29
2015-05,24
2015-06,16
2015-07,15
2015-08,17
2015-09,24
2015-10,26
2015-11,23
2015-12,23
2016-01,16
2016-02,25
2016-03,20
2016-04,25
2016-05,17
2016-06,13
2016-07,12
2016-08,14
2016-09,16
2016-10,20
2016-11,20
2016-12,18
2017-01,16
2017-02,27
2017-03,25
2017-04,26
2017-05,22
2017-06,13
2017-07,13
2017-08,13
2017-09,16
2017-10,27
2017-11,22
2017-12,19
2018-01,15
2018-02,29
2018-03,22
2018-04,29
2018-05,21
2018-06,17
2018-07,20
2018-08,19
2018-09,27
2018-10,28
2018-11,25
2018-12,22
2019-01,21
2019-02,25
2019-03,28
2019-04,28
2019-05,22
2019-06,15
2019-07,17
2019-08,18
2019-09,21
2019-10,27
2019-11,21
2019-12,22
2020-01,19
2020-02,26
2020-03,22
2020-04,25
2020-05,21
2020-06,15
2020-07,14
2020-08,17
2020-09,25
2020-10,26
2020-11,24
2020-12,18
2021-01,18
2021-02,25
2021-03,28
2021-04,28
2021-05,34
2021-06,30
2021-07,29
2021-08,25
2021-09,35
2021-10,49
2021-11,52
2021-12,52
2022-01,61
2022-02,72
2022-03,87
2022-04,100
2022-05,92
2022-06,94
2022-07,75
2022-08,69
2022-09,80
2022-10,94
2022-11,83
2022-12,62
2023-01,60
2023-02,89
2023-03,90
