Category: All categories

Month,real estate prices: (United States)
2004-01,72
2004-02,94
2004-03,95
2004-04,87
2004-05,91
2004-06,98
2004-07,89
2004-08,88
2004-09,74
2004-10,59
2004-11,82
2004-12,67
2005-01,80
2005-02,76
2005-03,97
2005-04,79
2005-05,92
2005-06,98
2005-07,96
2005-08,95
2005-09,72
2005-10,71
2005-11,63
2005-12,49
2006-01,72
2006-02,100
2006-03,84
2006-04,80
2006-05,86
2006-06,91
2006-07,93
2006-08,84
2006-09,71
2006-10,59
2006-11,58
2006-12,54
2007-01,61
2007-02,62
2007-03,64
2007-04,65
2007-05,55
2007-06,55
2007-07,60
2007-08,64
2007-09,55
2007-10,49
2007-11,48
2007-12,42
2008-01,50
2008-02,56
2008-03,54
2008-04,65
2008-05,55
2008-06,56
2008-07,49
2008-08,45
2008-09,44
2008-10,48
2008-11,46
2008-12,46
2009-01,47
2009-02,51
2009-03,51
2009-04,39
2009-05,44
2009-06,42
2009-07,34
2009-08,40
2009-09,36
2009-10,35
2009-11,30
2009-12,29
2010-01,38
2010-02,37
2010-03,32
2010-04,40
2010-05,31
2010-06,31
2010-07,28
2010-08,30
2010-09,27
2010-10,20
2010-11,25
2010-12,23
2011-01,29
2011-02,30
2011-03,29
2011-04,25
2011-05,29
2011-06,27
2011-07,26
2011-08,23
2011-09,22
2011-10,23
2011-11,19
2011-12,17
2012-01,22
2012-02,20
2012-03,23
2012-04,21
2012-05,21
2012-06,22
2012-07,22
2012-08,19
2012-09,19
2012-10,17
2012-11,17
2012-12,16
2013-01,20
2013-02,21
2013-03,22
2013-04,22
2013-05,22
2013-06,20
2013-07,22
2013-08,19
2013-09,20
2013-10,18
2013-11,18
2013-12,16
2014-01,19
2014-02,18
2014-03,19
2014-04,19
2014-05,19
2014-06,17
2014-07,19
2014-08,17
2014-09,16
2014-10,15
2014-11,16
2014-12,16
2015-01,20
2015-02,19
2015-03,19
2015-04,18
2015-05,17
2015-06,20
2015-07,20
2015-08,18
2015-09,17
2015-10,16
2015-11,16
2015-12,14
2016-01,19
2016-02,19
2016-03,18
2016-04,21
2016-05,18
2016-06,17
2016-07,20
2016-08,20
2016-09,17
2016-10,16
2016-11,18
2016-12,16
2017-01,17
2017-02,17
2017-03,17
2017-04,17
2017-05,18
2017-06,16
2017-07,17
2017-08,16
2017-09,17
2017-10,15
2017-11,14
2017-12,15
2018-01,17
2018-02,18
2018-03,15
2018-04,17
2018-05,17
2018-06,16
2018-07,17
2018-08,17
2018-09,15
2018-10,17
2018-11,16
2018-12,14
2019-01,13
2019-02,14
2019-03,13
2019-04,14
2019-05,13
2019-06,15
2019-07,15
2019-08,14
2019-09,14
2019-10,12
2019-11,12
2019-12,11
2020-01,14
2020-02,13
2020-03,25
2020-04,25
2020-05,21
2020-06,18
2020-07,19
2020-08,18
2020-09,19
2020-10,17
2020-11,14
2020-12,12
2021-01,14
2021-02,17
2021-03,16
2021-04,18
2021-05,19
2021-06,20
2021-07,17
2021-08,15
2021-09,16
2021-10,16
2021-11,17
2021-12,16
2022-01,20
2022-02,21
2022-03,25
2022-04,22
2022-05,21
2022-06,25
2022-07,23
2022-08,20
2022-09,19
2022-10,18
2022-11,16
2022-12,13
2023-01,17
2023-02,15
2023-03,17
