Category: All categories

Month,us inflation: (United States)
2004-01,45
2004-02,47
2004-03,43
2004-04,66
2004-05,37
2004-06,16
2004-07,9
2004-08,17
2004-09,29
2004-10,42
2004-11,47
2004-12,39
2005-01,25
2005-02,46
2005-03,39
2005-04,46
2005-05,37
2005-06,22
2005-07,30
2005-08,29
2005-09,30
2005-10,36
2005-11,38
2005-12,34
2006-01,44
2006-02,34
2006-03,34
2006-04,34
2006-05,31
2006-06,23
2006-07,30
2006-08,21
2006-09,30
2006-10,25
2006-11,26
2006-12,28
2007-01,26
2007-02,27
2007-03,27
2007-04,27
2007-05,24
2007-06,23
2007-07,24
2007-08,24
2007-09,28
2007-10,30
2007-11,32
2007-12,34
2008-01,37
2008-02,40
2008-03,37
2008-04,42
2008-05,32
2008-06,34
2008-07,33
2008-08,29
2008-09,36
2008-10,37
2008-11,30
2008-12,26
2009-01,26
2009-02,29
2009-03,34
2009-04,28
2009-05,22
2009-06,27
2009-07,18
2009-08,20
2009-09,26
2009-10,30
2009-11,26
2009-12,25
2010-01,25
2010-02,30
2010-03,30
2010-04,27
2010-05,22
2010-06,17
2010-07,15
2010-08,17
2010-09,19
2010-10,23
2010-11,31
2010-12,22
2011-01,28
2011-02,30
2011-03,31
2011-04,37
2011-05,28
2011-06,18
2011-07,23
2011-08,24
2011-09,24
2011-10,28
2011-11,24
2011-12,24
2012-01,24
2012-02,26
2012-03,23
2012-04,24
2012-05,22
2012-06,19
2012-07,18
2012-08,19
2012-09,28
2012-10,29
2012-11,24
2012-12,23
2013-01,23
2013-02,27
2013-03,27
2013-04,29
2013-05,25
2013-06,20
2013-07,16
2013-08,18
2013-09,25
2013-10,27
2013-11,26
2013-12,27
2014-01,27
2014-02,28
2014-03,28
2014-04,32
2014-05,27
2014-06,21
2014-07,20
2014-08,16
2014-09,25
2014-10,26
2014-11,24
2014-12,23
2015-01,25
2015-02,26
2015-03,26
2015-04,31
2015-05,24
2015-06,21
2015-07,18
2015-08,18
2015-09,27
2015-10,25
2015-11,27
2015-12,25
2016-01,22
2016-02,25
2016-03,24
2016-04,25
2016-05,20
2016-06,18
2016-07,14
2016-08,14
2016-09,19
2016-10,22
2016-11,25
2016-12,23
2017-01,23
2017-02,23
2017-03,23
2017-04,25
2017-05,25
2017-06,16
2017-07,16
2017-08,16
2017-09,21
2017-10,26
2017-11,25
2017-12,23
2018-01,25
2018-02,31
2018-03,23
2018-04,31
2018-05,23
2018-06,19
2018-07,21
2018-08,20
2018-09,24
2018-10,27
2018-11,27
2018-12,25
2019-01,25
2019-02,29
2019-03,27
2019-04,30
2019-05,24
2019-06,18
2019-07,19
2019-08,19
2019-09,24
2019-10,25
2019-11,24
2019-12,24
2020-01,23
2020-02,27
2020-03,24
2020-04,27
2020-05,24
2020-06,19
2020-07,22
2020-08,22
2020-09,24
2020-10,23
2020-11,21
2020-12,24
2021-01,26
2021-02,33
2021-03,32
2021-04,35
2021-05,50
2021-06,40
2021-07,33
2021-08,31
2021-09,34
2021-10,50
2021-11,61
2021-12,52
2022-01,65
2022-02,82
2022-03,88
2022-04,93
2022-05,94
2022-06,100
2022-07,81
2022-08,74
2022-09,85
2022-10,82
2022-11,74
2022-12,61
2023-01,65
2023-02,71
2023-03,72
