Category: All categories

Month,what is inflation rate: (United States)
2004-01,8
2004-02,8
2004-03,22
2004-04,0
2004-05,0
2004-06,6
2004-07,6
2004-08,0
2004-09,6
2004-10,41
2004-11,0
2004-12,6
2005-01,7
2005-02,0
2005-03,0
2005-04,8
2005-05,5
2005-06,6
2005-07,8
2005-08,0
2005-09,6
2005-10,11
2005-11,12
2005-12,6
2006-01,6
2006-02,0
2006-03,0
2006-04,7
2006-05,9
2006-06,6
2006-07,4
2006-08,6
2006-09,0
2006-10,4
2006-11,0
2006-12,4
2007-01,4
2007-02,5
2007-03,6
2007-04,6
2007-05,3
2007-06,7
2007-07,6
2007-08,7
2007-09,7
2007-10,6
2007-11,8
2007-12,5
2008-01,9
2008-02,5
2008-03,7
2008-04,9
2008-05,7
2008-06,5
2008-07,8
2008-08,6
2008-09,8
2008-10,9
2008-11,9
2008-12,8
2009-01,7
2009-02,14
2009-03,9
2009-04,14
2009-05,11
2009-06,8
2009-07,7
2009-08,6
2009-09,7
2009-10,11
2009-11,9
2009-12,10
2010-01,7
2010-02,16
2010-03,14
2010-04,13
2010-05,10
2010-06,8
2010-07,9
2010-08,8
2010-09,8
2010-10,12
2010-11,13
2010-12,13
2011-01,14
2011-02,18
2011-03,13
2011-04,18
2011-05,13
2011-06,10
2011-07,11
2011-08,9
2011-09,16
2011-10,18
2011-11,20
2011-12,13
2012-01,12
2012-02,21
2012-03,18
2012-04,17
2012-05,14
2012-06,14
2012-07,12
2012-08,11
2012-09,18
2012-10,23
2012-11,18
2012-12,19
2013-01,14
2013-02,23
2013-03,20
2013-04,25
2013-05,20
2013-06,13
2013-07,9
2013-08,10
2013-09,19
2013-10,25
2013-11,23
2013-12,20
2014-01,14
2014-02,23
2014-03,24
2014-04,26
2014-05,21
2014-06,13
2014-07,13
2014-08,9
2014-09,18
2014-10,28
2014-11,24
2014-12,19
2015-01,16
2015-02,23
2015-03,29
2015-04,27
2015-05,18
2015-06,13
2015-07,15
2015-08,11
2015-09,22
2015-10,29
2015-11,26
2015-12,20
2016-01,16
2016-02,31
2016-03,27
2016-04,31
2016-05,19
2016-06,13
2016-07,13
2016-08,10
2016-09,19
2016-10,30
2016-11,27
2016-12,22
2017-01,16
2017-02,35
2017-03,31
2017-04,33
2017-05,23
2017-06,14
2017-07,14
2017-08,10
2017-09,22
2017-10,33
2017-11,31
2017-12,23
2018-01,15
2018-02,31
2018-03,34
2018-04,37
2018-05,25
2018-06,15
2018-07,16
2018-08,13
2018-09,27
2018-10,37
2018-11,34
2018-12,26
2019-01,21
2019-02,35
2019-03,38
2019-04,36
2019-05,28
2019-06,18
2019-07,16
2019-08,13
2019-09,26
2019-10,38
2019-11,34
2019-12,25
2020-01,21
2020-02,38
2020-03,36
2020-04,45
2020-05,35
2020-06,20
2020-07,21
2020-08,15
2020-09,37
2020-10,49
2020-11,41
2020-12,29
2021-01,20
2021-02,39
2021-03,45
2021-04,49
2021-05,36
2021-06,23
2021-07,23
2021-08,17
2021-09,34
2021-10,51
2021-11,49
2021-12,42
2022-01,43
2022-02,72
2022-03,84
2022-04,100
2022-05,76
2022-06,61
2022-07,51
2022-08,41
2022-09,69
2022-10,88
2022-11,78
2022-12,62
2023-01,44
2023-02,83
2023-03,96
