Category: All categories

Month,california house prices: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,63
2004-09,0
2004-10,81
2004-11,0
2004-12,0
2005-01,100
2005-02,69
2005-03,31
2005-04,46
2005-05,31
2005-06,25
2005-07,26
2005-08,0
2005-09,0
2005-10,44
2005-11,33
2005-12,0
2006-01,0
2006-02,0
2006-03,42
2006-04,23
2006-05,65
2006-06,0
2006-07,0
2006-08,29
2006-09,0
2006-10,21
2006-11,19
2006-12,9
2007-01,0
2007-02,0
2007-03,25
2007-04,23
2007-05,29
2007-06,8
2007-07,13
2007-08,17
2007-09,12
2007-10,20
2007-11,26
2007-12,20
2008-01,23
2008-02,17
2008-03,0
2008-04,13
2008-05,8
2008-06,15
2008-07,43
2008-08,19
2008-09,16
2008-10,24
2008-11,25
2008-12,26
2009-01,14
2009-02,14
2009-03,5
2009-04,0
2009-05,20
2009-06,10
2009-07,7
2009-08,11
2009-09,0
2009-10,11
2009-11,9
2009-12,4
2010-01,7
2010-02,10
2010-03,4
2010-04,11
2010-05,10
2010-06,8
2010-07,13
2010-08,10
2010-09,12
2010-10,5
2010-11,7
2010-12,12
2011-01,14
2011-02,13
2011-03,10
2011-04,12
2011-05,6
2011-06,7
2011-07,6
2011-08,9
2011-09,8
2011-10,6
2011-11,13
2011-12,7
2012-01,14
2012-02,10
2012-03,15
2012-04,10
2012-05,9
2012-06,4
2012-07,13
2012-08,10
2012-09,8
2012-10,14
2012-11,7
2012-12,7
2013-01,12
2013-02,8
2013-03,10
2013-04,17
2013-05,8
2013-06,6
2013-07,5
2013-08,10
2013-09,10
2013-10,7
2013-11,2
2013-12,8
2014-01,10
2014-02,14
2014-03,10
2014-04,11
2014-05,10
2014-06,13
2014-07,12
2014-08,8
2014-09,2
2014-10,9
2014-11,8
2014-12,14
2015-01,6
2015-02,8
2015-03,10
2015-04,8
2015-05,16
2015-06,11
2015-07,22
2015-08,19
2015-09,9
2015-10,6
2015-11,8
2015-12,6
2016-01,18
2016-02,9
2016-03,16
2016-04,10
2016-05,9
2016-06,13
2016-07,8
2016-08,13
2016-09,13
2016-10,15
2016-11,14
2016-12,11
2017-01,11
2017-02,12
2017-03,14
2017-04,19
2017-05,15
2017-06,15
2017-07,27
2017-08,14
2017-09,14
2017-10,16
2017-11,13
2017-12,14
2018-01,15
2018-02,18
2018-03,14
2018-04,18
2018-05,15
2018-06,20
2018-07,17
2018-08,19
2018-09,19
2018-10,18
2018-11,12
2018-12,10
2019-01,16
2019-02,20
2019-03,16
2019-04,16
2019-05,12
2019-06,11
2019-07,11
2019-08,18
2019-09,16
2019-10,14
2019-11,11
2019-12,14
2020-01,16
2020-02,19
2020-03,26
2020-04,18
2020-05,22
2020-06,24
2020-07,21
2020-08,13
2020-09,19
2020-10,14
2020-11,17
2020-12,19
2021-01,18
2021-02,18
2021-03,17
2021-04,28
2021-05,18
2021-06,19
2021-07,21
2021-08,17
2021-09,20
2021-10,21
2021-11,22
2021-12,16
2022-01,17
2022-02,25
2022-03,29
2022-04,28
2022-05,24
2022-06,31
2022-07,21
2022-08,20
2022-09,20
2022-10,20
2022-11,14
2022-12,16
2023-01,22
2023-02,20
2023-03,21
