Category: All categories

Month,high gas prices: (United States)
2004-01,2
2004-02,2
2004-03,11
2004-04,12
2004-05,32
2004-06,7
2004-07,3
2004-08,3
2004-09,3
2004-10,9
2004-11,4
2004-12,0
2005-01,0
2005-02,0
2005-03,14
2005-04,22
2005-05,12
2005-06,7
2005-07,5
2005-08,32
2005-09,43
2005-10,20
2005-11,13
2005-12,8
2006-01,7
2006-02,7
2006-03,6
2006-04,28
2006-05,29
2006-06,5
2006-07,6
2006-08,10
2006-09,11
2006-10,6
2006-11,3
2006-12,3
2007-01,3
2007-02,3
2007-03,6
2007-04,10
2007-05,27
2007-06,5
2007-07,3
2007-08,3
2007-09,4
2007-10,5
2007-11,12
2007-12,5
2008-01,7
2008-02,7
2008-03,17
2008-04,36
2008-05,56
2008-06,40
2008-07,18
2008-08,9
2008-09,23
2008-10,16
2008-11,11
2008-12,8
2009-01,5
2009-02,7
2009-03,3
2009-04,3
2009-05,4
2009-06,3
2009-07,2
2009-08,0
2009-09,2
2009-10,3
2009-11,3
2009-12,2
2010-01,4
2010-02,2
2010-03,1
2010-04,3
2010-05,3
2010-06,1
2010-07,<1
2010-08,1
2010-09,2
2010-10,2
2010-11,2
2010-12,3
2011-01,6
2011-02,10
2011-03,20
2011-04,30
2011-05,19
2011-06,8
2011-07,7
2011-08,5
2011-09,5
2011-10,4
2011-11,3
2011-12,2
2012-01,5
2012-02,19
2012-03,22
2012-04,11
2012-05,7
2012-06,4
2012-07,4
2012-08,8
2012-09,7
2012-10,15
2012-11,4
2012-12,2
2013-01,3
2013-02,14
2013-03,4
2013-04,3
2013-05,7
2013-06,8
2013-07,3
2013-08,2
2013-09,1
2013-10,2
2013-11,2
2013-12,1
2014-01,2
2014-02,3
2014-03,3
2014-04,5
2014-05,3
2014-06,3
2014-07,2
2014-08,1
2014-09,2
2014-10,2
2014-11,2
2014-12,3
2015-01,4
2015-02,2
2015-03,3
2015-04,2
2015-05,3
2015-06,2
2015-07,4
2015-08,6
2015-09,3
2015-10,2
2015-11,2
2015-12,2
2016-01,3
2016-02,3
2016-03,2
2016-04,1
2016-05,2
2016-06,1
2016-07,1
2016-08,1
2016-09,2
2016-10,1
2016-11,1
2016-12,1
2017-01,2
2017-02,1
2017-03,1
2017-04,2
2017-05,1
2017-06,1
2017-07,1
2017-08,3
2017-09,3
2017-10,1
2017-11,2
2017-12,1
2018-01,1
2018-02,2
2018-03,2
2018-04,4
2018-05,7
2018-06,3
2018-07,2
2018-08,1
2018-09,2
2018-10,2
2018-11,2
2018-12,2
2019-01,1
2019-02,1
2019-03,2
2019-04,5
2019-05,2
2019-06,2
2019-07,1
2019-08,1
2019-09,2
2019-10,4
2019-11,2
2019-12,1
2020-01,1
2020-02,1
2020-03,3
2020-04,3
2020-05,1
2020-06,1
2020-07,1
2020-08,1
2020-09,1
2020-10,2
2020-11,2
2020-12,1
2021-01,3
2021-02,7
2021-03,11
2021-04,4
2021-05,10
2021-06,6
2021-07,8
2021-08,6
2021-09,4
2021-10,21
2021-11,19
2021-12,6
2022-01,5
2022-02,18
2022-03,100
2022-04,16
2022-05,46
2022-06,90
2022-07,17
2022-08,7
2022-09,9
2022-10,13
2022-11,7
2022-12,4
2023-01,6
2023-02,6
2023-03,4
