Category: All categories

Month,us gas prices: (United States)
2004-01,4
2004-02,13
2004-03,10
2004-04,16
2004-05,29
2004-06,9
2004-07,3
2004-08,7
2004-09,0
2004-10,5
2004-11,0
2004-12,7
2005-01,6
2005-02,0
2005-03,9
2005-04,15
2005-05,9
2005-06,9
2005-07,11
2005-08,31
2005-09,45
2005-10,10
2005-11,12
2005-12,3
2006-01,5
2006-02,0
2006-03,6
2006-04,18
2006-05,16
2006-06,7
2006-07,8
2006-08,5
2006-09,11
2006-10,7
2006-11,5
2006-12,4
2007-01,6
2007-02,4
2007-03,5
2007-04,9
2007-05,21
2007-06,5
2007-07,8
2007-08,5
2007-09,3
2007-10,3
2007-11,9
2007-12,9
2008-01,5
2008-02,7
2008-03,15
2008-04,24
2008-05,36
2008-06,29
2008-07,17
2008-08,11
2008-09,17
2008-10,26
2008-11,21
2008-12,13
2009-01,8
2009-02,4
2009-03,5
2009-04,3
2009-05,4
2009-06,3
2009-07,5
2009-08,1
2009-09,4
2009-10,4
2009-11,5
2009-12,4
2010-01,4
2010-02,4
2010-03,3
2010-04,3
2010-05,5
2010-06,3
2010-07,2
2010-08,3
2010-09,2
2010-10,3
2010-11,3
2010-12,5
2011-01,7
2011-02,13
2011-03,24
2011-04,26
2011-05,19
2011-06,10
2011-07,7
2011-08,5
2011-09,7
2011-10,6
2011-11,5
2011-12,5
2012-01,7
2012-02,18
2012-03,22
2012-04,14
2012-05,10
2012-06,9
2012-07,6
2012-08,8
2012-09,13
2012-10,17
2012-11,9
2012-12,4
2013-01,5
2013-02,9
2013-03,6
2013-04,5
2013-05,6
2013-06,6
2013-07,6
2013-08,5
2013-09,5
2013-10,5
2013-11,5
2013-12,4
2014-01,4
2014-02,5
2014-03,6
2014-04,5
2014-05,5
2014-06,6
2014-07,5
2014-08,5
2014-09,5
2014-10,8
2014-11,8
2014-12,19
2015-01,16
2015-02,7
2015-03,5
2015-04,5
2015-05,5
2015-06,5
2015-07,7
2015-08,7
2015-09,7
2015-10,5
2015-11,5
2015-12,6
2016-01,9
2016-02,7
2016-03,4
2016-04,4
2016-05,3
2016-06,3
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,3
2017-01,5
2017-02,3
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,3
2017-08,3
2017-09,5
2017-10,2
2017-11,3
2017-12,3
2018-01,2
2018-02,3
2018-03,3
2018-04,5
2018-05,8
2018-06,6
2018-07,3
2018-08,3
2018-09,3
2018-10,4
2018-11,5
2018-12,6
2019-01,5
2019-02,2
2019-03,3
2019-04,5
2019-05,4
2019-06,4
2019-07,3
2019-08,2
2019-09,4
2019-10,4
2019-11,3
2019-12,3
2020-01,4
2020-02,3
2020-03,13
2020-04,13
2020-05,3
2020-06,2
2020-07,2
2020-08,2
2020-09,2
2020-10,4
2020-11,4
2020-12,2
2021-01,8
2021-02,10
2021-03,13
2021-04,4
2021-05,13
2021-06,6
2021-07,7
2021-08,6
2021-09,5
2021-10,15
2021-11,16
2021-12,7
2022-01,6
2022-02,29
2022-03,100
2022-04,16
2022-05,33
2022-06,60
2022-07,21
2022-08,13
2022-09,12
2022-10,15
2022-11,9
2022-12,8
2023-01,6
2023-02,7
2023-03,4
