Category: All categories

Month,gdp: (United States)
2004-01,58
2004-02,67
2004-03,59
2004-04,69
2004-05,56
2004-06,43
2004-07,38
2004-08,44
2004-09,55
2004-10,65
2004-11,65
2004-12,52
2005-01,48
2005-02,63
2005-03,56
2005-04,60
2005-05,56
2005-06,40
2005-07,34
2005-08,31
2005-09,54
2005-10,50
2005-11,57
2005-12,47
2006-01,46
2006-02,49
2006-03,54
2006-04,62
2006-05,46
2006-06,34
2006-07,34
2006-08,28
2006-09,48
2006-10,47
2006-11,48
2006-12,41
2007-01,44
2007-02,53
2007-03,47
2007-04,52
2007-05,43
2007-06,33
2007-07,29
2007-08,27
2007-09,46
2007-10,53
2007-11,55
2007-12,43
2008-01,52
2008-02,60
2008-03,50
2008-04,61
2008-05,48
2008-06,35
2008-07,35
2008-08,34
2008-09,62
2008-10,79
2008-11,67
2008-12,48
2009-01,53
2009-02,79
2009-03,65
2009-04,69
2009-05,53
2009-06,38
2009-07,40
2009-08,40
2009-09,54
2009-10,61
2009-11,60
2009-12,53
2010-01,58
2010-02,72
2010-03,64
2010-04,64
2010-05,66
2010-06,44
2010-07,39
2010-08,41
2010-09,54
2010-10,59
2010-11,55
2010-12,48
2011-01,45
2011-02,64
2011-03,60
2011-04,62
2011-05,51
2011-06,40
2011-07,48
2011-08,51
2011-09,51
2011-10,61
2011-11,60
2011-12,43
2012-01,47
2012-02,60
2012-03,51
2012-04,55
2012-05,47
2012-06,33
2012-07,35
2012-08,36
2012-09,59
2012-10,69
2012-11,65
2012-12,42
2013-01,46
2013-02,62
2013-03,54
2013-04,61
2013-05,41
2013-06,30
2013-07,29
2013-08,29
2013-09,49
2013-10,69
2013-11,49
2013-12,42
2014-01,43
2014-02,68
2014-03,59
2014-04,65
2014-05,57
2014-06,39
2014-07,38
2014-08,33
2014-09,57
2014-10,64
2014-11,62
2014-12,60
2015-01,49
2015-02,71
2015-03,65
2015-04,70
2015-05,59
2015-06,47
2015-07,48
2015-08,33
2015-09,69
2015-10,79
2015-11,68
2015-12,55
2016-01,58
2016-02,77
2016-03,67
2016-04,74
2016-05,60
2016-06,44
2016-07,37
2016-08,35
2016-09,61
2016-10,84
2016-11,71
2016-12,58
2017-01,60
2017-02,80
2017-03,74
2017-04,72
2017-05,62
2017-06,41
2017-07,41
2017-08,37
2017-09,64
2017-10,75
2017-11,68
2017-12,64
2018-01,63
2018-02,75
2018-03,67
2018-04,70
2018-05,59
2018-06,50
2018-07,85
2018-08,55
2018-09,76
2018-10,80
2018-11,69
2018-12,59
2019-01,60
2019-02,80
2019-03,72
2019-04,77
2019-05,62
2019-06,41
2019-07,44
2019-08,45
2019-09,62
2019-10,70
2019-11,62
2019-12,55
2020-01,58
2020-02,76
2020-03,70
2020-04,79
2020-05,59
2020-06,45
2020-07,60
2020-08,48
2020-09,66
2020-10,87
2020-11,57
2020-12,45
2021-01,48
2021-02,58
2021-03,57
2021-04,54
2021-05,47
2021-06,32
2021-07,33
2021-08,30
2021-09,50
2021-10,61
2021-11,49
2021-12,46
2022-01,55
2022-02,100
2022-03,92
2022-04,96
2022-05,76
2022-06,56
2022-07,75
2022-08,52
2022-09,75
2022-10,89
2022-11,72
2022-12,69
2023-01,69
2023-02,86
2023-03,71
