Category: All categories

Month,oil prices: (United States)
2004-01,6
2004-02,6
2004-03,10
2004-04,10
2004-05,15
2004-06,11
2004-07,9
2004-08,18
2004-09,15
2004-10,21
2004-11,15
2004-12,12
2005-01,9
2005-02,9
2005-03,18
2005-04,22
2005-05,16
2005-06,18
2005-07,19
2005-08,42
2005-09,36
2005-10,25
2005-11,20
2005-12,13
2006-01,14
2006-02,16
2006-03,15
2006-04,25
2006-05,22
2006-06,15
2006-07,19
2006-08,22
2006-09,30
2006-10,25
2006-11,15
2006-12,11
2007-01,21
2007-02,15
2007-03,14
2007-04,16
2007-05,17
2007-06,10
2007-07,11
2007-08,11
2007-09,13
2007-10,18
2007-11,29
2007-12,17
2008-01,18
2008-02,17
2008-03,29
2008-04,29
2008-05,44
2008-06,51
2008-07,69
2008-08,60
2008-09,74
2008-10,89
2008-11,55
2008-12,54
2009-01,44
2009-02,30
2009-03,24
2009-04,18
2009-05,20
2009-06,21
2009-07,19
2009-08,16
2009-09,17
2009-10,19
2009-11,15
2009-12,15
2010-01,16
2010-02,13
2010-03,11
2010-04,11
2010-05,16
2010-06,12
2010-07,9
2010-08,9
2010-09,9
2010-10,11
2010-11,11
2010-12,13
2011-01,16
2011-02,25
2011-03,31
2011-04,27
2011-05,35
2011-06,22
2011-07,17
2011-08,27
2011-09,19
2011-10,19
2011-11,17
2011-12,14
2012-01,15
2012-02,18
2012-03,17
2012-04,14
2012-05,15
2012-06,18
2012-07,15
2012-08,13
2012-09,13
2012-10,15
2012-11,14
2012-12,11
2013-01,11
2013-02,11
2013-03,9
2013-04,9
2013-05,9
2013-06,8
2013-07,9
2013-08,9
2013-09,9
2013-10,10
2013-11,10
2013-12,9
2014-01,10
2014-02,9
2014-03,8
2014-04,6
2014-05,6
2014-06,7
2014-07,6
2014-08,7
2014-09,10
2014-10,21
2014-11,25
2014-12,57
2015-01,65
2015-02,56
2015-03,41
2015-04,33
2015-05,28
2015-06,21
2015-07,34
2015-08,50
2015-09,38
2015-10,32
2015-11,27
2015-12,41
2016-01,77
2016-02,63
2016-03,48
2016-04,40
2016-05,37
2016-06,35
2016-07,29
2016-08,30
2016-09,26
2016-10,26
2016-11,29
2016-12,28
2017-01,21
2017-02,17
2017-03,20
2017-04,17
2017-05,18
2017-06,20
2017-07,16
2017-08,17
2017-09,15
2017-10,14
2017-11,18
2017-12,15
2018-01,21
2018-02,14
2018-03,12
2018-04,15
2018-05,21
2018-06,15
2018-07,14
2018-08,14
2018-09,11
2018-10,17
2018-11,23
2018-12,23
2019-01,20
2019-02,13
2019-03,12
2019-04,13
2019-05,11
2019-06,14
2019-07,11
2019-08,12
2019-09,20
2019-10,11
2019-11,10
2019-12,10
2020-01,16
2020-02,13
2020-03,72
2020-04,100
2020-05,34
2020-06,25
2020-07,15
2020-08,11
2020-09,11
2020-10,12
2020-11,12
2020-12,12
2021-01,14
2021-02,16
2021-03,16
2021-04,10
2021-05,10
2021-06,11
2021-07,10
2021-08,10
2021-09,10
2021-10,16
2021-11,16
2021-12,12
2022-01,13
2022-02,28
2022-03,61
2022-04,21
2022-05,24
2022-06,31
2022-07,26
2022-08,22
2022-09,22
2022-10,26
2022-11,20
2022-12,19
2023-01,15
2023-02,13
2023-03,13
