Category: All categories

Month,annual interest rate: (United States)
2004-01,8
2004-02,12
2004-03,0
2004-04,12
2004-05,7
2004-06,0
2004-07,8
2004-08,12
2004-09,37
2004-10,25
2004-11,16
2004-12,13
2005-01,17
2005-02,10
2005-03,17
2005-04,13
2005-05,15
2005-06,8
2005-07,19
2005-08,6
2005-09,15
2005-10,12
2005-11,7
2005-12,17
2006-01,11
2006-02,18
2006-03,13
2006-04,12
2006-05,8
2006-06,12
2006-07,13
2006-08,9
2006-09,10
2006-10,9
2006-11,10
2006-12,14
2007-01,11
2007-02,11
2007-03,21
2007-04,8
2007-05,10
2007-06,17
2007-07,13
2007-08,11
2007-09,12
2007-10,4
2007-11,9
2007-12,11
2008-01,12
2008-02,11
2008-03,12
2008-04,14
2008-05,7
2008-06,11
2008-07,11
2008-08,7
2008-09,14
2008-10,14
2008-11,9
2008-12,13
2009-01,11
2009-02,14
2009-03,17
2009-04,11
2009-05,12
2009-06,8
2009-07,12
2009-08,7
2009-09,14
2009-10,22
2009-11,12
2009-12,13
2010-01,9
2010-02,17
2010-03,16
2010-04,19
2010-05,15
2010-06,9
2010-07,8
2010-08,10
2010-09,14
2010-10,20
2010-11,12
2010-12,12
2011-01,12
2011-02,22
2011-03,20
2011-04,21
2011-05,17
2011-06,14
2011-07,11
2011-08,9
2011-09,22
2011-10,22
2011-11,21
2011-12,13
2012-01,15
2012-02,28
2012-03,21
2012-04,26
2012-05,21
2012-06,20
2012-07,18
2012-08,16
2012-09,28
2012-10,30
2012-11,27
2012-12,19
2013-01,19
2013-02,30
2013-03,23
2013-04,29
2013-05,22
2013-06,19
2013-07,17
2013-08,13
2013-09,32
2013-10,33
2013-11,30
2013-12,23
2014-01,22
2014-02,38
2014-03,32
2014-04,32
2014-05,27
2014-06,22
2014-07,19
2014-08,14
2014-09,38
2014-10,41
2014-11,30
2014-12,26
2015-01,22
2015-02,39
2015-03,35
2015-04,36
2015-05,27
2015-06,22
2015-07,23
2015-08,17
2015-09,38
2015-10,41
2015-11,38
2015-12,28
2016-01,27
2016-02,59
2016-03,42
2016-04,47
2016-05,32
2016-06,28
2016-07,23
2016-08,20
2016-09,43
2016-10,52
2016-11,40
2016-12,31
2017-01,30
2017-02,66
2017-03,49
2017-04,46
2017-05,38
2017-06,25
2017-07,24
2017-08,17
2017-09,46
2017-10,60
2017-11,48
2017-12,33
2018-01,24
2018-02,60
2018-03,51
2018-04,57
2018-05,40
2018-06,26
2018-07,24
2018-08,20
2018-09,57
2018-10,64
2018-11,49
2018-12,36
2019-01,35
2019-02,65
2019-03,51
2019-04,51
2019-05,38
2019-06,33
2019-07,25
2019-08,17
2019-09,58
2019-10,60
2019-11,45
2019-12,33
2020-01,30
2020-02,68
2020-03,50
2020-04,67
2020-05,50
2020-06,37
2020-07,32
2020-08,26
2020-09,74
2020-10,78
2020-11,58
2020-12,40
2021-01,33
2021-02,65
2021-03,68
2021-04,65
2021-05,43
2021-06,28
2021-07,25
2021-08,20
2021-09,60
2021-10,69
2021-11,61
2021-12,39
2022-01,41
2022-02,97
2022-03,90
2022-04,90
2022-05,63
2022-06,39
2022-07,35
2022-08,27
2022-09,73
2022-10,84
2022-11,77
2022-12,54
2023-01,48
2023-02,100
2023-03,100
