Category: All categories

Month,average interest rate: (United States)
2004-01,13
2004-02,18
2004-03,13
2004-04,7
2004-05,13
2004-06,15
2004-07,20
2004-08,12
2004-09,15
2004-10,13
2004-11,17
2004-12,11
2005-01,16
2005-02,19
2005-03,7
2005-04,6
2005-05,21
2005-06,4
2005-07,18
2005-08,17
2005-09,15
2005-10,19
2005-11,15
2005-12,17
2006-01,22
2006-02,10
2006-03,13
2006-04,22
2006-05,15
2006-06,16
2006-07,14
2006-08,18
2006-09,20
2006-10,15
2006-11,22
2006-12,8
2007-01,23
2007-02,21
2007-03,20
2007-04,21
2007-05,27
2007-06,23
2007-07,19
2007-08,19
2007-09,22
2007-10,26
2007-11,15
2007-12,18
2008-01,27
2008-02,22
2008-03,24
2008-04,22
2008-05,19
2008-06,25
2008-07,24
2008-08,9
2008-09,21
2008-10,25
2008-11,17
2008-12,15
2009-01,23
2009-02,20
2009-03,22
2009-04,23
2009-05,19
2009-06,21
2009-07,19
2009-08,18
2009-09,20
2009-10,25
2009-11,23
2009-12,20
2010-01,28
2010-02,27
2010-03,29
2010-04,31
2010-05,23
2010-06,22
2010-07,17
2010-08,22
2010-09,21
2010-10,21
2010-11,20
2010-12,23
2011-01,29
2011-02,28
2011-03,29
2011-04,28
2011-05,26
2011-06,29
2011-07,25
2011-08,23
2011-09,27
2011-10,26
2011-11,25
2011-12,22
2012-01,28
2012-02,27
2012-03,29
2012-04,37
2012-05,34
2012-06,33
2012-07,30
2012-08,29
2012-09,32
2012-10,31
2012-11,26
2012-12,28
2013-01,32
2013-02,35
2013-03,36
2013-04,37
2013-05,35
2013-06,32
2013-07,35
2013-08,29
2013-09,32
2013-10,34
2013-11,31
2013-12,32
2014-01,34
2014-02,38
2014-03,39
2014-04,38
2014-05,36
2014-06,33
2014-07,31
2014-08,29
2014-09,32
2014-10,36
2014-11,35
2014-12,31
2015-01,33
2015-02,44
2015-03,43
2015-04,41
2015-05,37
2015-06,39
2015-07,36
2015-08,35
2015-09,38
2015-10,44
2015-11,37
2015-12,37
2016-01,44
2016-02,49
2016-03,47
2016-04,46
2016-05,44
2016-06,38
2016-07,37
2016-08,37
2016-09,37
2016-10,41
2016-11,39
2016-12,38
2017-01,43
2017-02,46
2017-03,55
2017-04,49
2017-05,45
2017-06,38
2017-07,38
2017-08,41
2017-09,44
2017-10,44
2017-11,46
2017-12,43
2018-01,45
2018-02,55
2018-03,53
2018-04,56
2018-05,54
2018-06,47
2018-07,45
2018-08,43
2018-09,52
2018-10,52
2018-11,49
2018-12,45
2019-01,50
2019-02,52
2019-03,55
2019-04,54
2019-05,52
2019-06,49
2019-07,48
2019-08,44
2019-09,49
2019-10,48
2019-11,48
2019-12,44
2020-01,50
2020-02,63
2020-03,61
2020-04,55
2020-05,55
2020-06,52
2020-07,49
2020-08,49
2020-09,56
2020-10,55
2020-11,50
2020-12,47
2021-01,50
2021-02,58
2021-03,65
2021-04,62
2021-05,53
2021-06,47
2021-07,46
2021-08,43
2021-09,47
2021-10,52
2021-11,53
2021-12,46
2022-01,63
2022-02,77
2022-03,79
2022-04,97
2022-05,79
2022-06,78
2022-07,75
2022-08,69
2022-09,78
2022-10,85
2022-11,76
2022-12,69
2023-01,81
2023-02,93
2023-03,100
