Category: All categories

Month,calculate interest rate: (United States)
2004-01,15
2004-02,48
2004-03,20
2004-04,29
2004-05,22
2004-06,52
2004-07,21
2004-08,19
2004-09,27
2004-10,0
2004-11,15
2004-12,16
2005-01,27
2005-02,30
2005-03,27
2005-04,39
2005-05,18
2005-06,26
2005-07,16
2005-08,5
2005-09,36
2005-10,23
2005-11,32
2005-12,38
2006-01,29
2006-02,19
2006-03,31
2006-04,26
2006-05,30
2006-06,22
2006-07,14
2006-08,15
2006-09,27
2006-10,33
2006-11,32
2006-12,32
2007-01,22
2007-02,21
2007-03,30
2007-04,28
2007-05,29
2007-06,22
2007-07,21
2007-08,27
2007-09,28
2007-10,30
2007-11,29
2007-12,20
2008-01,25
2008-02,30
2008-03,28
2008-04,36
2008-05,28
2008-06,22
2008-07,35
2008-08,23
2008-09,26
2008-10,31
2008-11,27
2008-12,34
2009-01,27
2009-02,34
2009-03,38
2009-04,30
2009-05,26
2009-06,28
2009-07,20
2009-08,28
2009-09,32
2009-10,35
2009-11,30
2009-12,32
2010-01,31
2010-02,30
2010-03,37
2010-04,36
2010-05,26
2010-06,27
2010-07,29
2010-08,27
2010-09,30
2010-10,42
2010-11,30
2010-12,31
2011-01,29
2011-02,52
2011-03,43
2011-04,46
2011-05,32
2011-06,26
2011-07,28
2011-08,28
2011-09,33
2011-10,44
2011-11,40
2011-12,32
2012-01,38
2012-02,51
2012-03,38
2012-04,49
2012-05,41
2012-06,36
2012-07,38
2012-08,28
2012-09,49
2012-10,58
2012-11,45
2012-12,40
2013-01,39
2013-02,61
2013-03,47
2013-04,52
2013-05,41
2013-06,40
2013-07,40
2013-08,38
2013-09,51
2013-10,56
2013-11,47
2013-12,40
2014-01,44
2014-02,60
2014-03,61
2014-04,55
2014-05,43
2014-06,40
2014-07,39
2014-08,34
2014-09,59
2014-10,66
2014-11,53
2014-12,38
2015-01,42
2015-02,61
2015-03,58
2015-04,65
2015-05,52
2015-06,44
2015-07,40
2015-08,39
2015-09,59
2015-10,60
2015-11,55
2015-12,49
2016-01,41
2016-02,69
2016-03,57
2016-04,55
2016-05,45
2016-06,42
2016-07,44
2016-08,34
2016-09,59
2016-10,64
2016-11,52
2016-12,46
2017-01,41
2017-02,72
2017-03,67
2017-04,69
2017-05,51
2017-06,42
2017-07,39
2017-08,35
2017-09,55
2017-10,67
2017-11,59
2017-12,50
2018-01,44
2018-02,69
2018-03,64
2018-04,66
2018-05,58
2018-06,45
2018-07,39
2018-08,38
2018-09,60
2018-10,64
2018-11,61
2018-12,47
2019-01,44
2019-02,75
2019-03,61
2019-04,64
2019-05,49
2019-06,49
2019-07,38
2019-08,39
2019-09,66
2019-10,66
2019-11,54
2019-12,46
2020-01,43
2020-02,64
2020-03,58
2020-04,70
2020-05,63
2020-06,53
2020-07,50
2020-08,41
2020-09,69
2020-10,70
2020-11,62
2020-12,48
2021-01,39
2021-02,70
2021-03,66
2021-04,65
2021-05,52
2021-06,37
2021-07,31
2021-08,32
2021-09,55
2021-10,63
2021-11,56
2021-12,43
2022-01,47
2022-02,84
2022-03,86
2022-04,89
2022-05,62
2022-06,50
2022-07,48
2022-08,44
2022-09,73
2022-10,78
2022-11,78
2022-12,57
2023-01,61
2023-02,100
2023-03,89
