Category: All categories

Month,car loan interest rate: (United States)
2004-01,0
2004-02,13
2004-03,0
2004-04,8
2004-05,9
2004-06,0
2004-07,0
2004-08,27
2004-09,0
2004-10,17
2004-11,8
2004-12,11
2005-01,17
2005-02,14
2005-03,8
2005-04,8
2005-05,6
2005-06,13
2005-07,21
2005-08,0
2005-09,9
2005-10,16
2005-11,0
2005-12,0
2006-01,21
2006-02,14
2006-03,16
2006-04,24
2006-05,18
2006-06,12
2006-07,17
2006-08,12
2006-09,16
2006-10,8
2006-11,12
2006-12,26
2007-01,3
2007-02,19
2007-03,10
2007-04,20
2007-05,21
2007-06,12
2007-07,17
2007-08,15
2007-09,15
2007-10,19
2007-11,20
2007-12,10
2008-01,17
2008-02,14
2008-03,20
2008-04,22
2008-05,11
2008-06,13
2008-07,13
2008-08,15
2008-09,13
2008-10,11
2008-11,14
2008-12,15
2009-01,13
2009-02,20
2009-03,20
2009-04,18
2009-05,18
2009-06,20
2009-07,24
2009-08,18
2009-09,16
2009-10,17
2009-11,18
2009-12,14
2010-01,22
2010-02,21
2010-03,20
2010-04,23
2010-05,17
2010-06,12
2010-07,20
2010-08,20
2010-09,20
2010-10,20
2010-11,16
2010-12,14
2011-01,27
2011-02,24
2011-03,22
2011-04,23
2011-05,23
2011-06,29
2011-07,24
2011-08,23
2011-09,24
2011-10,21
2011-11,20
2011-12,17
2012-01,29
2012-02,27
2012-03,29
2012-04,33
2012-05,33
2012-06,29
2012-07,31
2012-08,28
2012-09,28
2012-10,26
2012-11,22
2012-12,29
2013-01,32
2013-02,38
2013-03,34
2013-04,37
2013-05,36
2013-06,32
2013-07,31
2013-08,30
2013-09,32
2013-10,34
2013-11,30
2013-12,23
2014-01,32
2014-02,40
2014-03,35
2014-04,37
2014-05,34
2014-06,35
2014-07,38
2014-08,35
2014-09,33
2014-10,31
2014-11,29
2014-12,26
2015-01,37
2015-02,36
2015-03,40
2015-04,36
2015-05,39
2015-06,38
2015-07,42
2015-08,37
2015-09,37
2015-10,34
2015-11,31
2015-12,32
2016-01,37
2016-02,43
2016-03,45
2016-04,40
2016-05,45
2016-06,36
2016-07,37
2016-08,36
2016-09,38
2016-10,38
2016-11,40
2016-12,39
2017-01,48
2017-02,50
2017-03,56
2017-04,47
2017-05,47
2017-06,47
2017-07,47
2017-08,43
2017-09,44
2017-10,43
2017-11,43
2017-12,40
2018-01,48
2018-02,56
2018-03,55
2018-04,54
2018-05,53
2018-06,50
2018-07,54
2018-08,47
2018-09,53
2018-10,47
2018-11,48
2018-12,48
2019-01,51
2019-02,55
2019-03,58
2019-04,52
2019-05,53
2019-06,48
2019-07,46
2019-08,47
2019-09,46
2019-10,47
2019-11,43
2019-12,44
2020-01,49
2020-02,57
2020-03,48
2020-04,49
2020-05,53
2020-06,54
2020-07,53
2020-08,43
2020-09,51
2020-10,51
2020-11,44
2020-12,48
2021-01,40
2021-02,58
2021-03,65
2021-04,62
2021-05,60
2021-06,50
2021-07,50
2021-08,45
2021-09,54
2021-10,52
2021-11,42
2021-12,45
2022-01,56
2022-02,69
2022-03,74
2022-04,79
2022-05,73
2022-06,63
2022-07,65
2022-08,63
2022-09,66
2022-10,76
2022-11,70
2022-12,70
2023-01,84
2023-02,94
2023-03,100
