Category: All categories

Month,fed interest rate: (United States)
2004-01,5
2004-02,8
2004-03,10
2004-04,7
2004-05,9
2004-06,14
2004-07,15
2004-08,12
2004-09,8
2004-10,8
2004-11,13
2004-12,17
2005-01,9
2005-02,11
2005-03,8
2005-04,15
2005-05,14
2005-06,14
2005-07,10
2005-08,17
2005-09,10
2005-10,10
2005-11,11
2005-12,6
2006-01,10
2006-02,13
2006-03,16
2006-04,15
2006-05,18
2006-06,19
2006-07,18
2006-08,20
2006-09,12
2006-10,11
2006-11,8
2006-12,8
2007-01,5
2007-02,8
2007-03,10
2007-04,8
2007-05,10
2007-06,13
2007-07,9
2007-08,20
2007-09,44
2007-10,27
2007-11,22
2007-12,30
2008-01,60
2008-02,31
2008-03,43
2008-04,27
2008-05,13
2008-06,14
2008-07,10
2008-08,9
2008-09,12
2008-10,27
2008-11,13
2008-12,28
2009-01,9
2009-02,10
2009-03,10
2009-04,7
2009-05,6
2009-06,7
2009-07,7
2009-08,2
2009-09,7
2009-10,8
2009-11,6
2009-12,6
2010-01,6
2010-02,9
2010-03,8
2010-04,9
2010-05,6
2010-06,4
2010-07,7
2010-08,7
2010-09,4
2010-10,5
2010-11,7
2010-12,6
2011-01,5
2011-02,7
2011-03,4
2011-04,7
2011-05,6
2011-06,4
2011-07,3
2011-08,6
2011-09,4
2011-10,4
2011-11,5
2011-12,6
2012-01,4
2012-02,4
2012-03,4
2012-04,7
2012-05,5
2012-06,4
2012-07,5
2012-08,3
2012-09,2
2012-10,4
2012-11,5
2012-12,6
2013-01,4
2013-02,4
2013-03,5
2013-04,8
2013-05,7
2013-06,5
2013-07,5
2013-08,4
2013-09,4
2013-10,4
2013-11,8
2013-12,6
2014-01,3
2014-02,4
2014-03,6
2014-04,10
2014-05,7
2014-06,6
2014-07,5
2014-08,4
2014-09,6
2014-10,7
2014-11,8
2014-12,8
2015-01,5
2015-02,6
2015-03,14
2015-04,12
2015-05,11
2015-06,8
2015-07,7
2015-08,13
2015-09,35
2015-10,10
2015-11,18
2015-12,49
2016-01,8
2016-02,8
2016-03,11
2016-04,15
2016-05,11
2016-06,9
2016-07,8
2016-08,10
2016-09,13
2016-10,10
2016-11,17
2016-12,28
2017-01,7
2017-02,9
2017-03,25
2017-04,19
2017-05,14
2017-06,16
2017-07,9
2017-08,6
2017-09,8
2017-10,8
2017-11,16
2017-12,19
2018-01,8
2018-02,13
2018-03,17
2018-04,18
2018-05,12
2018-06,18
2018-07,10
2018-08,12
2018-09,19
2018-10,20
2018-11,21
2018-12,36
2019-01,12
2019-02,11
2019-03,14
2019-04,17
2019-05,11
2019-06,20
2019-07,36
2019-08,24
2019-09,31
2019-10,23
2019-11,16
2019-12,14
2020-01,9
2020-02,10
2020-03,100
2020-04,18
2020-05,13
2020-06,10
2020-07,8
2020-08,7
2020-09,9
2020-10,9
2020-11,14
2020-12,13
2021-01,5
2021-02,8
2021-03,11
2021-04,15
2021-05,12
2021-06,9
2021-07,6
2021-08,5
2021-09,6
2021-10,8
2021-11,15
2021-12,19
2022-01,25
2022-02,24
2022-03,44
2022-04,39
2022-05,56
2022-06,83
2022-07,78
2022-08,27
2022-09,79
2022-10,41
2022-11,71
2022-12,55
2023-01,34
2023-02,52
2023-03,43
