Category: All categories

Month,federal interest rate: (United States)
2004-01,26
2004-02,24
2004-03,29
2004-04,31
2004-05,25
2004-06,20
2004-07,28
2004-08,27
2004-09,25
2004-10,28
2004-11,27
2004-12,19
2005-01,12
2005-02,28
2005-03,24
2005-04,29
2005-05,28
2005-06,44
2005-07,17
2005-08,16
2005-09,24
2005-10,21
2005-11,31
2005-12,23
2006-01,23
2006-02,23
2006-03,24
2006-04,27
2006-05,32
2006-06,32
2006-07,26
2006-08,26
2006-09,19
2006-10,17
2006-11,20
2006-12,20
2007-01,18
2007-02,24
2007-03,28
2007-04,26
2007-05,25
2007-06,22
2007-07,22
2007-08,29
2007-09,39
2007-10,31
2007-11,27
2007-12,37
2008-01,64
2008-02,40
2008-03,47
2008-04,39
2008-05,25
2008-06,25
2008-07,20
2008-08,16
2008-09,20
2008-10,32
2008-11,17
2008-12,34
2009-01,23
2009-02,19
2009-03,24
2009-04,24
2009-05,20
2009-06,19
2009-07,18
2009-08,19
2009-09,14
2009-10,15
2009-11,14
2009-12,18
2010-01,10
2010-02,16
2010-03,17
2010-04,19
2010-05,18
2010-06,14
2010-07,13
2010-08,14
2010-09,13
2010-10,11
2010-11,14
2010-12,12
2011-01,14
2011-02,13
2011-03,13
2011-04,18
2011-05,14
2011-06,15
2011-07,14
2011-08,14
2011-09,10
2011-10,13
2011-11,13
2011-12,12
2012-01,14
2012-02,13
2012-03,15
2012-04,20
2012-05,17
2012-06,17
2012-07,15
2012-08,15
2012-09,13
2012-10,14
2012-11,14
2012-12,15
2013-01,14
2013-02,14
2013-03,16
2013-04,20
2013-05,17
2013-06,16
2013-07,19
2013-08,15
2013-09,13
2013-10,14
2013-11,16
2013-12,15
2014-01,12
2014-02,13
2014-03,16
2014-04,22
2014-05,17
2014-06,15
2014-07,15
2014-08,14
2014-09,12
2014-10,13
2014-11,15
2014-12,15
2015-01,12
2015-02,15
2015-03,21
2015-04,24
2015-05,20
2015-06,19
2015-07,20
2015-08,21
2015-09,26
2015-10,18
2015-11,21
2015-12,34
2016-01,15
2016-02,17
2016-03,21
2016-04,24
2016-05,22
2016-06,18
2016-07,17
2016-08,15
2016-09,16
2016-10,17
2016-11,22
2016-12,26
2017-01,17
2017-02,22
2017-03,30
2017-04,30
2017-05,22
2017-06,21
2017-07,18
2017-08,17
2017-09,15
2017-10,19
2017-11,22
2017-12,23
2018-01,15
2018-02,22
2018-03,24
2018-04,28
2018-05,22
2018-06,22
2018-07,19
2018-08,18
2018-09,22
2018-10,24
2018-11,25
2018-12,28
2019-01,20
2019-02,20
2019-03,23
2019-04,27
2019-05,21
2019-06,23
2019-07,29
2019-08,25
2019-09,28
2019-10,25
2019-11,24
2019-12,18
2020-01,18
2020-02,22
2020-03,100
2020-04,34
2020-05,29
2020-06,22
2020-07,22
2020-08,21
2020-09,20
2020-10,21
2020-11,24
2020-12,23
2021-01,17
2021-02,22
2021-03,24
2021-04,28
2021-05,24
2021-06,19
2021-07,17
2021-08,14
2021-09,14
2021-10,18
2021-11,25
2021-12,23
2022-01,26
2022-02,31
2022-03,45
2022-04,56
2022-05,51
2022-06,54
2022-07,50
2022-08,35
2022-09,51
2022-10,43
2022-11,58
2022-12,46
2023-01,36
2023-02,48
2023-03,56
