Category: All categories

Month,interest rate calculator: (United States)
2004-01,40
2004-02,52
2004-03,50
2004-04,41
2004-05,44
2004-06,69
2004-07,48
2004-08,37
2004-09,41
2004-10,33
2004-11,37
2004-12,38
2005-01,40
2005-02,63
2005-03,41
2005-04,44
2005-05,44
2005-06,44
2005-07,41
2005-08,39
2005-09,39
2005-10,38
2005-11,38
2005-12,31
2006-01,50
2006-02,37
2006-03,45
2006-04,45
2006-05,46
2006-06,46
2006-07,55
2006-08,48
2006-09,44
2006-10,33
2006-11,38
2006-12,37
2007-01,44
2007-02,43
2007-03,44
2007-04,48
2007-05,43
2007-06,43
2007-07,50
2007-08,49
2007-09,40
2007-10,43
2007-11,38
2007-12,40
2008-01,65
2008-02,50
2008-03,56
2008-04,48
2008-05,45
2008-06,48
2008-07,42
2008-08,32
2008-09,43
2008-10,50
2008-11,32
2008-12,60
2009-01,53
2009-02,53
2009-03,55
2009-04,51
2009-05,42
2009-06,49
2009-07,42
2009-08,48
2009-09,47
2009-10,49
2009-11,41
2009-12,41
2010-01,45
2010-02,52
2010-03,46
2010-04,48
2010-05,48
2010-06,41
2010-07,44
2010-08,41
2010-09,42
2010-10,39
2010-11,39
2010-12,34
2011-01,40
2011-02,44
2011-03,41
2011-04,39
2011-05,41
2011-06,42
2011-07,41
2011-08,43
2011-09,45
2011-10,44
2011-11,38
2011-12,37
2012-01,48
2012-02,49
2012-03,46
2012-04,48
2012-05,48
2012-06,47
2012-07,44
2012-08,42
2012-09,47
2012-10,46
2012-11,43
2012-12,37
2013-01,45
2013-02,52
2013-03,46
2013-04,46
2013-05,45
2013-06,45
2013-07,47
2013-08,43
2013-09,42
2013-10,44
2013-11,43
2013-12,36
2014-01,41
2014-02,48
2014-03,47
2014-04,53
2014-05,43
2014-06,44
2014-07,43
2014-08,38
2014-09,48
2014-10,47
2014-11,47
2014-12,43
2015-01,44
2015-02,55
2015-03,58
2015-04,54
2015-05,49
2015-06,47
2015-07,46
2015-08,44
2015-09,48
2015-10,56
2015-11,44
2015-12,45
2016-01,38
2016-02,48
2016-03,46
2016-04,49
2016-05,45
2016-06,36
2016-07,39
2016-08,36
2016-09,43
2016-10,44
2016-11,46
2016-12,39
2017-01,47
2017-02,53
2017-03,55
2017-04,51
2017-05,49
2017-06,46
2017-07,44
2017-08,44
2017-09,53
2017-10,56
2017-11,51
2017-12,48
2018-01,56
2018-02,66
2018-03,60
2018-04,63
2018-05,54
2018-06,56
2018-07,54
2018-08,49
2018-09,60
2018-10,61
2018-11,51
2018-12,52
2019-01,56
2019-02,65
2019-03,62
2019-04,63
2019-05,57
2019-06,54
2019-07,55
2019-08,55
2019-09,60
2019-10,58
2019-11,52
2019-12,46
2020-01,58
2020-02,65
2020-03,75
2020-04,71
2020-05,69
2020-06,61
2020-07,64
2020-08,56
2020-09,64
2020-10,63
2020-11,55
2020-12,56
2021-01,57
2021-02,67
2021-03,68
2021-04,66
2021-05,59
2021-06,47
2021-07,43
2021-08,40
2021-09,47
2021-10,52
2021-11,49
2021-12,43
2022-01,58
2022-02,72
2022-03,77
2022-04,88
2022-05,74
2022-06,72
2022-07,68
2022-08,66
2022-09,79
2022-10,83
2022-11,79
2022-12,71
2023-01,85
2023-02,96
2023-03,100
