Category: All categories

Month,mortgage rate: (United States)
2004-01,45
2004-02,41
2004-03,54
2004-04,55
2004-05,48
2004-06,42
2004-07,41
2004-08,41
2004-09,36
2004-10,32
2004-11,34
2004-12,28
2005-01,34
2005-02,35
2005-03,39
2005-04,38
2005-05,42
2005-06,49
2005-07,36
2005-08,38
2005-09,32
2005-10,28
2005-11,29
2005-12,24
2006-01,33
2006-02,31
2006-03,33
2006-04,33
2006-05,35
2006-06,35
2006-07,33
2006-08,33
2006-09,32
2006-10,30
2006-11,27
2006-12,27
2007-01,32
2007-02,33
2007-03,37
2007-04,37
2007-05,36
2007-06,40
2007-07,37
2007-08,39
2007-09,42
2007-10,32
2007-11,32
2007-12,36
2008-01,85
2008-02,70
2008-03,74
2008-04,48
2008-05,40
2008-06,38
2008-07,35
2008-08,28
2008-09,37
2008-10,43
2008-11,28
2008-12,83
2009-01,68
2009-02,60
2009-03,61
2009-04,49
2009-05,36
2009-06,51
2009-07,37
2009-08,27
2009-09,27
2009-10,26
2009-11,23
2009-12,22
2010-01,26
2010-02,24
2010-03,24
2010-04,26
2010-05,25
2010-06,24
2010-07,27
2010-08,33
2010-09,25
2010-10,26
2010-11,27
2010-12,23
2011-01,22
2011-02,23
2011-03,20
2011-04,20
2011-05,22
2011-06,22
2011-07,20
2011-08,32
2011-09,28
2011-10,25
2011-11,18
2011-12,18
2012-01,24
2012-02,22
2012-03,23
2012-04,23
2012-05,24
2012-06,23
2012-07,25
2012-08,22
2012-09,23
2012-10,23
2012-11,19
2012-12,16
2013-01,21
2013-02,22
2013-03,21
2013-04,22
2013-05,24
2013-06,30
2013-07,28
2013-08,21
2013-09,21
2013-10,20
2013-11,16
2013-12,15
2014-01,18
2014-02,18
2014-03,20
2014-04,19
2014-05,18
2014-06,18
2014-07,17
2014-08,16
2014-09,16
2014-10,18
2014-11,14
2014-12,14
2015-01,23
2015-02,22
2015-03,22
2015-04,20
2015-05,21
2015-06,23
2015-07,20
2015-08,20
2015-09,20
2015-10,19
2015-11,16
2015-12,17
2016-01,16
2016-02,23
2016-03,20
2016-04,22
2016-05,17
2016-06,20
2016-07,22
2016-08,20
2016-09,18
2016-10,17
2016-11,23
2016-12,19
2017-01,21
2017-02,21
2017-03,22
2017-04,21
2017-05,20
2017-06,21
2017-07,21
2017-08,18
2017-09,19
2017-10,19
2017-11,19
2017-12,17
2018-01,20
2018-02,24
2018-03,22
2018-04,24
2018-05,22
2018-06,23
2018-07,20
2018-08,19
2018-09,16
2018-10,21
2018-11,17
2018-12,21
2019-01,20
2019-02,20
2019-03,23
2019-04,24
2019-05,22
2019-06,27
2019-07,27
2019-08,37
2019-09,34
2019-10,24
2019-11,20
2019-12,18
2020-01,20
2020-02,29
2020-03,100
2020-04,42
2020-05,37
2020-06,36
2020-07,41
2020-08,40
2020-09,31
2020-10,27
2020-11,23
2020-12,24
2021-01,30
2021-02,31
2021-03,33
2021-04,28
2021-05,23
2021-06,24
2021-07,21
2021-08,21
2021-09,22
2021-10,21
2021-11,20
2021-12,16
2022-01,28
2022-02,33
2022-03,41
2022-04,48
2022-05,41
2022-06,50
2022-07,41
2022-08,33
2022-09,40
2022-10,39
2022-11,35
2022-12,28
2023-01,33
2023-02,36
2023-03,42
