Category: All categories

Month,savings account interest rate: (United States)
2004-01,0
2004-02,4
2004-03,6
2004-04,5
2004-05,9
2004-06,4
2004-07,9
2004-08,0
2004-09,0
2004-10,3
2004-11,0
2004-12,5
2005-01,3
2005-02,10
2005-03,9
2005-04,8
2005-05,4
2005-06,9
2005-07,8
2005-08,0
2005-09,6
2005-10,6
2005-11,6
2005-12,5
2006-01,6
2006-02,8
2006-03,6
2006-04,11
2006-05,0
2006-06,13
2006-07,4
2006-08,3
2006-09,3
2006-10,4
2006-11,7
2006-12,5
2007-01,7
2007-02,8
2007-03,10
2007-04,7
2007-05,8
2007-06,6
2007-07,10
2007-08,8
2007-09,10
2007-10,10
2007-11,7
2007-12,8
2008-01,13
2008-02,11
2008-03,10
2008-04,10
2008-05,7
2008-06,8
2008-07,9
2008-08,10
2008-09,9
2008-10,11
2008-11,7
2008-12,8
2009-01,9
2009-02,12
2009-03,15
2009-04,10
2009-05,9
2009-06,9
2009-07,10
2009-08,13
2009-09,11
2009-10,12
2009-11,10
2009-12,10
2010-01,11
2010-02,14
2010-03,16
2010-04,11
2010-05,12
2010-06,10
2010-07,8
2010-08,11
2010-09,10
2010-10,12
2010-11,11
2010-12,10
2011-01,13
2011-02,11
2011-03,10
2011-04,13
2011-05,10
2011-06,12
2011-07,12
2011-08,11
2011-09,9
2011-10,11
2011-11,10
2011-12,9
2012-01,14
2012-02,13
2012-03,17
2012-04,16
2012-05,12
2012-06,11
2012-07,11
2012-08,11
2012-09,13
2012-10,13
2012-11,13
2012-12,11
2013-01,15
2013-02,15
2013-03,13
2013-04,15
2013-05,14
2013-06,12
2013-07,13
2013-08,12
2013-09,12
2013-10,13
2013-11,14
2013-12,13
2014-01,14
2014-02,16
2014-03,15
2014-04,14
2014-05,15
2014-06,10
2014-07,13
2014-08,12
2014-09,13
2014-10,14
2014-11,14
2014-12,13
2015-01,18
2015-02,16
2015-03,17
2015-04,19
2015-05,17
2015-06,13
2015-07,15
2015-08,15
2015-09,18
2015-10,19
2015-11,17
2015-12,17
2016-01,24
2016-02,27
2016-03,22
2016-04,23
2016-05,20
2016-06,16
2016-07,16
2016-08,14
2016-09,21
2016-10,27
2016-11,24
2016-12,21
2017-01,27
2017-02,38
2017-03,34
2017-04,28
2017-05,28
2017-06,25
2017-07,21
2017-08,19
2017-09,30
2017-10,33
2017-11,29
2017-12,27
2018-01,29
2018-02,36
2018-03,32
2018-04,33
2018-05,31
2018-06,27
2018-07,27
2018-08,26
2018-09,33
2018-10,39
2018-11,29
2018-12,32
2019-01,36
2019-02,42
2019-03,39
2019-04,37
2019-05,34
2019-06,32
2019-07,30
2019-08,32
2019-09,38
2019-10,39
2019-11,35
2019-12,33
2020-01,44
2020-02,49
2020-03,40
2020-04,42
2020-05,42
2020-06,43
2020-07,41
2020-08,40
2020-09,45
2020-10,47
2020-11,33
2020-12,34
2021-01,39
2021-02,43
2021-03,46
2021-04,42
2021-05,36
2021-06,26
2021-07,28
2021-08,25
2021-09,34
2021-10,35
2021-11,32
2021-12,30
2022-01,40
2022-02,49
2022-03,51
2022-04,56
2022-05,50
2022-06,49
2022-07,47
2022-08,48
2022-09,68
2022-10,67
2022-11,75
2022-12,64
2023-01,81
2023-02,93
2023-03,100
